TaxaID,Rank,NonTarget,BCG_Attr,BCG_Attr2,FFG,FFG_Src,HABIT,HABIT_Src,LIFE_CYCLE,LIFE_CYCLE_Src,THERMAL_INDICATOR,AirBreather,PHYLUM,CLASS,SUBCLASS,ORDER,FAMILY,SUBFAMILY,TRIBE,GENUS
CENOCORIXA,Genus,FALSE,,NA,NA,"mixed - PR,SC/SH",SW,OK; MN; Tward; NRSA,multi,Tward,,TRUE,ARTHROPODA,INSECTA,,HEMIPTERA,CORIXIDAE,,,CENOCORIXA
CENTROPTILUM,Genus,FALSE,4,4_middle,CG,NRSA,SW,NRSA,multi,NRSA,,FALSE,ARTHROPODA,INSECTA,,EPHEMEROPTERA,BAETIDAE,,,ANAFROPTILUM/NEOCLOEON
CERACLEA,Genus,FALSE,4,4_middle,CG,IA; NE; MODNR; OK; MN; Tward; NRSA,"CN,SP",IA; MODNR; MN; NRSA,uni,Tward; NRSA,warm,FALSE,ARTHROPODA,INSECTA,,TRICHOPTERA,LEPTOCERIDAE,,,CERACLEA
CERACLEA ANCYLUS,Species,FALSE,4,4_middle,CG,IA; OK; Tward; NRSA,"CN,SP",NRSA; Tward,uni,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,,TRICHOPTERA,LEPTOCERIDAE,,,CERACLEA
CERACLEA FLAVA,Species,FALSE,4,4_middle,CG,IA; OK; Tward; NRSA,"CN,SP",NRSA; Tward,uni,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,,TRICHOPTERA,LEPTOCERIDAE,,,CERACLEA
CERACLEA MACULATA,Species,FALSE,4,4_middle,CG,IA; OK; MN; Tward; NRSA,"CN,SP",NRSA; Tward,uni,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,,TRICHOPTERA,LEPTOCERIDAE,,,CERACLEA
CERACLEA NEFFI,Species,FALSE,4,4_middle,CG,IA; OK; Tward; NRSA,"CN,SP",NRSA; Tward,uni,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,,TRICHOPTERA,LEPTOCERIDAE,,,CERACLEA
CERACLEA NEPHA,Species,FALSE,4,4_middle,CG,IA; Tward; NRSA,"CN,SP",NRSA; Tward,uni,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,,TRICHOPTERA,LEPTOCERIDAE,,,CERACLEA
CERACLEA SPONGILLOVORAX,Species,FALSE,4,4_middle,CG,IA; OK; Tward; NRSA,"CN,SP",NRSA; Tward,uni,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,,TRICHOPTERA,LEPTOCERIDAE,,,CERACLEA
CERACLEA TRANSVERSA,Species,FALSE,4,4_middle,CG,OK; Tward; NRSA,"CN,SP",NRSA; Tward,uni,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,,TRICHOPTERA,LEPTOCERIDAE,,,CERACLEA
CERATOPOGON,Genus,FALSE,,NA,PR,IA; NE; MN; Tward,"BU,SP",IA; MN; Tward; NRSA; NE,uni,Tward,,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CERATOPOGONIDAE,,,CERATOPOGON
CERATOPOGONIDAE,Family,FALSE,4,4_middle,PR,IA; NE; MODNR; OK; MN; NRSA,SP,NE; MODNR; OK; MN,multi,NRSA,,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CERATOPOGONIDAE,,,
CERATOPSYCHE,Genus,FALSE,4,4_middle,CF,IA; NE; MODNR; OK; MN; Tward;,CN,IA; NE; OK; MN; Tward,uni,Tward,,FALSE,ARTHROPODA,INSECTA,,TRICHOPTERA,HYDROPSYCHIDAE,,,CERATOPSYCHE
CERATOPSYCHE MOROSA,Species,FALSE,4,4_middle,CF,IA; NE; OK; MN; Tward,CN,NE; MN; Tward,uni,Tward,,FALSE,ARTHROPODA,INSECTA,,TRICHOPTERA,HYDROPSYCHIDAE,,,CERATOPSYCHE
CERCOBRACHYS,Genus,FALSE,4,4_middle,CG,IA; NE; MODNR; OK; MN; Tward; NRSA,SP,NE; MODNR; OK; MN; NRSA,NA,,,FALSE,ARTHROPODA,INSECTA,,EPHEMEROPTERA,CAENIDAE,,,CERCOBRACHYS
CHAETARTHRIA,Genus,FALSE,,NA,"CG,PR",NE; MODNR; OK,CB,NE; OK; NRSA,uni,Tward; NRSA,,TRUE,ARTHROPODA,INSECTA,,COLEOPTERA,HYDROPHILIDAE,,,CHAETARTHRIA
CHAOBORUS,Genus,FALSE,4,4_middle,PR,IA; NE; MODNR; OK; MN; Tward; NRSA,SP,NE; MODNR; OK; MN; Tward; NRSA,uni,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CHAOBORIDAE,,,CHAOBORUS
CHAULIODES,Genus,FALSE,4,4_middle,PR,IA; NE; MODNR; OK; MN; Tward; NRSA,CN,OK; MN; Tward; NRSA,semi,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,,MEGALOPTERA,CORYDALIDAE,,,CHAULIODES
CHAULIODES RASTRICORNIS,Species,FALSE,4,4_middle,PR,IA; NE; MODNR; OK; MN; Tward; NRSA,CN,IA; MN; Tward; NRSA,semi,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,,MEGALOPTERA,CORYDALIDAE,,,CHAULIODES
CHERNOVSKIIA,Genus,FALSE,,NA,CG,NE; OK; MN,SP,MN,NA,,,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,Chironominae,Chironomini,CHERNOVSKIIA
CHEUMATOPSYCHE,Genus,FALSE,4,4_worse,CF,IA; NE; MODNR; OK; MN; Tward; NRSA,CN,NE; OK; MN; Tward; NRSA,multi,NRSA,,FALSE,ARTHROPODA,INSECTA,,TRICHOPTERA,HYDROPSYCHIDAE,,,CHEUMATOPSYCHE
CHIMARRA,Genus,FALSE,3,,CF,IA; NE; MODNR; OK; MN; Tward; NRSA,CN,IA; NE; OK; MN; Tward; NRSA,uni,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,,TRICHOPTERA,PHILOPOTAMIDAE,,,CHIMARRA
CHIMARRA FERIA,Species,FALSE,3,,CF,NE; OK; Tward; NRSA,CN,NE; Tward; NRSA,uni,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,,TRICHOPTERA,PHILOPOTAMIDAE,,,CHIMARRA
CHIMARRA OBSCURA,Species,FALSE,3,,CF,IA; NE; OK; MN; Tward; NRSA,CN,NE; Tward; NRSA,uni,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,,TRICHOPTERA,PHILOPOTAMIDAE,,,CHIMARRA
CHIRONOMIDAE,Family,FALSE,4,4_middle,CG,IA; NE; MODNR; OK; MN; ;,BU,IA; MODNR; OK,multi,NRSA,,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,,,
CHIRONOMUS,Genus,FALSE,4,4_worse,CG,NE; MODNR; OK; MN; Tward; NRSA,BU,NE; MODNR; OK; MN; Tward; NRSA,uni,NRSA,,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,Chironominae,Chironomini,CHIRONOMUS
CHIRONOMUS ATTENUATUS,Species,FALSE,4,4_worse,CG,Tward; NRSA,BU,Tward; NRSA,uni,NRSA,,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,Chironominae,Chironomini,CHIRONOMUS
CHIRONOMUS RIPARIUS,Species,FALSE,4,4_worse,CG,NE; Tward; NRSA,BU,NE; Tward; NRSA,uni,NRSA,,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,Chironominae,Chironomini,CHIRONOMUS
CHOROTERPES,Genus,FALSE,3,,CG,NE; MODNR; OK; MN; Tward; NRSA,CN,NE; OK; MN; Tward; NRSA,uni,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,,EPHEMEROPTERA,LEPTOPHLEBIIDAE,,,CHOROTERPES
CHOROTERPES/NEOCHOROTERPES,Genus,FALSE,4,4_better,"CG,PR",NRSA,CN,NRSA,uni,"Tward; NRSA, based on Choroterpes",,FALSE,ARTHROPODA,INSECTA,,EPHEMEROPTERA,LEPTOPHLEBIIDAE,,,CHOROTERPES/NEOCHOROTERPES
CHRYSOMELIDAE,Family,FALSE,,NA,SH,IA; NE; OK; MN; NRSA,CN,NE; OK; MN,NA,,,FALSE,ARTHROPODA,INSECTA,,COLEOPTERA,CHRYSOMELIDAE,,,
CHRYSOPS,Genus,FALSE,4,4_middle,PR,IA; MODNR; OK; MN; Tward; NRSA,SP,MODNR; OK; MN; Tward; NRSA,uni,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,,DIPTERA,TABANIDAE,,,CHRYSOPS
CINCINNATIA,Genus,FALSE,4,4_middle,SC,OK,NA,,NA,,,FALSE,MOLLUSCA,GASTROPODA,,NEOTAENIOGLOSSA,HYDROBIIDAE,,,CINCINNATIA
CINCINNATIA INTEGRA,Species,FALSE,4,4_middle,SC,OK,NA,,NA,,,FALSE,MOLLUSCA,GASTROPODA,,NEOTAENIOGLOSSA,HYDROBIIDAE,,,CINCINNATIA
CIPANGOPALUDINA,Genus,FALSE,,NA,SC,MN; NRSA,CB,MN,multi,NRSA,,FALSE,MOLLUSCA,GASTROPODA,,ARCHITAENIOGLOS,VIVIPARIDAE,,,CIPANGOPALUDINA
CIPANGOPALUDINA JAPONICA,Species,FALSE,,NA,SC,MN; NRSA,CB,MN,multi,NRSA,,FALSE,MOLLUSCA,GASTROPODA,,ARCHITAENIOGLOS,VIVIPARIDAE,,,CIPANGOPALUDINA
CLADOPELMA,Genus,FALSE,4,4_middle,CG,NE; MODNR; OK; MN; Tward; NRSA,BU,MODNR; OK; MN; Tward; NRSA,multi,Poff et al. 2006; Will Bouchard pers comm,,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,Chironominae,Chironomini,CLADOPELMA
CLADOTANYTARSUS,Genus,FALSE,4,4_middle,CG,NE; MODNR; OK; MN; Tward; NRSA,CB,NE; OK; MN; Tward; NRSA,multi,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,Chironominae,Tanytarsini,CLADOTANYTARSUS
CLIMACIA,Genus,FALSE,3,,PR,IA; NE; MODNR; OK; MN; Tward; NRSA,CB,NE; OK; MN; Tward; NRSA,multi,NRSA,,FALSE,ARTHROPODA,INSECTA,,NEUROPTERA,SISYRIDAE,,,CLIMACIA
CLIMACIA AREOLARIS,Species,FALSE,3,,PR,NE; OK; MN; Tward; NRSA,CB,NE; Tward; NRSA,multi,NRSA,,FALSE,ARTHROPODA,INSECTA,,NEUROPTERA,SISYRIDAE,,,CLIMACIA
CLINOTANYPUS,Genus,FALSE,4,4_middle,PR,NE; MODNR; MN; Tward; NRSA,BU,MODNR; OK; MN; Tward; NRSA,multi,Tward,,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,Tanypodinae,Coelotanypodini,CLINOTANYPUS
CLOEON DIPTERUM,Species,FALSE,,NA,CG,Tward; NRSA,SW,Tward; NRSA,NA,,,FALSE,ARTHROPODA,INSECTA,,EPHEMEROPTERA,BAETIDAE,,,CLOEON
COELOTANYPUS,Genus,FALSE,4,4_middle,PR,NE; MODNR; MN; Tward; NRSA,BU,MODNR; OK; MN; Tward; NRSA,NA,,,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,Tanypodinae,Coelotanypodini,COELOTANYPUS
COENAGRIONIDAE,Family,FALSE,4,4_worse,PR,IA; NE; MODNR; OK; MN; NRSA,CB,IA; NE; OK; MN,uni,NRSA,,FALSE,ARTHROPODA,INSECTA,,ODONATA,COENAGRIONIDAE,,,
COLEOPTERA,Order,FALSE,,NA,NA,,NA,,NA,,,FALSE,ARTHROPODA,INSECTA,,COLEOPTERA,,,,
COLLEMBOLA,Order,TRUE,4,4_middle,CG,IA; NE; MN,NA,,NA,,,FALSE,ARTHROPODA,INSECTA,,COLLEMBOLA,,,,
COPELATUS,Genus,FALSE,4,4_middle,PR,NE; MODNR; OK; MN; Tward; NRSA,SW,IA; NE; MODNR; OK; MN; Tward; NRSA,uni,Tward; NRSA,,TRUE,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,,COPELATUS
COPELATUS CHEVROLATI,Species,FALSE,4,4_middle,PR,OK; Tward; NRSA,SW,Tward; NRSA,uni,Tward; NRSA,,TRUE,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,,COPELATUS
COPELATUS CHEVROLATI RENOVATUS,Species,FALSE,4,4_middle,PR,OK; Tward; NRSA,SW,Tward; NRSA,uni,Tward; NRSA,,TRUE,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,,COPELATUS
COPELATUS GLYPHICUS,Species,FALSE,4,4_middle,PR,IA; OK; MN; Tward; NRSA,SW,MN; Tward; NRSA,uni,Tward; NRSA,,TRUE,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,,COPELATUS
COPTOTOMUS,Genus,FALSE,4,4_middle,PR,IA; NE; MODNR; OK; MN; Tward; NRSA,SW,IA; NE; MODNR; OK; MN; Tward; NRSA,uni,Tward; NRSA,,TRUE,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,,COPTOTOMUS
COPTOTOMUS INTERROGATUS,Species,FALSE,4,4_middle,PR,OK; Tward; NRSA,SW,Tward; NRSA,uni,Tward; NRSA,,TRUE,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,,COPTOTOMUS
COPTOTOMUS LONGULUS,Species,FALSE,4,4_middle,PR,IA; MN; Tward; NRSA,SW,MN; Tward; NRSA,uni,Tward; NRSA,,TRUE,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,,COPTOTOMUS
CORBICULA,Genus,FALSE,6m,,CF,IA; NE; OK; MN; NRSA,BU,NE; MN; NRSA,multi,NRSA,warm,FALSE,MOLLUSCA,BIVALVIA,,VENEROIDA,CORBICULIDAE,,,CORBICULA
CORBICULA FLUMINEA,Species,FALSE,6m,,CF,IA; NE; OK; MN; NRSA,BU,NE; MN; NRSA,multi,NRSA,warm,FALSE,MOLLUSCA,BIVALVIA,,VENEROIDA,CORBICULIDAE,,,CORBICULA
CORDULEGASTER,Genus,FALSE,,NA,PR,IA; NE; MN; Tward; NRSA,BU,IA; MN; Tward; NRSA,semi,NRSA,,FALSE,ARTHROPODA,INSECTA,,ODONATA,CORDULEGASTERIDAE,,,CORDULEGASTER
CORDULEGASTER OBLIQUA,Species,FALSE,,NA,PR,IA; NE; MN; Tward; NRSA,BU,IA; MN; Tward; NRSA,semi,NRSA,,FALSE,ARTHROPODA,INSECTA,,ODONATA,CORDULEGASTERIDAE,,,CORDULEGASTER
CORDULIIDAE,Family,FALSE,4,4_middle,PR,IA; NE; MODNR; OK; MN; NRSA,CB,IA; NE; OK; MN,uni,NRSA,,FALSE,ARTHROPODA,INSECTA,,ODONATA,CORDULIIDAE,,,
CORISELLA,Genus,FALSE,,NA,PR,IA; NE; MODNR; MN; Tward; NRSA,SW,NE; OK; MN; Tward; NRSA,multi,Tward,,TRUE,ARTHROPODA,INSECTA,,HEMIPTERA,CORIXIDAE,,,CORISELLA
CORIXIDAE,Family,FALSE,4,4_middle,PR,NE; MODNR; OK; MN,SW,IA; NE; MODNR; OK; MN; ;,multi,NRSA,,TRUE,ARTHROPODA,INSECTA,,HEMIPTERA,CORIXIDAE,,,
CORYDALIDAE,Family,FALSE,4,4_middle,PR,IA; NE; MODNR; OK; MN; ;,CN,IA; OK; MN,semi,NRSA,,FALSE,ARTHROPODA,INSECTA,,MEGALOPTERA,CORYDALIDAE,,,
CORYDALUS,Genus,FALSE,4,4_middle,PR,IA; NE; OK; MN; Tward; NRSA,CN,IA; MN; Tward; NRSA,"semi,uni","NRSA, GP BCG group",warm,FALSE,ARTHROPODA,INSECTA,,MEGALOPTERA,CORYDALIDAE,,,CORYDALUS
CORYDALUS CORNUTUS,Species,FALSE,4,4_middle,PR,IA; NE; OK; MN; Tward; NRSA,CN,IA; MN; Tward; NRSA,"semi,uni","NRSA, GP BCG group",warm,FALSE,ARTHROPODA,INSECTA,,MEGALOPTERA,CORYDALIDAE,,,CORYDALUS
CORYNONEURA,Genus,FALSE,4,4_middle,CG,NE; MODNR; OK; MN; Tward; NRSA,SP,NE; MODNR; OK; MN; Tward; NRSA,multi,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,Orthocladiinae,,CORYNONEURA
CRAMBIDAE,Family,FALSE,3,,SH,NE; MODNR; MN; NRSA,BU,NE; OK; NRSA,NA,,,FALSE,ARTHROPODA,INSECTA,,LEPIDOPTERA,CRAMBIDAE,,,
CRANGONYCTIDAE,Family,FALSE,4,4_middle,CG,IA; NE; MODNR; OK; MN; ;,SP,OK; MN,NA,,,FALSE,ARTHROPODA,MALACOSTRACA,,AMPHIPODA,CRANGONYCTIDAE,,,
CRANGONYX,Genus,FALSE,4,4_middle,CG,IA; NE; MODNR; OK; MN; ; NRSA,SP,OK; MN; NRSA,uni,NRSA,,FALSE,ARTHROPODA,MALACOSTRACA,,AMPHIPODA,CRANGONYCTIDAE,,,CRANGONYX
CRICOTOPUS,Genus,FALSE,4,4_middle,"SH,CG",NE; MN; Tward; NRSA,CN,MN; Tward,multi,Tward,,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,Orthocladiinae,,CRICOTOPUS
CRICOTOPUS (CRICOTOPUS),Subgenus,FALSE,4,4_middle,"SH,CG",MN; Tward,CN,MN; Tward; NRSA,multi,Tward,,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,Orthocladiinae,,CRICOTOPUS
CRICOTOPUS (CRICOTOPUS) BICINCTUS GR.,Species,FALSE,4,4_middle,"SH,CG",NRSA,CN,Tward; NRSA,multi,Tward,warm,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,Orthocladiinae,,CRICOTOPUS
CRICOTOPUS (CRICOTOPUS) TREMULUS GR.,Species,FALSE,4,4_middle,"SH,CG",NRSA,CN,Tward; NRSA,multi,Tward,,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,Orthocladiinae,,CRICOTOPUS
CRICOTOPUS (CRICOTOPUS) TRIFASCIA GR.,Species,FALSE,4,4_middle,"SH,CG",NRSA,CN,Tward; NRSA,multi,Tward,,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,Orthocladiinae,,CRICOTOPUS
CRICOTOPUS (ISOCLADIUS),Subgenus,FALSE,4,4_middle,"SH,CG",MN; Tward,CN,MN; Tward; NRSA,multi,Tward,,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,Orthocladiinae,,CRICOTOPUS
CRICOTOPUS (ISOCLADIUS) SYLVESTRIS GR.,Species,FALSE,4,4_middle,"SH,CG",NRSA,CN,Tward; NRSA,multi,Tward,,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,Orthocladiinae,,CRICOTOPUS
CRICOTOPUS/ORTHOCLADIUS,Genus,FALSE,4,4_middle,"SH,CG",MODNR; MN; NRSA,CN,MN; Tward; NRSA,multi,NRSA,,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,Orthocladiinae,,CRICOTOPUS/ORTHOCLADIUS
CRYPTOCHIRONOMUS,Genus,FALSE,4,4_worse,PR,NE; MODNR; MN; Tward; NRSA,SP,NE; MODNR; OK; MN; Tward; NRSA,multi,Tward,,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,Chironominae,Chironomini,CRYPTOCHIRONOMUS
CRYPTOTENDIPES,Genus,FALSE,4,4_middle,CG,NE; MODNR; OK; MN; Tward; NRSA,"BU,SP",NRSA; Tward,uni,Tward,,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,Chironominae,Chironomini,CRYPTOTENDIPES
CULEX,Genus,FALSE,4,4_worse,CF,IA; NE; MODNR; MN; Tward; NRSA,SW,NE; MODNR; OK; MN; Tward; NRSA,multi,Tward; NRSA,,TRUE,ARTHROPODA,INSECTA,,DIPTERA,CULICIDAE,,,CULEX
CULICIDAE,Family,FALSE,4,4_middle,CG,IA; MODNR; OK; MN; NRSA,SW,IA; NE; MODNR; OK; MN; NRSA,multi,NRSA,,TRUE,ARTHROPODA,INSECTA,,DIPTERA,CULICIDAE,,,
CULICOIDES,Genus,FALSE,4,4_middle,PR,MN; Tward,BU,MN; Tward,uni,Tward,,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CERATOPOGONIDAE,,,CULICOIDES
CURCULIONIDAE,Family,FALSE,4,4_middle,SH,IA; NE; OK; MN; NRSA,CN,IA; OK; MN,uni,NRSA,,FALSE,ARTHROPODA,INSECTA,,COLEOPTERA,CURCULIONIDAE,,,
CYBISTER,Genus,FALSE,,NA,PR,IA; NE; MODNR; OK; MN; Tward; NRSA,SW,NE; MODNR; OK; MN; Tward; NRSA,uni,Tward; NRSA,,TRUE,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,,CYBISTER
CYBISTER FIMBRIOLATUS,Species,FALSE,,NA,PR,IA; MN; Tward; NRSA,SW,MN; Tward; NRSA,uni,Tward; NRSA,,TRUE,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,,CYBISTER
CYMBIODYTA,Genus,FALSE,4,4_middle,CG,IA; NE; MN; Tward; NRSA,"BU,SW",NE; MODNR; OK; MN; Tward; NRSA,uni,Tward; NRSA,,TRUE,ARTHROPODA,INSECTA,,COLEOPTERA,HYDROPHILIDAE,,,CYMBIODYTA
CYPHON,Genus,FALSE,4,4_middle,SC,NRSA,CB,NRSA,NA,,,TRUE,ARTHROPODA,INSECTA,,COLEOPTERA,SCIRTIDAE,,,CYPHON
CYRNELLUS,Genus,FALSE,4,4_worse,CF,IA; NE; MODNR; OK; MN; Tward; NRSA,CN,NE; MN; Tward; NRSA,uni,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,,TRICHOPTERA,POLYCENTROPODIDAE,,,CYRNELLUS
CYRNELLUS FRATERNUS,Species,FALSE,4,4_worse,CF,IA; NE; MODNR; OK; MN; Tward; NRSA,CN,NE; MN; Tward; NRSA,uni,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,,TRICHOPTERA,POLYCENTROPODIDAE,,,CYRNELLUS
DERO,Genus,FALSE,4,4_middle,CG,NE; OK; MN; NRSA,BU,OK; MN; NRSA,multi,NRSA,,FALSE,ANNELIDA,CLITELLATA,OLIGOCHAETA,TUBIFICIDA,NAIDIDAE,,,DERO
DESMOPACHRIA,Genus,FALSE,4,4_middle,PR,NE; MODNR; OK; MN; Tward; NRSA,SW,NE; MODNR; OK; MN; Tward; NRSA,multi,Tward,,TRUE,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,,DESMOPACHRIA
DIAMESA,Genus,FALSE,3,,CG,NE; MODNR; OK; MN; Tward; NRSA,SP,NE; MODNR; OK; MN; Tward; NRSA,multi,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,Diamesinae,Diamesini,DIAMESA
DICROTENDIPES,Genus,FALSE,4,4_worse,CG,NE; MODNR; OK; MN; Tward; NRSA,BU,MODNR; OK; MN; Tward; NRSA,multi,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,Chironominae,Chironomini,DICROTENDIPES
DICROTENDIPES MODESTUS,Species,FALSE,4,4_worse,CG,NE; Tward; NRSA,BU,Tward; NRSA,multi,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,Chironominae,Chironomini,DICROTENDIPES
DICROTENDIPES NEOMODESTUS,Species,FALSE,4,4_worse,CG,NE; OK; Tward; NRSA,BU,Tward; NRSA,multi,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,Chironominae,Chironomini,DICROTENDIPES
DICROTENDIPES SIMPSONI,Species,FALSE,4,4_worse,CG,Tward; NRSA,BU,Tward; NRSA,multi,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,Chironominae,Chironomini,DICROTENDIPES
DIDYMOPS,Genus,FALSE,,NA,PR,IA; NE; OK; MN; Tward; NRSA,SP,NE; MN; Tward; NRSA,semi,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,,ODONATA,CORDULIIDAE,,,DIDYMOPS
DIDYMOPS TRANSVERSA,Species,FALSE,,NA,PR,IA; NE; OK; MN; Tward; NRSA,SP,NE; MN; Tward; NRSA,semi,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,,ODONATA,CORDULIIDAE,,,DIDYMOPS
DINEUTUS,Genus,FALSE,4,4_middle,PR,IA; NE; MODNR; OK; MN; Tward; NRSA,SW,MODNR; OK; MN; Tward; NRSA,uni,Tward,warm,TRUE,ARTHROPODA,INSECTA,,COLEOPTERA,GYRINIDAE,,,DINEUTUS
DINEUTUS CILIATUS,Species,FALSE,4,4_middle,PR,Tward; NRSA,SW,Tward; NRSA,uni,Tward,,TRUE,ARTHROPODA,INSECTA,,COLEOPTERA,GYRINIDAE,,,DINEUTUS
DINEUTUS SERRULATUS,Species,FALSE,4,4_middle,PR,Tward; NRSA,SW,Tward; NRSA,uni,Tward,,TRUE,ARTHROPODA,INSECTA,,COLEOPTERA,GYRINIDAE,,,DINEUTUS
DIPLOCLADIUS,Genus,FALSE,4,4_middle,CG,NE; MODNR; OK; MN; Tward; NRSA,SP,NE; MODNR; OK; MN; Tward; NRSA,uni,Tward,,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,Orthocladiinae,,DIPLOCLADIUS
DIPTERA,Order,FALSE,,NA,NA,,CB,OK,NA,,,FALSE,ARTHROPODA,INSECTA,,DIPTERA,,,,
DOLICHOPODIDAE,Family,FALSE,4,4_middle,PR,IA; NE; MODNR; OK; MN; NRSA,"SP,BU",NE; MODNR; OK; NRSA,NA,,,TRUE,ARTHROPODA,INSECTA,,DIPTERA,DOLICHOPODIDAE,,,
DREISSENA,Genus,FALSE,6m,,CF,MODNR; MN; NRSA,CN,MN,uni,NRSA,,FALSE,MOLLUSCA,BIVALVIA,,VENEROIDA,DREISSENIDAE,,,DREISSENA
DREISSENA POLYMORPHA,Species,FALSE,6m,,CF,MODNR; MN; NRSA,CN,MN,uni,NRSA,,FALSE,MOLLUSCA,BIVALVIA,,VENEROIDA,DREISSENIDAE,,,DREISSENA
DROMOGOMPHUS,Genus,FALSE,4,4_better,PR,IA; NE; MODNR; OK; MN; Tward; NRSA,BU,NE; MODNR; OK; MN; Tward; NRSA,semi,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,,ODONATA,GOMPHIDAE,,,DROMOGOMPHUS
DROMOGOMPHUS SPINOSUS,Species,FALSE,4,4_better,PR,IA; OK; MN; Tward; NRSA,BU,IA; MN; Tward; NRSA,semi,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,,ODONATA,GOMPHIDAE,,,DROMOGOMPHUS
DROMOGOMPHUS SPOLIATUS,Species,FALSE,4,4_better,PR,OK; Tward; NRSA,BU,Tward; NRSA,semi,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,,ODONATA,GOMPHIDAE,,,DROMOGOMPHUS
DUBIRAPHIA,Genus,FALSE,4,4_middle,"CG,SC",NE; MODNR; OK; MN; Tward; NRSA,CN,NE; OK; MN; Tward; NRSA,"semi,uni",NRSA,,FALSE,ARTHROPODA,INSECTA,,COLEOPTERA,ELMIDAE,,,DUBIRAPHIA
