Taxon_orig,NonTarget,Rationale,OTU_MTTI,OTU_MetricCalc,OTU_BCG_MariNW,OTU_BSTI
Liodessus obscurellus,FALSE,Genera within Hydroporinae in flux best to leave at subfamily,Hydroporinae,Hydroporinae,Hydroporinae,Hydroporinae
Lipsothrix,FALSE,,DNI,Lipsothrix,Lipsothrix,DNI
Lirceus,FALSE,,DNI,Lirceus,Lirceus,DNI
Lithoglyphidae,FALSE,,Truncatelloidea,Truncatelloidea,Truncatelloidea,Truncatelloidea
Ljania,FALSE,,DNI,Ljania,Trombidiformes,DNI
Lopescladius,FALSE,,Lopescladius,Lopescladius,Lopescladius,DNI
Lumbricidae,TRUE,Mostly Terrestrial,DNI,DNI,DNI,DNI
Lumbricina,TRUE,Mostly Terrestrial,DNI,DNI,DNI,DNI
Lumbriculida,TRUE,Mostly Terrestrial,DNI,DNI,DNI,DNI
Lumbriculidae,FALSE,,Lumbriculidae,Lumbriculidae,Oligochaeta,Lumbriculidae
Lumbriculus,FALSE,,Lumbriculidae,Lumbriculidae,Oligochaeta,Lumbriculidae
Lutrochus,FALSE,,DNI,Lutrochus,Lutrochus,DNI
Lymnaea,FALSE,,Lymnaeidae,Lymnaeidae,Lymnaeidae,Lymnaeidae
Lymnaea auricularia,FALSE,This is actually Radix  an invaisive,Lymnaeidae,Lymnaeidae,Lymnaeidae,Lymnaeidae
Lymnaeidae,FALSE,,Lymnaeidae,Lymnaeidae,Lymnaeidae,Lymnaeidae
Maccaffertium,FALSE,,DNI,Maccaffertium,Maccaffertium,DNI
Maccaffertium terminatum,FALSE,,DNI,Maccaffertium,Maccaffertium,DNI
Maccaffertium vicarium,FALSE,,DNI,Maccaffertium,Maccaffertium,DNI
Maccaffertium/Stenonema,FALSE,,DNI,Maccaffertium,Maccaffertium,DNI
Macromia,FALSE,,DNI,Macromia,Macromia,DNI
Macromiidae,FALSE,,DNI,Macromiidae,Macromiidae,DNI
Macropelopia,FALSE,,Macropelopia,Macropelopia,Macropelopia,Macropelopia
Macropelopia decedens,FALSE,,Macropelopia,Macropelopia,Macropelopia,Macropelopia
Macropelopiini,FALSE,,DNI,Macropelopiini,Macropelopiini,DNI
Macrovelia,TRUE,Excluded as water column or surface dwellers,DNI,DNI,DNI,DNI
Macrovelia hornii,TRUE,Excluded as water column or surface dwellers,DNI,DNI,DNI,DNI
Malenka,FALSE,,Malenka,Malenka,Malenka,Malenka
Malenka depressa,FALSE,,Malenka,Malenka,Malenka,Malenka
Mallochohelea,FALSE,Too Many unknown Genera,Ceratopogoninae,Ceratopogoninae,Ceratopogoninae,Ceratopogoninae
Manayunkia speciosa,TRUE,Polychaeta excluded,DNI,DNI,DNI,DNI
Margaritifera,FALSE,,DNI,Margaritiferidae,Margaritiferidae,DNI
Margaritifera falcata,FALSE,,DNI,Margaritiferidae,Margaritiferidae,DNI
Margaritiferidae,FALSE,,DNI,Margaritiferidae,Margaritiferidae,DNI
Marilia,FALSE,,DNI,Marilia,Marilia,DNI
Marionina,TRUE,Dubious ID ( known from MN and WI),DNI,DNI,DNI,DNI
Maruina,FALSE,,Maruina,Maruina,Maruina,Maruina
Maruina lanceolata,FALSE,,Maruina,Maruina,Maruina,Maruina
Matriella,FALSE,Single species in Genus,Matriella teresa,Matriella teresa,Matriella teresa,Matriella teresa
Matriella teresa,FALSE,Single species in Genus,Matriella teresa,Matriella teresa,Matriella teresa,Matriella teresa
Megadrile,TRUE,Terrestrial,DNI,DNI,DNI,DNI
Megaleuctra,FALSE,,DNI,Megaleuctra,Megaleuctra,DNI
Megaloptera,FALSE,,DNI,Megaloptera,Megaloptera,DNI
Megarcys,FALSE,,Megarcys,Megarcys,Megarcys,Megarcys
Megarcys subtruncata,FALSE,,Megarcys,Megarcys,Megarcys,Megarcys
Melanoides,TRUE,"Not Native, more SW ( known from Harney Co. Oregon)",DNI,DNI,DNI,DNI
Mena,FALSE,,Hydra,Hydra,Hydra,DNI
Menetus,FALSE,,Menetus,Menetus,Menetus,Menetus
Menetus (Micromenetus),FALSE,,Menetus,Menetus,Menetus,Menetus
Menetus opercularis,FALSE,,Menetus,Menetus,Menetus,Menetus
Meringodixa,FALSE,,Meringodixa,Meringodixa,Meringodixa,Meringodixa
Meringodixa chalonensis,FALSE,,Meringodixa,Meringodixa,Meringodixa,Meringodixa
Meropelopia,FALSE,These should all have been Group,Thienemannimyia Group,Thienemannimyia Group,Thienemannimyia Group,Thienemannimyia Group
Merycomyia,FALSE,,Tabanidae,Tabanidae,Tabanidae,Tabanidae
Mesenchytraeus,FALSE,,Mesenchytraeus,Mesenchytraeus,Oligochaeta,Mesenchytraeus
Mesenchytraeus ,FALSE,Trailing space after genus Name,Mesenchytraeus,Mesenchytraeus,Oligochaeta,Mesenchytraeus
Mesobates,FALSE,,DNI,Mesobates,Trombidiformes,DNI
Mesocapnia,FALSE,,Capniidae,Capniidae,Capniidae,Capniidae
Mesocricotopus,FALSE,,DNI,Mesocricotopus,Mesocricotopus,DNI
Mesosmittia,FALSE,,DNI,Mesosmittia,Mesosmittia,DNI
Mesovelia,TRUE,Excluded as water column or surface dwellers,DNI,DNI,DNI,DNI
Metachela,TRUE,Excluded as water column or surface dwellers,DNI,DNI,DNI,DNI
Metacnephia,FALSE,,DNI,Metacnephia,Metacnephia,DNI
Metrichia,FALSE,,DNI,Hydroptilidae,Hydroptilidae,DNI
Metriocnemus,FALSE,,Metriocnemus,Metriocnemus,Metriocnemus,Metriocnemus
Metrobates,TRUE,Excluded as water column or surface dwellers,DNI,DNI,DNI,DNI
Metrobates trux,TRUE,Excluded as water column or surface dwellers,DNI,DNI,DNI,DNI
Mica,TRUE,marine,DNI,DNI,DNI,DNI
Micrasema,FALSE,,Micrasema,Micrasema,Micrasema,Micrasema
Micrasema dimicki,FALSE,,Micrasema,Micrasema,Micrasema,Micrasema
Microchironomus,FALSE,,DNI,Microchironomus,Microchironomus,DNI
Microcylloepus,FALSE,,Microcylloepus,Microcylloepus,Microcylloepus,DNI
Microcylloepus pusillus,FALSE,,Microcylloepus,Microcylloepus,Microcylloepus,DNI
Microcylloepus similis,FALSE,,Microcylloepus,Microcylloepus,Microcylloepus,DNI
Micromenetus,FALSE,,Menetus,Menetus,Menetus,Menetus
Micromenetus dilatatus,FALSE,,Menetus,Menetus,Menetus,Menetus
Micropsectra,FALSE,,Micropsectra,Micropsectra,Micropsectra,Micropsectra
Micropsectra/Tanytarsus,FALSE,,DNI,Tanytarsini,Tanytarsini,DNI
Microsporidae,TRUE,Terrestrial,DNI,DNI,DNI,DNI
Microtendipes,FALSE,,Microtendipes,Microtendipes,Microtendipes,Microtendipes
Microtendipes Pedellus gr.,FALSE,FORMATTING,Microtendipes,Microtendipes Pedellus Group,Microtendipes Pedellus Group,Microtendipes
Microtendipes pedellus group,FALSE,FORMATTING,Microtendipes,Microtendipes Pedellus Group,Microtendipes Pedellus Group,Microtendipes
Microtendipes Pedellus Group,FALSE,FORMATTING,Microtendipes,Microtendipes Pedellus Group,Microtendipes Pedellus Group,Microtendipes
Microtendipes pedellus Group,FALSE,FORMATTING,Microtendipes,Microtendipes Pedellus Group,Microtendipes Pedellus Group,Microtendipes
Microtendipes rydalensis,FALSE,FORMATTING,Microtendipes,Microtendipes Rydalensis Group,Microtendipes Rydalensis Group,Microtendipes
Microtendipes Rydalensis Gr.,FALSE,FORMATTING,Microtendipes,Microtendipes Rydalensis Group,Microtendipes Rydalensis Group,Microtendipes
Microtendipes rydalensis group,FALSE,FORMATTING,Microtendipes,Microtendipes Rydalensis Group,Microtendipes Rydalensis Group,Microtendipes
Microtendipes Rydalensis Group,FALSE,FORMATTING,Microtendipes,Microtendipes Rydalensis Group,Microtendipes Rydalensis Group,Microtendipes
Microtendipes rydalensis Group,FALSE,FORMATTING,Microtendipes,Microtendipes Rydalensis Group,Microtendipes Rydalensis Group,Microtendipes
Microvelia,TRUE,Excluded as water column or surface dwellers,DNI,DNI,DNI,DNI
Midea,FALSE,,DNI,Midea,Trombidiformes,DNI
Mideopsidae,FALSE,,DNI,Mideopsidae,Trombidiformes,DNI
Mideopsis,FALSE,,Mideopsis,Mideopsis,Trombidiformes,Mideopsis
Molanna,FALSE,,DNI,Molanna,Molanna,DNI
Mollusca,TRUE,Too Coarse,DNI,DNI,DNI,DNI
Molophilus,FALSE,,DNI,Molophilus,Molophilus,DNI
Momonia,FALSE,,DNI,Momonia,Trombidiformes,DNI
Momoniidae,FALSE,,DNI,Momoniidae,Trombidiformes,DNI
Monatractides,FALSE,,Monatractides,Monatractides,Trombidiformes,Monatractides
Monodiamesa,FALSE,,Monodiamesa,Monodiamesa,Monodiamesa,Monodiamesa
Monohelea,FALSE,Too Many unknown Genera,Ceratopogoninae,Ceratopogoninae,Ceratopogoninae,Ceratopogoninae
Monopelopia,FALSE,,DNI,Monopelopia,Monopelopia,DNI
Monophylax,FALSE,Single species,DNI,Monophylax mono,Monophylax mono,DNI
Monophylax mono,FALSE,Single species,DNI,Monophylax mono,Monophylax mono,DNI
Mooreobdella,FALSE,,Hirudinida,Erpobdella,Erpobdella,Hirudinida
Moselia,FALSE,,Moselia,Moselia,Moselia,Moselia
Moselia infuscata,FALSE,Now two species in NW,Moselia,Moselia,Moselia,Moselia
Moselyana,FALSE,Single Species in Genus,DNI,Moselyana comosa,Moselyana comosa,DNI
Moselyana comosa,FALSE,Single Species in Genus,DNI,Moselyana comosa,Moselyana comosa,DNI
Munroessa/Synclita,FALSE,Lot of these are terrestrial,DNI,Lepidoptera,Lepidoptera,DNI
Muscidae,FALSE,,Muscidae,Muscidae,Muscidae,Muscidae
Muscomorpha,TRUE,Terrestrial,DNI,DNI,DNI,DNI
Musculium,FALSE,,Sphaeriidae,Musculium,Musculium,Sphaeriidae
Mycetophilidae,TRUE,Terrestrial,DNI,DNI,DNI,DNI
Mystacides,FALSE,,Mystacides,Mystacides,Mystacides,DNI
Mystacides alafimbriata,FALSE,spelling mistake,Mystacides,Mystacides,Mystacides,DNI
Mystacides alafimbriatus,FALSE,,Mystacides,Mystacides,Mystacides,DNI
Myzobdella,FALSE,,Hirudinida,Erpobdella,Erpobdella,Hirudinida
Naididae,FALSE,,DNI,Naididae,Oligochaeta,DNI
Naidinae,FALSE,,Naidinae,Naidinae,Oligochaeta,Naidinae
Nais,FALSE,,Naidinae,Nais,Oligochaeta,Naidinae
Nais communis,FALSE,,Naidinae,Nais,Oligochaeta,Naidinae
Nais variabilis,FALSE,,Naidinae,Nais,Oligochaeta,Naidinae
Najadicola,FALSE,,DNI,Najadicola,Trombidiformes,DNI
Namamyia,FALSE,,DNI,Namamyia,Namamyia,DNI
Namamyia plutonis,FALSE,,DNI,Namamyia,Namamyia,DNI
Nanocladius,FALSE,,Nanocladius,Nanocladius,Nanocladius,Nanocladius
Nanonemoura wahkeena,FALSE,endmic to Co. River Gorge,DNI,Nanonemoura wahkeena,Nanonemoura wahkeena,DNI
Narpus,FALSE,,Narpus,Narpus,Narpus,Narpus
Narpus angustus,FALSE,,Narpus,Narpus,Narpus,Narpus
Narpus concolor,FALSE,,Narpus,Narpus,Narpus,Narpus
Natarsia,FALSE,,Natarsia,Natarsia,Natarsia,Natarsia
Naucoridae,TRUE,Excluded as water column or surface dwellers,DNI,DNI,DNI,DNI
Nautarachna,FALSE,,Nautarachna,Nautarachna,Trombidiformes,Nautarachna
Nautarachnidae,FALSE,,Nautarachna,Nautarachnidae,Trombidiformes,Nautarachna
Neanthes,TRUE,Polychaeta excluded,DNI,DNI,DNI,DNI
Neanthes limnicola,TRUE,Polychaeta excluded,DNI,DNI,DNI,DNI
Neaviperla forcipata,FALSE,,Neaviperla/Suwallia,Neaviperla/Suwallia,Neaviperla/Suwallia,DNI
Neaviperla/Suwallia,FALSE,Slashed taxon,Neaviperla/Suwallia,Neaviperla/Suwallia,Neaviperla/Suwallia,DNI
Nebrioporus,FALSE,Genera within Hydroporinae in flux best to leave at subfamily,Hydroporinae,Hydroporinae,Hydroporinae,Hydroporinae
Nebrioporus/Stictotarsus,FALSE,Genera within Hydroporinae in flux best to leave at subfamily,Hydroporinae,Hydroporinae,Hydroporinae,Hydroporinae
Nectoporus,FALSE,"Genera within Hydroporinae in flux; for MTTI, best to leave at subfamily",Hydroporinae,Nectoporus,Nectoporus,DNI
Nectoprus,FALSE,misspelled,Hydroporinae,Nectoporus,Nectoporus,Hydroporinae
Nectopsyche,FALSE,,DNI,Nectopsyche,Nectopsyche,DNI
Nectopsyche gracilis,FALSE,,DNI,Nectopsyche,Nectopsyche,DNI
Nemata,FALSE,,Nemata,Nemata,Nemata,Nemata
Nematocera,FALSE,,DNI,Nematocera,Nematocera,DNI
Nematoda,FALSE,,Nemata,Nemata,Nemata,Nemata
Nematomorpha,FALSE,,DNI,Nematomorpha,Nematomorpha,DNI
Nemertea,FALSE,,Prostoma,Prostoma,Prostoma,DNI
Nemotaulius hostilis,FALSE,,DNI,Nemotaulius hostilis,Nemotaulius hostilis,DNI
Nemotelus,FALSE,,Stratiomyidae,Nemotelus,Nemotelus,DNI
Nemoura,FALSE,,DNI,Nemouridae,Nemouridae,DNI
Nemouridae,FALSE,,DNI,Nemouridae,Nemouridae,DNI
Neoacarus,FALSE,,DNI,Neoacarus,Trombidiformes,DNI
Neochoroterpes,FALSE,,DNI,Neochoroterpes,Neochoroterpes,DNI
Neoclypeodytes,FALSE,Regionally present??? Mostly SW MesoAmerica,Hydroporinae,Hydroporinae,Hydroporinae,Hydroporinae
Neoclypeodytes ornatellus,FALSE,Regionally present??? Mostly SW MesoAmerica,Hydroporinae,Hydroporinae,Hydroporinae,Hydroporinae
Neocorixa,TRUE,Corixidae excluded,DNI,DNI,DNI,DNI
Neohermes,FALSE,,Corydalidae,Neohermes,Neohermes,Corydalidae
Neoleptophlebia,FALSE,Slashed taxon,Neoleptophlebia/Paraleptophlebia,Neoleptophlebia/Paraleptophlebia,Neoleptophlebia/Paraleptophlebia,Neoleptophlebia/Paraleptophlebia
Neoleptophlebia bicornuta group,FALSE,,Paraleptophlebia Bicornuta Group,Paraleptophlebia Bicornuta Group,Paraleptophlebia Bicornuta Group,Paraleptophlebia Bicornuta Group
Neoleptophlebia/Paraleptophlebia,FALSE,Slashed taxon,Neoleptophlebia/Paraleptophlebia,Neoleptophlebia/Paraleptophlebia,Neoleptophlebia/Paraleptophlebia,Neoleptophlebia/Paraleptophlebia
Neomysis,TRUE,Generally excluded in lotic benthic samples,DNI,DNI,DNI,DNI
Neophylax,FALSE,,DNI,Neophylax,Neophylax,DNI
Neophylax occidentis,FALSE,,DNI,Neophylax occidentis,Neophylax occidentis,DNI
Neophylax rickeri,FALSE,,Neophylax rickeri,Neophylax rickeri,Neophylax rickeri,Neophylax rickeri
Neophylax splendens,FALSE,,Neophylax splendens,Neophylax splendens,Neophylax splendens,Neophylax splendens
Neoplanorbis,FALSE,,DNI,Planorbidae,Planorbidae,DNI
Neoplasta,FALSE,,Neoplasta,Neoplasta,Neoplasta,Neoplasta
Neoplea striola,TRUE,Excluded as water column or surface dwellers,DNI,DNI,DNI,DNI
Neoporus,FALSE,Genera within Hydroporinae in flux best to leave at subfamily,Hydroporinae,Neoporus,Neoporus,Hydroporinae
Neoporus undulatus,FALSE,Genera within Hydroporinae in flux best to leave at subfamily,Hydroporinae,Neoporus,Neoporus,Hydroporinae
Neothremma,FALSE,,Neothremma,Neothremma,Neothremma,Neothremma
Neothremma alicia,FALSE,,Neothremma,Neothremma,Neothremma,Neothremma
Neotrichia,FALSE,,DNI,Neotrichia,Neotrichia,DNI
Nereididae,TRUE,Polychaeta excluded,DNI,DNI,DNI,DNI
Nerophilus,FALSE,,DNI,Nerophilus,Nerophilus,DNI
Nerophilus californicus,FALSE,,DNI,Nerophilus,Nerophilus,DNI
Neumania,FALSE,,DNI,Neumania,Trombidiformes,DNI
Neureclipsis,FALSE,,DNI,Neureclipsis,Neureclipsis,DNI
Neuroptera,FALSE,I tend to exclude these,DNI,Neuroptera,Neuroptera,DNI
Nilotanypus,FALSE,,Nilotanypus,Nilotanypus,Nilotanypus,Nilotanypus
Nilotanypus fimbriatus,FALSE,,Nilotanypus,Nilotanypus,Nilotanypus,Nilotanypus
Nilothauma,FALSE,,DNI,Nilothauma,Nilothauma,DNI
Nimbocera,FALSE,Jr. Syn. of Tanytarsus,Tanytarsus,Tanytarsus,Tanytarsus,Tanytarsus
Nippotipula,FALSE,,Tipula,Tipula,Tipula,Tipula
Nixe,FALSE,most PNW Nixe are Afghanurus,Afghanurus,Afghanurus,Afghanurus,Afghanurus
Nixe/Leucocruta,FALSE,,DNI,Heptageniidae,Heptageniidae,DNI
Noctuidae,FALSE,Lot of these are terrestrial,DNI,Lepidoptera,Lepidoptera,DNI
Nootkadrilus,FALSE,,DNI,Nootkadrilus,Oligochaeta,DNI
Nootkadrilus longisetosus,FALSE,,DNI,Nootkadrilus,Oligochaeta,DNI
Noteridae,FALSE,mostly eastern and neotropical ( no known records from OR and WA)dubious ID (Nilsson 2011),DNI,Noteridae,Noteridae,DNI
Notonecta,TRUE,Excluded as water column or surface dwellers,DNI,DNI,DNI,DNI
Notonecta kirbyi,TRUE,Excluded as water column or surface dwellers,DNI,DNI,DNI,DNI
Notonecta undulata,TRUE,Excluded as water column or surface dwellers,DNI,DNI,DNI,DNI
Notonectidae,TRUE,Excluded as water column or surface dwellers,DNI,DNI,DNI,DNI
Notostraca,TRUE,tadpole shrimp temporary habitats not lotic stream samples,DNI,DNI,DNI,DNI
Nyctiophylax,TRUE,,DNI,Nyctiophylax,Nyctiophylax,DNI
Ochrotrichia,FALSE,,Ochrotrichia,Ochrotrichia,Ochrotrichia,Ochrotrichia
Ochrotrichia alsea,FALSE,,Ochrotrichia,Ochrotrichia,Ochrotrichia,Ochrotrichia
Ochrotrichia stylata,FALSE,,Ochrotrichia,Ochrotrichia,Ochrotrichia,Ochrotrichia
Ochthebius,FALSE,,Hydraenidae,Hydraenidae,Hydraenidae,Hydraenidae
Octogomphus,FALSE,,Octogomphus,Octogomphus,Octogomphus,Octogomphus
Octogomphus specularis,FALSE,,Octogomphus,Octogomphus,Octogomphus,Octogomphus
Ocybrachypoda,FALSE,,DNI,Ocybrachypoda,Trombidiformes,DNI
Odonata,FALSE,,DNI,Odonata,Odonata,DNI
Odontoceridae,FALSE,,DNI,Odontoceridae,Odontoceridae,DNI
Odontomesa,FALSE,,Odontomesa,Odontomesa,Odontomesa,Odontomesa
Odontomesa fulva,FALSE,,Odontomesa,Odontomesa,Odontomesa,Odontomesa
Odontomyia,FALSE,,Stratiomyidae,Odontomyia,Odontomyia,DNI
Oecetis,FALSE,,Oecetis,Oecetis,Oecetis,DNI
Oecetis avara,FALSE,,Oecetis,Oecetis,Oecetis,DNI
Oecetis avara group,FALSE,,Oecetis,Oecetis,Oecetis,DNI
Oecetis Avara Group,FALSE,,Oecetis,Oecetis,Oecetis,DNI
Oecetis disjuncta,FALSE,,Oecetis,Oecetis,Oecetis,DNI
Olea,TRUE,Marine,DNI,DNI,DNI,DNI
Oligia,FALSE,Lot of these are terrestrial,DNI,Lepidoptera,Lepidoptera,DNI
Oligoceras,TRUE,Sponges excluded,DNI,DNI,DNI,DNI
Oligochaeta,FALSE,,DNI,Oligochaeta,Oligochaeta,DNI
oligochaetous Clitellata,FALSE,,DNI,Oligochaeta,Oligochaeta,DNI
Oligophlebodes,FALSE,,Oligophlebodes,Oligophlebodes,Oligophlebodes,Oligophlebodes
Oligota,TRUE,Terrestrial,DNI,DNI,DNI,DNI
Oliveridia,FALSE,disjunct dist. Good ID backing off to family,DNI,Orthocladiinae,Orthocladiinae,DNI
Onocosmoecus,FALSE,two species in region,Onocosmoecus,Onocosmoecus,Onocosmoecus,Onocosmoecus
Onocosmoecus unicolor,FALSE,two species in region,Onocosmoecus,Onocosmoecus,Onocosmoecus,Onocosmoecus
Opeas,TRUE,Marine,DNI,DNI,DNI,DNI
Ophidonais,FALSE,,Naidinae,Ophidonais,Oligochaeta,Naidinae
Ophidonais serpentina,FALSE,,Naidinae,Ophidonais,Oligochaeta,Naidinae
Ophiogomphus,FALSE,,Ophiogomphus,Ophiogomphus,Ophiogomphus,Ophiogomphus
Ophiogomphus occidentis,FALSE,,Ophiogomphus,Ophiogomphus,Ophiogomphus,Ophiogomphus
Ophiogomphus severus,FALSE,,Ophiogomphus,Ophiogomphus,Ophiogomphus,Ophiogomphus
Optioservus,FALSE,,Optioservus,Optioservus,Optioservus,Optioservus
Optioservus castanipennis,FALSE,,Optioservus,Optioservus,Optioservus,Optioservus
Optioservus divergens,FALSE,,Optioservus,Optioservus,Optioservus,Optioservus
Optioservus divergens/pecosensis,FALSE,,Optioservus,Optioservus,Optioservus,Optioservus
Optioservus pecosensis,FALSE,,Optioservus,Optioservus,Optioservus,Optioservus
Optioservus quadrimaculatus,FALSE,,Optioservus,Optioservus,Optioservus,Optioservus
Optioservus Quadrimaculatus Gr.,FALSE,,Optioservus,Optioservus,Optioservus,Optioservus
Optioservus quadrimaculatus group,FALSE,,Optioservus,Optioservus,Optioservus,Optioservus
Optioservus seriatus,FALSE,,Optioservus,Optioservus,Optioservus,Optioservus
Oravelia,TRUE,Shore bugs,DNI,DNI,DNI,DNI
Orconectes,FALSE,,DNI,Orconectes,Orconectes,DNI
Ordobrevia,FALSE,only one species in Genus,Ordobrevia nubifera,Ordobrevia nubifera,Ordobrevia nubifera,Ordobrevia nubifera
Ordobrevia nubifera,FALSE,only one species in Genus,Ordobrevia nubifera,Ordobrevia nubifera,Ordobrevia nubifera,Ordobrevia nubifera
Oregonacarus,FALSE,,DNI,Oregonacarus,Trombidiformes,DNI
Oregonia,TRUE,marine,DNI,DNI,DNI,DNI
Oreodytes,FALSE,Genera within Hydroporinae in flux best to leave at subfamily,Hydroporinae,Oreodytes,Oreodytes,Hydroporinae
Oreodytes abbreviatus,FALSE,Genera within Hydroporinae in flux best to leave at subfamily,Hydroporinae,Oreodytes,Oreodytes,Hydroporinae
Oreodytes congruus,FALSE,Genera within Hydroporinae in flux best to leave at subfamily,Hydroporinae,Oreodytes,Oreodytes,Hydroporinae
Oreodytes obesus,FALSE,Genera within Hydroporinae in flux best to leave at subfamily,Hydroporinae,Oreodytes,Oreodytes,Hydroporinae
Oreodytes quadrimaculatus,FALSE,Genera within Hydroporinae in flux best to leave at subfamily,Hydroporinae,Oreodytes,Oreodytes,Hydroporinae
Oreodytes sanmarkii,FALSE,Genera within Hydroporinae in flux best to leave at subfamily,Hydroporinae,Oreodytes,Oreodytes,Hydroporinae
Oreogeton,FALSE,,Oreogeton,Oreogeton,Oreogeton,Oreogeton
Oreoleptis torrenticola,FALSE,,DNI,Oreoleptis torrenticola,Oreoleptis torrenticola,DNI
Oribatei,FALSE,,Oribatida,Oribatida,Oribatida,Oribatida
Oribatida,FALSE,,Oribatida,Oribatida,Oribatida,Oribatida
Ormosia,FALSE,,DNI,Ormosia,Ormosia,DNI
Orohermes,FALSE,,Corydalidae,Orohermes,Orohermes,Corydalidae
Orohermes crepusculus,FALSE,,Corydalidae,Orohermes,Orohermes,Corydalidae
Oroperla,FALSE,"single species, mostly California",DNI,Oroperla barbara,Oroperla barbara,DNI
Oropuella,FALSE,,Oropuella,Oropuella,Oropuella,Oropuella
Orthocladiinae,FALSE,,DNI,Orthocladiinae,Orthocladiinae,DNI
Orthocladiinae Genus 5 (Coffman and Ferrington),FALSE,,DNI,Orthocladiinae,Orthocladiinae,DNI
Orthocladiinae sp. (RAI Taxon # 0001),FALSE,,Oropuella,Oropuella,Oropuella,Oropuella
Orthocladiinae sp. (RAI Taxon # 0004),FALSE,,DNI,Orthocladiinae,Orthocladiinae,DNI
Orthocladiinae sp. (RAI Taxon # 0013),FALSE,,DNI,Orthocladiinae,Orthocladiinae,DNI
Orthocladiinae sp. (RAI Taxon #0001),FALSE,,Oropuella,Oropuella,Oropuella,Oropuella
Orthocladiinae sp. RAI # 0001,FALSE,,Oropuella,Oropuella,Oropuella,Oropuella
Orthocladiinae sp. RAI # 0004,FALSE,,DNI,Orthocladiinae,Orthocladiinae,DNI
Orthocladiinae sp. RAI # 0011,FALSE,,DNI,Orthocladiinae,Orthocladiinae,DNI
Orthocladiini/Metriocnemini,FALSE,,DNI,Orthocladiinae,Orthocladiinae,DNI
Orthocladius,FALSE,,Orthocladius,Orthocladius,Orthocladius,Orthocladius
Orthocladius (Euorthocladius),FALSE,FORMATTING,Orthocladius,Orthocladius (Euorthocladius),Orthocladius (Euorthocladius),Orthocladius
Orthocladius (Euorthocladius) rivicola group,FALSE,FORMATTING,Orthocladius,Orthocladius (Euorthocladius),Orthocladius (Euorthocladius),Orthocladius
Orthocladius (Euorthocladius) rivulorum,FALSE,FORMATTING,Orthocladius,Orthocladius (Euorthocladius),Orthocladius (Euorthocladius),Orthocladius
Orthocladius (Mesorthocladius),FALSE,FORMATTING,Orthocladius,Orthocladius (Mesorthocladius),Orthocladius (Mesorthocladius),Orthocladius
Orthocladius (Orthocladius),FALSE,,Orthocladius,Orthocladius,Orthocladius,Orthocladius
Orthocladius (Symposiocladius),FALSE,FORMATTING,Orthocladius,Orthocladius (Symposiocladius),Orthocladius (Symposiocladius),Orthocladius
Orthocladius (Symposiocladius) lignicola,FALSE,FORMATTING,Orthocladius,Orthocladius (Symposiocladius),Orthocladius (Symposiocladius),Orthocladius
Orthocladius (Symposiocladius) sp. 2,FALSE,FORMATTING,Orthocladius,Orthocladius (Symposiocladius),Orthocladius (Symposiocladius),Orthocladius
Orthocladius annectens,FALSE,FORMATTING,Orthocladius,Orthocladius (Orthocladius),Orthocladius (Orthocladius),Orthocladius
Orthocladius complex,FALSE,,Orthocladius complex,Orthocladius complex,Orthocladius complex,Orthocladius complex
Orthocladius Complex,FALSE,FORMATTING,Orthocladius complex,Orthocladius complex,Orthocladius complex,Orthocladius complex
Orthocladius consobrinus,FALSE,,Orthocladius,Orthocladius,Orthocladius,Orthocladius
Orthocladius Eudactylocladius,FALSE,,Orthocladius,Orthocladius,Orthocladius,Orthocladius
Orthocladius Euorthocladius,FALSE,FORMATTING,Orthocladius,Orthocladius (Euorthocladius),Orthocladius (Euorthocladius),Orthocladius
Orthocladius lignicola,FALSE,FORMATTING,Orthocladius,Orthocladius (Symposiocladius),Orthocladius (Symposiocladius),Orthocladius
Orthocladius Pogonocladius,FALSE,,Orthocladius,Orthocladius,Orthocladius,Orthocladius
Orthotrichia,FALSE,,DNI,Orthotrichia,Orthotrichia,DNI
Osobenus,FALSE,Single Species in Genus,DNI,Osobenus yakimae,Osobenus yakimae,DNI
Osobenus ,FALSE,Trailing space after genus Name,DNI,Osobenus yakimae,Osobenus yakimae,DNI
Osobenus yakimae,FALSE,Single Species in Genus,DNI,Osobenus yakimae,Osobenus yakimae,DNI
Ostracoda,FALSE,,Ostracoda,Ostracoda,Ostracoda,Ostracoda
Ostrocerca,FALSE,,DNI,Ostrocerca,Ostrocerca,DNI
Oxidae,FALSE,,DNI,Oxidae,Trombidiformes,DNI
Oxus,FALSE,,Oxus,Oxus,Trombidiformes,DNI
Oxycera,FALSE,,Stratiomyidae,Oxycera,Oxycera,DNI
Oxyethira,FALSE,,Oxyethira,Oxyethira,Oxyethira,DNI
Pachydiplax,FALSE,"not known in OR, WA",DNI,Libellulidae,Libellulidae,DNI
Pachydiplax longipennis,FALSE,"not known in OR, WA",DNI,Libellulidae,Libellulidae,DNI
Pachyprosopis (Parapachyprosopis),TRUE,Excluded as water column or surface dwellers,DNI,DNI,DNI,DNI
Pacifastacus,FALSE,,Pacifastacus,Pacifastacus,Pacifastacus,Pacifastacus
Pacifastacus connectens,FALSE,,Pacifastacus,Pacifastacus,Pacifastacus,Pacifastacus
Pacifastacus leniusculus,FALSE,,Pacifastacus,Pacifastacus,Pacifastacus,Pacifastacus
