ScientificName,CommonName,TYPE,HABITAT,REPRODUCTION,TOLER,TROPHIC,BCG_Attr_MN2_01,BCG_Attr_MN2_02,BCG_Attr_MN2_03,BCG_Attr_MN2_04,BCG_Attr_MN2_05,BCG_Attr_MN2_06,BCG_Attr_MN2_07,BCG_Attr_MN2_10,BCG_Attr_MN2_11,Family,Genus,Species
Gasterosteus aculeatus,threespine stickleback,"EX,SL",,"MA<2,NE","T,TCW",,6a,6a,6a,6a,6a,6a,6a,,,Gasterosteidae,Gasterosteus,aculeatus
Gobiidae,gobies,,,,,,,,,,,,,,,Gobiidae,,
Gymnocephalus cernuus,ruffe,EX,,"MA<2,SER","T,TCW",,6a,6a,6a,6a,6a,6a,6a,6a,6a,Percidae,Gymnocephalus,cernuus
Hiodon alosoides,goldeye,,,MA>3-T,,IN-T,3,3,,3,3,,,,,Hiodontidae,Hiodon,alosoides
Hiodon tergisus,mooneye,,,,S,IN-T,3,3,,3,3,,,,,Hiodontidae,Hiodon,tergisus
Acantharchus pomotis,mud sunfish,,,,,,,,,,,,,,,Centrarchidae,Acantharchus,pomotis
Acipenser fulvescens,lake sturgeon,,,"MA>3-T,SILI","I,S","BI-T,IN-T",1,1,,1,1,,,,,Acipenseridae,Acipenser,fulvescens
Acipenseridae,sturgeons,,,SILI,,"BI-T,IN-T",,,,,,,,,,Acipenseridae,,
Alosa chrysochloris,skipjack herring,,,,,PI,,,,,,,,,,Clupeidae,Alosa,chrysochloris
Alosa pseudoharengus,alewife,EX,,MA>3-T,,,,,,,,,,,,Clupeidae,Alosa,pseudoharengus
Ambloplites rupestris,rock bass,PERC,,"MA>3-T,NE",S,PI,3,3,3,3,3,3,3,4,4,Centrarchidae,Ambloplites,rupestris
Ameiurus,bullheads,,,,,"GE,OM",,,,,,,,,,Ictaluridae,Ameiurus,
Ameiurus catus,white catfish,,,,,,,,,,,,,,,Ictaluridae,Ameiurus,catus
Ameiurus melas,black bullhead,,,,"T,TCW,VT","DEM,GE,OM",5a,5a,5a,5a,5a,5a,5a,5a,5a,Ictaluridae,Ameiurus,melas
Ameiurus natalis,yellow bullhead,,WE-T,"NE,SER",,"DEM,GE,OM",4,4,4,4,4,4,3,5,5,Ictaluridae,Ameiurus,natalis
Ameiurus nebulosus,brown bullhead,,WE-T,"NE,SER",,"DEM,GE,OM",4,4,4,4,4,4,4,5,5,Ictaluridae,Ameiurus,nebulosus
Amia calva,bowfin,,,MA>3-T,,PI,4,4,4,4,4,4,4,5,5,Amiidae,Amia,calva
Amiidae,bowfins,,,,,,,,,,,,,,,Amiidae,,
Ammocrypta clara,western sand darter,"DS,DSS,PERC,SL",,"MA<2,SER,SILI","I,S","BI-T,IN-T",2,,,,,,,,,Percidae,Ammocrypta,clara
Anguilla rostrata,american eel,,,,,PI,1,1,,,,,,,,Anguillidae,Anguilla,rostrata
Anguillidae,eels,,,,,,,,,,,,,,,Anguillidae,,
Aphredoderidae,pirate perches,,,,,,,,,,,,,,,Aphredoderidae,,
Aphredoderus sayanus,pirate perch,,,MA<2,,IN-T,,,,,,,,,,Aphredoderidae,Aphredoderus,sayanus
Aplodinotus grunniens,freshwater drum,PERC,,MA>3-T,,IN-T,4,4,,4,4,,,4,4,Sciaenidae,Aplodinotus,grunniens
Atherinidae,silversides,,,,,,,,,,,,,,,Atherinidae,,
Campostoma,stonerollers,MIN-T,,,,HE,4,4,4,4,4,4,4,4,4,Cyprinidae,Campostoma,
Campostoma anomalum,central stoneroller,,,,"T,TCW",HE,5,5,4,5,5,5,5,5,5,Cyprinidae,Campostoma,anomalum
Campostoma oligolepis,largescale stoneroller,MIN-T,,MA<2,,"DEM,HE",4,4,,4,4,,,5,5,Cyprinidae,Campostoma,oligolepis
Carassius auratus,goldfish,EX,,SER,"T,TCW,VT","DEM,GE,OM",6a,6a,6a,6a,6a,6a,6a,6a,6a,Cyprinidae,Carassius,auratus
Carpiodes,carpsuckers,,,,,"GE,OM",,,,,,,,,,Catostomidae,Carpiodes,
Carpiodes carpio,river carpsucker,,,MA>3-T,,"DE,DEM,GE,OM",4,4,,,,,,,,Catostomidae,Carpiodes,carpio
Carpiodes cyprinus,quillback,,,MA>3-T,,"DE,DEM,GE,OM",4,4,,4,4,,,,,Catostomidae,Carpiodes,cyprinus
Carpiodes velifer,highfin carpsucker,,,MA>3-T,S,"DE,DEM,GE,OM",3,3,,,,,,,,Catostomidae,Carpiodes,velifer
Catostomiidae,suckers,,,,,,,,,,,,,,,Catostomiidae,,
Catostomus,catostomus,,,SILI,,,,,,,,,,,,Catostomidae,Catostomus,
Catostomus catostomus,longnose sucker,DSS,,"MA>3-T,SILI","I,ICW,S,SCW","BI-T,IN-T",,,,2,2,2,,2,2,Catostomidae,Catostomus,catostomus
Catostomus commersonii,white sucker,,,SILI,T,"DE,DEM,GE,OM",4,5,4,4,5,4,4,4,4,Catostomidae,Catostomus,commersonii
Centrarchidae,sunfishes,,,,,,,,,,,,,,,Centrarchidae,,
Centrarchus macropterus,flier,,,,,,,,,,,,,,,Centrarchidae,Centrarchus,macropterus
Chrosomus,chrosomus,,,,,,,,,,,,,,,Chrosomus,Chrosomus,
Chrosomus eos,northern redbelly dace,"MIN-T,SL","HW-T, WE-T","MA<2,SER",S,HE,3,3,3,3,3,3,3,3,3,Cyprinidae,Chrosomus,eos
Chrosomus erythrogaster,southern redbelly dace,"MIN-T,SL",HW-T,"MA<2,SER,SILI",,"DEM,HE",4,4,4,,,,4,4,4,Cyprinidae,Phoxinus,erythrogaster
Chrosomus hybrid,hybrid chrosomus,,,,,,,,,,,,,,,Chrosomus,Chrosomus,hybrid
Chrosomus neogaeus,finescale dace,MIN-T,"HW-T, WE-T","MA<2,SER","S,SCW","IN-T,INCYP",3,3,3,3,3,3,3,3,3,Chrosomus,Chrosomus,neogaeus
Clinostomus elongatus,redside dace,MIN-T,HW-T,"MA<2,SILI","I,ICW,S,SCW","IN-T,INCYP",,2,2,,,,,3,3,Cyprinidae,Clinostomus,elongatus
Clinostomus funduloides,rosyside dace,,,,,,,,,,,,,,,Cyprinidae,Clinostomus,funduloides
Clupeidae,herrings,,,,,,,,,,,,,,,Clupeidae,,
Clupiidae,herrings,,,,,,,,,,,,,,,Clupiidae,,
Coregonus artedi,lake herring,,,MA>3-T,,,6,6,6,6,6,6,6,6,6,Salmonidae,Coregonus,artedi
Coregonus clupeaformis,lake whitefish,,,MA>3-T,,IN-T,6,6,6,6,6,6,6,6,6,Salmonidae,Coregonus,clupeaformis
Coregonus hoyi,bloater,,,MA<2,,,6,6,6,6,6,6,6,6,6,Salmonidae,Coregonus,
Coregonus kiyi,kiyi,,,MA>3-T,,,6,6,6,6,6,6,6,6,6,Salmonidae,Coregonus,
Coregonus zenithicus,shortjaw cisco,,,MA>3-T,,,6,6,6,6,6,6,6,6,6,Salmonidae,Coregonus,
Cottidae,sculpins,,,,,,,,,,,,,,,Cottidae,,
Cottus,sculpins,"DS,DSS","CW,CWN",,"S,SCW","BI-T,IN-T",,,,,,,,,,Cottidae,Cottus,
Cottus bairdii,mottled sculpin,"DS,DSS","CW,CWN,HW-T",MA<2,"S,SCW","BI-T,IN-T",3,3,3,3,3,3,,3,3,Cottidae,Cottus,bairdii
Cottus cognatus,slimy sculpin,"DS,DSS,PERC","CW,CWN,HW-T",MA>3-T,"I,ICW,S,SCW","BI-T,IN-T",,2,2,,2,2,,2,2,Cottidae,Cottus,cognatus
Cottus girardi,potomic sculpin,,,,,,,,,,,,,,,Cottidae,Cottus,girardi
Cottus ricei,spoonhead sculpin,"DS,DSS",,MA<2,"I,S","BI-T,IN-T",,,,,,,,,,Cottidae,Cottus,
Couesius plumbeus,lake chub,MIN-T,,SILI,"I,ICW,S,SCW","IN-T,INCYP",,,,,2,2,2,3,3,Leuciscidae,Couesius,plumbeus
Crystallaria asprella,crystal darter,"DS,DSS,PERC,SL",,"MA<2,SER,SILI","I,S","BI-T,IN-T",1,,,,,,,,,Percidae,Crystallaria,asprella
Ctenopharyngodon idella,grass carp,EX,,MA<2,"T,TCW","DEM,HE",,,,,,,,,,Cyprinidae,Ctenopharyngodon,idella
Culaea inconstans,brook stickleback,SL,,"MA<2,NE",T,,5,,,5,,,5a,4,4,Gasterosteidae,Culaea,inconstans
Cycleptus elongatus,blue sucker,DSS,,SILI,"I,S","BI-T,IN-T",1,,,,,,,,,Catostomidae,Cycleptus,elongatus
Cyprinella analostana,satinfin shiner,,,,,,,,,,,,,,,Cyprinidae,Cyprinella,analostana
