ScientificName,CommonName,TYPE,HABITAT,REPRODUCTION,TOLER,TROPHIC,BCG_Attr_MN2_01,BCG_Attr_MN2_02,BCG_Attr_MN2_03,BCG_Attr_MN2_04,BCG_Attr_MN2_05,BCG_Attr_MN2_06,BCG_Attr_MN2_07,BCG_Attr_MN2_10,BCG_Attr_MN2_11,Kingdom,Phylum,Class,Order,Family,Genus,Species
Oncorhynchus mykiss,rainbow trout,EX,CW,MA>3-T,"S,SCW",PI,6,6,6,6,6,6,6,6,6,Animalia,Chordata,Osteichthyes,Salmoniformes,Salmonidae,Oncorhynchus,mykiss
Lucania parva,rainwater killifish,,,,,,,,,,,,,,,Animalia,Chordata,Osteichthyes,,Fundulidae,Lucania,parva
Cyprinella lutrensis,red shiner,SL,,"MA<2,SER","T,TCW",GE,,5,5,,,,5,5,5,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Cyprinella,lutrensis
Lepomis auritus,redbreast sunfish,,,,,,,,,,,,,,,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Lepomis,auritus
Esox americanus americanus,redfin pickerel,,,,,,,,,,,,,,,Animalia,Chordata,Osteichthyes,Salmoniformes,Esocidae,Esox,americanus americanus
Lythrurus umbratilis,redfin shiner,"MIN-T,SL",,MA<2,S,"IN-T,INCYP",2,2,2,,,,2,,,Animalia,,,,,Lythrurus,umbratilis
Clinostomus elongatus,redside dace,MIN-T,HW-T,"MA<2,SILI","I,ICW,S,SCW","IN-T,INCYP",,2,2,,,,,3,3,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Clinostomus,elongatus
Carpiodes carpio,river carpsucker,,,MA>3-T,,"DE,DEM,GE,OM",4,4,,,,,,,,Animalia,,,,,Carpiodes,carpio
Nocomis micropogon,river chub,,,,,,,,,,,,,,,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Nocomis,micropogon
Percina shumardi,river darter,"DS,DSS,PERC,SL",,"MA<2,SILI","I,S","BI-T,IN-T",3,3,3,3,3,3,3,3,3,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Percina,shumardi
Moxostoma carinatum,river redhorse,DSS,,"MA>3-T,SILI","I,S","BI-T,IN-T",1,1,,1,,,,,,Animalia,Chordata,Osteichthyes,Cypriniformes,Catostomidae,Moxostoma,carinatum
Notropis blennius,river shiner,"MIN-T,SL",,"MA<2,SILI",,"DEM,IN-T,INCYP",4,4,,4,4,,4,4,4,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,blennius
Ambloplites rupestris,rock bass,PERC,,"MA>3-T,NE",S,PI,3,3,3,3,3,3,3,4,4,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Ambloplites,rupestris
Notropis rubellus,rosyface shiner,,,,,,,,,,,,,,,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,rubellus
Clinostomus funduloides,rosyside dace,,,,,,,,,,,,,,,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Clinostomus,funduloides
Neogobius melanostomus,round goby,EX,,"MA>3- T,NE,SER",,PI,,,,,,,,,,,,,,,,
Prosopium cylindraceum,round whitefish,,,MA>3-T,,IN-T,,,,,,,,,,,,,,,,
Gymnocephalus cernuus,ruffe,EX,,"MA<2,SER","T,TCW",,6a,,,6a,,,,6a,6a,Animalia,,,,,Gymnocephalus,cernuus
Notropis stramineus,sand shiner,SL,,"MA<2,SER","T,TCW","DE,DEM,INCYP",5,5,5,5,5,5,5,5a,5a,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,stramineus
Cyprinella analostana,satinfin shiner,,,,,,,,,,,,,,,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Cyprinella,analostana
Sander canadensis,sauger,PERC,,"MA>3-T,SILI",,PI,4,4,4,4,4,4,4,4,4,Animalia,,,,,Sander,canadensis
Sander hybrid,saugeye,PERC,,SILI,,PI,,,,,,,,,,,,,,,,
Cottidae,sculpins,,,,,,,,,,,,,,,,,,,,,
Petromyzon marinus,sea lamprey,EX,,MA>3-T,,"DE,PI",,,,,,,,6a,6a,Animalia,,,,,Petromyzon,marinus
Percina peltata,shield darter,,,,,,,,,,,,,,,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Percina,peltata
Macrhybopsis hyostoma,shoal chub,"MIN-T,SL",,MA<2,S,"BI-T,IN-T,INCYP",2,2,,,,,,,,Animalia,,,,,Macrhybopsis,hyostoma
Moxostoma macrolepidotum,shorthead redhorse,DSS,,"MA>3-T,SILI",,"BI-T,DEM,IN-T",3,3,3,3,3,3,3,4,4,Animalia,Chordata,Osteichthyes,Cypriniformes,Catostomidae,Moxostoma,macrolepidotum
Coregonus zenithicus,shortjaw cisco,,,MA>3-T,,,,,,,,,,,,,,,,,,
Lepisosteus platostomus,shortnose gar,,,MA>3-T,,PI,4,4,,,,,,,,Animalia,Chordata,Osteichthyes,Lepisosteiformes,Lepisosteidae,Lepisosteus,platostomus
Scaphirhynchus platorynchus,shovelnose sturgeon,,,"MA>3-T,SILI",,"BI-T,IN-T",1,1,,,,,,,,Animalia,,,,,Scaphirhynchus,platorynchus
Hypophthalmichthys molitrix,silver carp,EX,,,"T,TCW,VT",,,,,,,,,,,,,,,,,
Macrhybopsis storeriana,silver chub,MIN-T,,MA<2,,"BI-T,IN-T,INCYP",3,3,,,,,,,,Animalia,,,,,Macrhybopsis,storeriana
Ichthyomyzon unicuspis,silver lamprey,,,MA>3-T,S,PI,4,4,4,4,4,4,4,3,3,Animalia,,,,,Ichthyomyzon,unicuspis
Moxostoma anisurum,silver redhorse,DSS,,"MA>3-T,SILI",,"BI-T,DEM,IN-T",3,3,3,3,3,3,3,4,4,Animalia,Chordata,Osteichthyes,Cypriniformes,Catostomidae,Moxostoma,anisurum
Notropis buccatus,silverjaw minnow,,,,,,,,,,,,,,,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,buccatus
Atherinidae,silversides,,,,,,,,,,,,,,,,,,,,,
Alosa chrysochloris,skipjack herring,,,,,PI,,,,,,,,,,,,,,,,
Noturus exilis,slender madtom,,,,"I,S","BI-T,DE,IN-T",,,,,,,,,,,,,,,,
Percina phoxocephala,slenderhead darter,"DS,DSS,PERC",,"MA<2,SILI",S,"BI-T,IN-T",3,3,3,3,3,3,3,,,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Percina,phoxocephala
Cottus cognatus,slimy sculpin,"DS,DSS,PERC","CW,CWN,HW-T",MA>3-T,"I,ICW,S,SCW","BI-T,IN-T",,2,2,,2,2,,2,2,Animalia,Chordata,Osteichthyes,Scorpaeniformes,Cottidae,Cottus,cognatus
Micropterus dolomieu,smallmouth bass,PERC,,"MA>3-T,NE","I,S",PI,3,3,3,3,3,3,3,4,4,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Micropterus,dolomieu
Ictiobus bubalus,smallmouth buffalo,,,MA<2,,"DEM,GE,OM",4,4,4,4,4,4,4,4,4,Animalia,,,,,Ictiobus,bubalus
Osmeridae,smelts,,,,,,,,,,,,,,,,,,,,,
Ichthyomyzon gagei,southern brook lamprey,,,MA>3-T,"I,ICW,S,SCW",DE,2,2,2,,2,2,2,,,Animalia,,,,,Ichthyomyzon,gagei
Chrosomus erythrogaster,southern redbelly dace,"MIN-T,SL",HW-T,"MA<2,SER,SILI",,"DEM,HE",4,4,4,,,,4,4,4,Animalia,,,,,Phoxinus,erythrogaster
Salvelinus hybrid,splake,,,,,,,,,,,,,,,Animalia,Chordata,Osteichthyes,Salmoniformes,Salmonidae,Salvelinus,hybrid
Cottus ricei,spoonhead sculpin,"DS,DSS",,MA<2,"I,S","BI-T,IN-T",,,,,,,,,,,,,,,,
Leiostomus xanthurus,spot,,,,,,,,,,,,,,,Animalia,Chordata,Osteichthyes,Perciformes,Sciaenidae,Leiostomus,xanthurus
Cyprinella spiloptera,spotfin shiner,MIN-T,,"MA<2,SER",,"DE,DEM,IN-T,INCYP",4,4,4,4,4,4,4,4,4,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Cyprinella,spiloptera
Notropis hudsonius,spottail shiner,MIN-T,,MA<2,S,"IN-T,INCYP",3,3,3,3,3,3,3,4,4,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,hudsonius
Minytrema melanops,spotted sucker,DSS,,"MA>3-T,SILI","I,S","BI-T,DEM,IN-T",2,,,,,,,,,Animalia,,,,,Minytrema,melanops
Fundulus dispar,starhead topminnow,,HW-T,"MA<2,SER","I,S",IN-T,,,,,,,,,,,,,,,,
Gasterosteidae,sticklebacks,,,,,,,,,,,,,,,,,,,,,
Noturus flavus,stonecat,,,"MA>3-T,SER",S,"BI-T,IN-T",3,3,3,3,3,3,3,4,4,Animalia,Chordata,Osteichthyes,Siluriformes,Ictaluridae,Noturus,flavus
Morone saxatilis,striped bass,,,,,,,,,,,,,,,Animalia,Chordata,Osteichthyes,Perciformes,Moronidae,Morone,saxatilis
Fundulus majalis,striped killifish,,,,,,,,,,,,,,,Animalia,Chordata,Osteichthyes,Atheriniformes,Fundulidae,Fundulus,majalis
Luxilus chrysocephalus,striped shiner,,,,,,,,,,,,,,,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Luxilus,chrysocephalus
Acipenseridae,sturgeons,,,SILI,,"BI-T,IN-T",,,,,,,,,,,,,,,,
Ictiobinae,buffalo/carpsuckers,,,,,"GE,OM",,,,,,,,,,Animalia,,,,,,
Salmoninae,salmonids,,,,,PI,,,,,,,,,,Animalia,,,,,Salmoninae,
Phenacobius mirabilis,suckermouth minnow,MIN-T,,"MA<2,SER,SILI",,"BI-T,DEM,IN-T,INCYP",4,4,4,,,,4,4,4,Animalia,,,,,Phenacobius,mirabilis
Catostomiidae,suckers,,,,,,,,,,,,,,,,,,,,,
Centrarchidae,sunfishes,,,,,,,,,,,,,,,,,,,,,
Notropis procne,swallowtail shiner,,,,,,,,,,,,,,,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,procne
Etheostoma fusiforme,swamp darter,,,,,,,,,,,,,,,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Etheostoma,fusiforme
Noturus gyrinus,tadpole madtom,,WE-T,"MA<2,NE,SER",,"BI-T,IN-T",4,4,4,4,4,4,3,5,5,Animalia,Chordata,Osteichthyes,Siluriformes,Ictaluridae,Noturus,gyrinus
Moronidae,temperate basses,,,,,,,,,,,,,,,,,,,,,
Etheostoma olmstedi,tesselated darter,,,,,,,,,,,,,,,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Etheostoma,olmstedi
Gasterosteus aculeatus,threespine stickleback,"EX,SL",,"MA<2,NE","T,TCW",,6a,,,6a,,,,,,Animalia,,,,,Gasterosteus,aculeatus
Esox hybrid,tiger musky,,,,,PI,,,,,,,,,,Animalia,Chordata,Osteichthyes,Salmoniformes,Esocidae,Esox,hybrid
Salmonidae hybrid,tiger trout,,CW,,,PI,,,,,,,,,,Animalia,Chordata,Osteichthyes,Salmoniformes,Salmonidae,hybrid,
Notropis topeka,topeka shiner,"MIN-T,SL",HW-T,MA<2,"I,S","IN-T,INCYP",,1,1,,,,1,,,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,topeka
Percopsis omiscomaycus,trout-perch,SL,,MA<2,,"BI-T,IN-T",3,3,3,3,3,3,3,4,4,Animalia,,,,,Percopsis,omiscomaycus
Percopsidae,trout-perches,,,,,,,,,,,,,,,,,,,,,
Salmonidae,trouts,,,,,,,,,,,,,,,Animalia,Chordata,Osteichthyes,Salmoniformes,Salmonidae,,
Proterorhinus marmoratus,tubenose goby,EX,,,,IN-T,,,,,,,,,,,,,,,,
Sander vitreus,walleye,PERC,,"MA>3-T,SILI",,PI,4,4,4,4,4,4,4,5,5,Animalia,,,,,Sander,vitreus
Lepomis gulosus,warmouth,PERC,,MA<2,,PI,,,,,,,,,,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Lepomis,gulosus
Osteichthyes,watercolumn fish,,,,,,,,,,,,,,,Animalia,Chordata,Osteichthyes,,,,
Notropis texanus,weed shiner,"MIN-T,SL",,"MA<2,SER","I,S","DE,DEM,HE",2,2,2,2,2,2,2,2,2,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,texanus
Rhinichthys obtusus,western blacknose dace,SL,,"MA<2,SILI",T,GE,5,5,4,5,5,4,5,4,4,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Rhinichthys,obtusus
Ammocrypta clara,western sand darter,"DS,DSS,PERC,SL",,"MA<2,SER,SILI","I,S","BI-T,IN-T",2,,,,,,,,,Animalia,,,,,Ammocrypta,clara
Morone chrysops,white bass,PERC,,MA<2,,PI,4,4,,4,4,,,,,Animalia,Chordata,Osteichthyes,Perciformes,Moronidae,Morone,chrysops
Ameiurus catus,white catfish,,,,,,,,,,,,,,,Animalia,Chordata,Osteichthyes,Siluriformes,Ictaluridae,Ameiurus,catus
Pomoxis annularis,white crappie,PERC,,"MA<2,NE",,PI,4,4,4,4,4,4,4,,,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Pomoxis,annularis
Morone americana,white perch,"EX,PERC",,MA>3-T,,IN-T,,,,,,,,,,Animalia,Chordata,Osteichthyes,Perciformes,Moronidae,Morone,americana
Catostomus commersonii,white sucker,,,SILI,T,"DE,DEM,GE,OM",4,5,4,4,5,4,4,4,4,Animalia,Chordata,Osteichthyes,Cypriniformes,Catostomidae,Catostomus,commersonii
Morone mississippiensis,yellow bass,PERC,,MA>3-T,,PI,,,,,,,,,,,,,,,,
Ameiurus natalis,yellow bullhead,,WE-T,"NE,SER",,"DEM,GE,OM",4,4,4,4,4,4,3,5,5,Animalia,Chordata,Osteichthyes,Siluriformes,Ictaluridae,Ameiurus,natalis
Perca flavescens,yellow perch,PERC,WE-T,MA>3-T,,IN-T,4,4,4,4,4,4,4,5,5,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Perca,flavescens
