Taxon_orig,NonTarget,Rationale,OTU_MTTI,OTU_MetricCalc,OTU_BCG_MariNW,OTU_BSTI,OTU_BCG_ORWA,altOTU_BCG_ORWA_worms
Enchytraeus,FALSE,,Enchytraeus,Enchytraeus,Oligochaeta,Enchytraeus,Oligochaeta,Enchytraeidae
Endochironomus,FALSE,,DNI,Endochironomus,Endochironomus,DNI,Endochironomus,Endochironomus
Endotribelos,FALSE,,DNI,Endotribelos,Endotribelos,DNI,Endotribelos,Endotribelos
Endotribelos hesperium,FALSE,,DNI,Endotribelos,Endotribelos,DNI,Endotribelos,Endotribelos
Enochrus,FALSE,,Hydrophilidae,Enochrus,Enochrus,Hydrophilidae,Enochrus,Enochrus
Entomobryidae,TRUE,Collembola excluded,DNI,DNI,DNI,DNI,DNI,DNI
Entosphenus tridentatus,TRUE,Fish… well Lamprey,DNI,DNI,DNI,DNI,DNI,DNI
Eobrachycentrus,FALSE,Single sp.  E. gelidae,DNI,Eobrachycentrus gelidae,Eobrachycentrus,DNI,Eobrachycentrus gelidae,Eobrachycentrus gelidae
Eobrachycentrus gelidae,FALSE,,DNI,Eobrachycentrus gelidae,Eobrachycentrus,DNI,Eobrachycentrus gelidae,Eobrachycentrus gelidae
Eocosmoecus,FALSE,,DNI,Eocosmoecus,Eocosmoecus,DNI,Eocosmoecus,Eocosmoecus
Eocosmoecus frontalis,FALSE,,DNI,Eocosmoecus,Eocosmoecus frontalis,DNI,Eocosmoecus,Eocosmoecus
Eogammarus,FALSE,,Anisogammaridae,Anisogammaridae,Anisogammaridae,DNI,Anisogammaridae,Anisogammaridae
Eogammarus confervicolus,FALSE,,Anisogammaridae,Anisogammaridae,Anisogammaridae,DNI,Anisogammaridae,Anisogammaridae
Epeorus,FALSE,,DNI,Epeorus,Epeorus,DNI,Epeorus,Epeorus
Epeorus albertae,FALSE,Formatting,Epeorus Albertae Group,Epeorus Albertae Group,Epeorus Albertae Group,Epeorus Albertae Group,Epeorus Albertae Group,Epeorus Albertae Group
Epeorus albertae group,FALSE,Formatting,Epeorus Albertae Group,Epeorus Albertae Group,Epeorus Albertae Group,Epeorus Albertae Group,Epeorus Albertae Group,Epeorus Albertae Group
Epeorus Albertae Group,FALSE,Formatting,Epeorus Albertae Group,Epeorus Albertae Group,Epeorus Albertae Group,Epeorus Albertae Group,Epeorus Albertae Group,Epeorus Albertae Group
Epeorus albertae Group,FALSE,Formatting,Epeorus Albertae Group,Epeorus Albertae Group,Epeorus Albertae Group,Epeorus Albertae Group,Epeorus Albertae Group,Epeorus Albertae Group
Epeorus deceptivus,FALSE,Formatting,Epeorus deceptivus,Epeorus deceptivus,Epeorus deceptivus,DNI,Epeorus deceptivus,Epeorus deceptivus
Epeorus grandis,FALSE,Formatting,Epeorus Grandis Group,Epeorus Grandis Group,Epeorus Grandis Group,Epeorus Grandis Group,Epeorus Grandis Group,Epeorus Grandis Group
Epeorus grandis group,FALSE,Formatting,Epeorus Grandis Group,Epeorus Grandis Group,Epeorus Grandis Group,Epeorus Grandis Group,Epeorus Grandis Group,Epeorus Grandis Group
Epeorus Grandis Group,FALSE,Formatting,Epeorus Grandis Group,Epeorus Grandis Group,Epeorus Grandis Group,Epeorus Grandis Group,Epeorus Grandis Group,Epeorus Grandis Group
Epeorus grandis Group,FALSE,Formatting,Epeorus Grandis Group,Epeorus Grandis Group,Epeorus Grandis Group,Epeorus Grandis Group,Epeorus Grandis Group,Epeorus Grandis Group
Epeorus grandis/permagnus,FALSE,Formatting,Epeorus Grandis Group,Epeorus Grandis Group,Epeorus Grandis Group,Epeorus Grandis Group,Epeorus Grandis Group,Epeorus Grandis Group
Epeorus grandis/permagnus gr.,FALSE,Formatting,Epeorus Grandis Group,Epeorus Grandis Group,Epeorus Grandis Group,Epeorus Grandis Group,Epeorus Grandis Group,Epeorus Grandis Group
Epeorus Ironopsis,FALSE,bad subgenus formatting= grandis group,Epeorus Grandis Group,Epeorus Grandis Group,Epeorus Grandis Group,Epeorus Grandis Group,Epeorus Grandis Group,Epeorus Grandis Group
Epeorus longimanus,FALSE,Formatting,Epeorus longimanus,Epeorus longimanus,Epeorus longimanus,Epeorus longimanus,Epeorus longimanus,Epeorus longimanus
Epeorus longimanus group,FALSE,Formatting,Epeorus longimanus,Epeorus longimanus,Epeorus longimanus,Epeorus longimanus,Epeorus longimanus,Epeorus longimanus
Epeorus Longimanus Group,FALSE,Formatting,Epeorus longimanus,Epeorus longimanus,Epeorus longimanus,Epeorus longimanus,Epeorus longimanus,Epeorus longimanus
Epeorus/Ironodes,FALSE,,DNI,Heptageniidae,Heptageniidae,DNI,Heptageniidae,Heptageniidae
Ephemera,FALSE,,DNI,Ephemera,Ephemera,DNI,Ephemera,Ephemera
Ephemera simulans,FALSE,,DNI,Ephemera,Ephemera,DNI,Ephemera,Ephemera
Ephemerella,FALSE,,DNI,Ephemerella,Ephemerella,Ephemerella,Ephemerella,Ephemerella
Ephemerella alleni,FALSE,,DNI,Ephemerella alleni,Ephemerella alleni,Ephemerella,Ephemerella alleni,Ephemerella alleni
Ephemerella aurivillii,FALSE,,Ephemerella aurivillii,Ephemerella aurivillii,Ephemerella aurivillii,Ephemerella,Ephemerella aurivillii,Ephemerella aurivillii
Ephemerella dorothea,FALSE,Formatting and consistency,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella,Ephemerella Excrucians Group,Ephemerella Excrucians Group
Ephemerella dorothea infrequens,FALSE,Formatting and consistency,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella,Ephemerella Excrucians Group,Ephemerella Excrucians Group
Ephemerella dorothea/excrucians,FALSE,Formatting and consistency,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella,Ephemerella Excrucians Group,Ephemerella Excrucians Group
Ephemerella dorothea/excrucians group,FALSE,Formatting and consistency,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella,Ephemerella Excrucians Group,Ephemerella Excrucians Group
Ephemerella excrucians,FALSE,Formatting and consistency,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella,Ephemerella Excrucians Group,Ephemerella Excrucians Group
Ephemerella Excrucians Gr.,FALSE,Formatting (Gr.),Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella Excrucians Group,DNI,Ephemerella Excrucians Group,Ephemerella Excrucians Group
Ephemerella excrucians group,FALSE,Formatting and consistency,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella,Ephemerella Excrucians Group,Ephemerella Excrucians Group
Ephemerella Excrucians Group,FALSE,Formatting and consistency,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella,Ephemerella Excrucians Group,Ephemerella Excrucians Group
Ephemerella excrucians Group,FALSE,Formatting and consistency,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella,Ephemerella Excrucians Group,Ephemerella Excrucians Group
Ephemerella inermis,FALSE,Formatting and consistency,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella,Ephemerella Excrucians Group,Ephemerella Excrucians Group
Ephemerella inermis/dorothea,FALSE,Formatting and consistency,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella,Ephemerella Excrucians Group,Ephemerella Excrucians Group
Ephemerella inermis/infrequens,FALSE,Formatting and consistency,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella,Ephemerella Excrucians Group,Ephemerella Excrucians Group
Ephemerella infrequens,FALSE,Formatting and consistency,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella Excrucians Group,Ephemerella,Ephemerella Excrucians Group,Ephemerella Excrucians Group
Ephemerella maculata,FALSE,"valid taxon, very rare southern california coast range dubious ID for Oregon",DNI,Ephemerella,Ephemerella,Ephemerella,Ephemerella,Ephemerella
Ephemerella needhami,FALSE,,DNI,Ephemerella needhami,Ephemerella needhami,Ephemerella,Ephemerella needhami,Ephemerella needhami
Ephemerella tibialis,FALSE,,Ephemerella tibialis,Ephemerella tibialis,Ephemerella tibialis,Ephemerella,Ephemerella tibialis,Ephemerella tibialis
Ephemerella verruca,FALSE,,DNI,Ephemerella verruca,Ephemerella verruca,Ephemerella,Ephemerella verruca,Ephemerella verruca
Ephemerellidae,FALSE,,DNI,Ephemerellidae,Ephemerellidae,DNI,Ephemerellidae,Ephemerellidae
Ephemerellinae,FALSE,,DNI,Ephemerellidae,Ephemerellidae,DNI,Ephemerellidae,Ephemerellidae
Ephemeridae,FALSE,,DNI,Ephemeridae,Ephemeridae,DNI,Ephemeridae,Ephemeridae
Ephemeroptera,FALSE,,DNI,Ephemeroptera,Ephemeroptera,DNI,Ephemeroptera,Ephemeroptera
Ephoron,FALSE,,DNI,Ephoron,Ephoron,DNI,Ephoron,Ephoron
Ephoron album,FALSE,,DNI,Ephoron,Ephoron,DNI,Ephoron,Ephoron
Ephydra,FALSE,,Ephydridae,Ephydridae,Ephydridae,Ephydridae,Ephydridae,Ephydridae
Ephydridae,FALSE,,Ephydridae,Ephydridae,Ephydridae,Ephydridae,Ephydridae,Ephydridae
Epiphragma,FALSE,,DNI,Epiphragma,Epiphragma,DNI,Epiphragma,Epiphragma
Epitheca,FALSE,,DNI,Epitheca,Epitheca,DNI,Epitheca,Epitheca
Epoicocladius,FALSE,,DNI,Epoicocladius,Epoicocladius,DNI,Epoicocladius,Epoicocladius
Eretmoptera,FALSE,,DNI,Eretmoptera,Eretmoptera,DNI,Eretmoptera,Eretmoptera
Erioptera,FALSE,,DNI,Erioptera,Erioptera,DNI,Erioptera,Erioptera
Erioptera/Haplolabis/Symplectra,FALSE,,DNI,Tipulidae,Tipulidae,DNI,Tipulidae,Tipulidae
Eristalis,FALSE,Positive identification of larvae to genus not possible.,DNI,Eristalis,Eristalis,DNI,Syrphidae,Syrphidae
Erpetogomphus,FALSE,,DNI,Erpetogomphus,Erpetogomphus,DNI,Erpetogomphus,Erpetogomphus
Erpetogomphus compositus,FALSE,,DNI,Erpetogomphus,Erpetogomphus,DNI,Erpetogomphus,Erpetogomphus
Erpobdella,FALSE,,Hirudinida,Erpobdella,Erpobdella,Hirudinida,Erpobdella,Erpobdella
Erpobdella punctata,FALSE,,Hirudinida,Erpobdella,Erpobdella,Hirudinida,Erpobdella,Erpobdella
Erpobdellidae,FALSE,,Hirudinida,Erpobdella,Erpobdella,Hirudinida,Erpobdella,Erpobdella
Erythemis,FALSE,,DNI,Erythemis,Erythemis,DNI,Erythemis,Erythemis
Estelloxus,FALSE,nomenclature,Lebertia,Lebertia,Trombidiformes,Lebertia,Lebertia,Lebertia
Estelloxus californiensis,FALSE,,Lebertia,Estelloxus,Trombidiformes,Lebertia,Estelloxus,Estelloxus
Estelloxus sensu lato,FALSE,,Lebertia,Estelloxus,Trombidiformes,Lebertia,Estelloxus,Estelloxus
Eubrianax,FALSE,monotypic,Eubrianax,Eubrianax edwardsii,Eubrianax,Eubrianax,Eubrianax edwardsii,Eubrianax edwardsii
Eubrianax edwardsi,FALSE,,Eubrianax,Eubrianax edwardsii,Eubrianax,Eubrianax,Eubrianax edwardsii,Eubrianax edwardsii
Eubrianax edwardsii,FALSE,,Eubrianax,Eubrianax edwardsii,Eubrianax,Eubrianax,Eubrianax edwardsii,Eubrianax edwardsii
Eucapnopsis,FALSE,1 NA sp.,Capniidae,Capniidae,Capniidae,Capniidae,Capniidae,Capniidae
Eucapnopsis brevicauda,FALSE,,Capniidae,Capniidae,Capniidae,Capniidae,Capniidae,Capniidae
Eucorethra,FALSE,Single species in Genus,DNI,Eucorethra underwoodi,Eucorethra,DNI,Eucorethra underwoodi,Eucorethra underwoodi
Eucorethra underwoodi,FALSE,Single species in Genus,DNI,Eucorethra underwoodi,Eucorethra,DNI,Eucorethra underwoodi,Eucorethra underwoodi
Eukiefferiella,FALSE,,DNI,Eukiefferiella,Eukiefferiella,Eukiefferiella,Eukiefferiella,Eukiefferiella
Eukiefferiella brehmi,FALSE,FORMATTING,Eukiefferiella Brehmi Group,Eukiefferiella Brehmi Group,Eukiefferiella Brehmi Group,Eukiefferiella,Eukiefferiella Brehmi Group,Eukiefferiella Brehmi Group
Eukiefferiella Brehmi Gr.,FALSE,FORMATTING,Eukiefferiella Brehmi Group,Eukiefferiella Brehmi Group,Eukiefferiella Brehmi Group,Eukiefferiella,Eukiefferiella Brehmi Group,Eukiefferiella Brehmi Group
Eukiefferiella brehmi group,FALSE,FORMATTING,Eukiefferiella Brehmi Group,Eukiefferiella Brehmi Group,Eukiefferiella Brehmi Group,Eukiefferiella,Eukiefferiella Brehmi Group,Eukiefferiella Brehmi Group
Eukiefferiella Brehmi Group,FALSE,FORMATTING,Eukiefferiella Brehmi Group,Eukiefferiella Brehmi Group,Eukiefferiella Brehmi Group,Eukiefferiella,Eukiefferiella Brehmi Group,Eukiefferiella Brehmi Group
Eukiefferiella brehmi Group,FALSE,FORMATTING,Eukiefferiella Brehmi Group,Eukiefferiella Brehmi Group,Eukiefferiella Brehmi Group,Eukiefferiella,Eukiefferiella Brehmi Group,Eukiefferiella Brehmi Group
Eukiefferiella Brevicalcar Gr.,FALSE,FORMATTING,DNI,Eukiefferiella Brevicalcar Group,Eukiefferiella Brevicalcar Group,Eukiefferiella,Eukiefferiella Brevicalcar Group,Eukiefferiella Brevicalcar Group
Eukiefferiella brevicalcar group,FALSE,FORMATTING,DNI,Eukiefferiella Brevicalcar Group,Eukiefferiella Brevicalcar Group,Eukiefferiella,Eukiefferiella Brevicalcar Group,Eukiefferiella Brevicalcar Group
Eukiefferiella Brevicalcar Group,FALSE,FORMATTING,DNI,Eukiefferiella Brevicalcar Group,Eukiefferiella Brevicalcar Group,Eukiefferiella,Eukiefferiella Brevicalcar Group,Eukiefferiella Brevicalcar Group
Eukiefferiella cf. tirolensis,FALSE,FORMATTING,Eukiefferiella Tirolensis Group,Eukiefferiella Tirolensis Group,Eukiefferiella Tirolensis Group,Eukiefferiella,Eukiefferiella Tirolensis Group,Eukiefferiella Tirolensis Group
Eukiefferiella claripennis,FALSE,FORMATTING,Eukiefferiella Claripennis Group,Eukiefferiella Claripennis Group,Eukiefferiella Claripennis Group,Eukiefferiella,Eukiefferiella Claripennis Group,Eukiefferiella Claripennis Group
Eukiefferiella Claripennis Gr.,FALSE,FORMATTING,Eukiefferiella Claripennis Group,Eukiefferiella Claripennis Group,Eukiefferiella Claripennis Group,Eukiefferiella,Eukiefferiella Claripennis Group,Eukiefferiella Claripennis Group
Eukiefferiella claripennis group,FALSE,FORMATTING,Eukiefferiella Claripennis Group,Eukiefferiella Claripennis Group,Eukiefferiella Claripennis Group,Eukiefferiella,Eukiefferiella Claripennis Group,Eukiefferiella Claripennis Group
Eukiefferiella Claripennis Group,FALSE,FORMATTING,Eukiefferiella Claripennis Group,Eukiefferiella Claripennis Group,Eukiefferiella Claripennis Group,Eukiefferiella,Eukiefferiella Claripennis Group,Eukiefferiella Claripennis Group
Eukiefferiella claripennis Group,FALSE,FORMATTING,Eukiefferiella Claripennis Group,Eukiefferiella Claripennis Group,Eukiefferiella Claripennis Group,Eukiefferiella,Eukiefferiella Claripennis Group,Eukiefferiella Claripennis Group
Eukiefferiella coerulescens,FALSE,FORMATTING,DNI,Eukiefferiella Coerulescens Group,Eukiefferiella Coerulescens Group,Eukiefferiella,Eukiefferiella Coerulescens Group,Eukiefferiella Coerulescens Group
Eukiefferiella Coerulescens Gr.,FALSE,FORMATTING,DNI,Eukiefferiella Coerulescens Group,Eukiefferiella Coerulescens Group,Eukiefferiella,Eukiefferiella Coerulescens Group,Eukiefferiella Coerulescens Group
Eukiefferiella coerulescens group,FALSE,FORMATTING,DNI,Eukiefferiella Coerulescens Group,Eukiefferiella Coerulescens Group,Eukiefferiella,Eukiefferiella Coerulescens Group,Eukiefferiella Coerulescens Group
Eukiefferiella Coerulescens Group,FALSE,FORMATTING,DNI,Eukiefferiella Coerulescens Group,Eukiefferiella Coerulescens Group,Eukiefferiella,Eukiefferiella Coerulescens Group,Eukiefferiella Coerulescens Group
Eukiefferiella Devonica Gr.,FALSE,FORMATTING,Eukiefferiella Devonica Group,Eukiefferiella Devonica Group,Eukiefferiella Devonica Group,Eukiefferiella,Eukiefferiella Devonica Group,Eukiefferiella Devonica Group
Eukiefferiella devonica group,FALSE,FORMATTING,Eukiefferiella Devonica Group,Eukiefferiella Devonica Group,Eukiefferiella Devonica Group,Eukiefferiella,Eukiefferiella Devonica Group,Eukiefferiella Devonica Group
Eukiefferiella Devonica Group,FALSE,FORMATTING,Eukiefferiella Devonica Group,Eukiefferiella Devonica Group,Eukiefferiella Devonica Group,Eukiefferiella,Eukiefferiella Devonica Group,Eukiefferiella Devonica Group
Eukiefferiella devonica Group,FALSE,FORMATTING,Eukiefferiella Devonica Group,Eukiefferiella Devonica Group,Eukiefferiella Devonica Group,Eukiefferiella,Eukiefferiella Devonica Group,Eukiefferiella Devonica Group
Eukiefferiella discoloripes Group,FALSE,,DNI,Eukiefferiella,Eukiefferiella,Eukiefferiella,Eukiefferiella,Eukiefferiella
Eukiefferiella Discoloripes Group,FALSE,,DNI,Eukiefferiella,Eukiefferiella,Eukiefferiella,Eukiefferiella,Eukiefferiella
Eukiefferiella Gracei Gr.,FALSE,FORMATTING,Eukiefferiella Gracei Group,Eukiefferiella Gracei Group,Eukiefferiella Gracei Group,Eukiefferiella,Eukiefferiella Gracei Group,Eukiefferiella Gracei Group
Eukiefferiella gracei group,FALSE,FORMATTING,Eukiefferiella Gracei Group,Eukiefferiella Gracei Group,Eukiefferiella Gracei Group,Eukiefferiella,Eukiefferiella Gracei Group,Eukiefferiella Gracei Group
Eukiefferiella Gracei Group,FALSE,FORMATTING,Eukiefferiella Gracei Group,Eukiefferiella Gracei Group,Eukiefferiella Gracei Group,Eukiefferiella,Eukiefferiella Gracei Group,Eukiefferiella Gracei Group
Eukiefferiella pseudomontana,FALSE,FORMATTING,Eukiefferiella Pseudomontana Group,Eukiefferiella Pseudomontana Group,Eukiefferiella Pseudomontana Group,Eukiefferiella,Eukiefferiella Pseudomontana Group,Eukiefferiella Pseudomontana Group
Eukiefferiella Pseudomontana Gr.,FALSE,FORMATTING,Eukiefferiella Pseudomontana Group,Eukiefferiella Pseudomontana Group,Eukiefferiella Pseudomontana Group,Eukiefferiella,Eukiefferiella Pseudomontana Group,Eukiefferiella Pseudomontana Group
Eukiefferiella pseudomontana group,FALSE,FORMATTING,Eukiefferiella Pseudomontana Group,Eukiefferiella Pseudomontana Group,Eukiefferiella Pseudomontana Group,Eukiefferiella,Eukiefferiella Pseudomontana Group,Eukiefferiella Pseudomontana Group
Eukiefferiella Pseudomontana Group,FALSE,FORMATTING,Eukiefferiella Pseudomontana Group,Eukiefferiella Pseudomontana Group,Eukiefferiella Pseudomontana Group,Eukiefferiella,Eukiefferiella Pseudomontana Group,Eukiefferiella Pseudomontana Group
Eukiefferiella pseudomontana Group,FALSE,FORMATTING,Eukiefferiella Pseudomontana Group,Eukiefferiella Pseudomontana Group,Eukiefferiella Pseudomontana Group,Eukiefferiella,Eukiefferiella Pseudomontana Group,Eukiefferiella Pseudomontana Group
Eukiefferiella similis,FALSE,Jr. syn of Cardiocladius albiplumus,Cardiocladius,Cardiocladius,Cardiocladius,Cardiocladius,Cardiocladius,Cardiocladius
Eukiefferiella tirolensis,FALSE,FORMATTING,Eukiefferiella Tirolensis Group,Eukiefferiella Tirolensis Group,Eukiefferiella Tirolensis Group,Eukiefferiella,Eukiefferiella Tirolensis Group,Eukiefferiella Tirolensis Group
Eukiefferiella tirolensis group,FALSE,FORMATTING,Eukiefferiella Tirolensis Group,Eukiefferiella Tirolensis Group,Eukiefferiella Tirolensis Group,Eukiefferiella,Eukiefferiella Tirolensis Group,Eukiefferiella Tirolensis Group
Eukiefferiella Tirolensis Group,FALSE,FORMATTING,Eukiefferiella Tirolensis Group,Eukiefferiella Tirolensis Group,Eukiefferiella Tirolensis Group,Eukiefferiella,Eukiefferiella Tirolensis Group,Eukiefferiella Tirolensis Group
Eukiefferiella/Tvetenia,FALSE,,DNI,Orthocladiinae,Orthocladiinae,DNI,Orthocladiinae,Orthocladiinae
Eukoenenia,TRUE,Terrestrial,DNI,DNI,DNI,DNI,DNI,DNI
Euparyphus,FALSE,,Stratiomyidae,Euparyphus,Euparyphus,DNI,Euparyphus,Euparyphus
Euphylidorea,FALSE,"subgenus of Limnophila now genus, Limnophila still valid but very different taxon concept translating to family",DNI,Limoniidae,Limoniidae,DNI,Limoniidae,Limoniidae
Euryhapsis,FALSE,,DNI,Euryhapsis,Euryhapsis,DNI,Euryhapsis,Euryhapsis
Eurylophella,FALSE,,DNI,Eurylophella,Eurylophella,DNI,Eurylophella,Eurylophella
Eurylophella lodi,FALSE,,DNI,Eurylophella,Eurylophella,DNI,Eurylophella,Eurylophella
Eylais,FALSE,,DNI,Eylais,Trombidiformes,DNI,Eylais,Eylais
Fallceon,FALSE,,Fallceon,Fallceon,Fallceon,DNI,Fallceon,Fallceon
Fallceon quilleri,FALSE,,Fallceon,Fallceon,Fallceon,DNI,Fallceon,Fallceon
Farula,FALSE,,Farula,Farula,Farula,DNI,Farula,Farula
Farula/Neothremma,FALSE,,DNI,Uenoidae,Uenoidae,DNI,Uenoidae,Uenoidae
Feltria,FALSE,,DNI,Feltria,Trombidiformes,DNI,Feltria,Feltria
Ferrisia,FALSE,,Ferrissia,Ferrissia,Ferrissia,Ferrissia,Ferrissia,Ferrissia
Ferrissia,FALSE,,Ferrissia,Ferrissia,Ferrissia,Ferrissia,Ferrissia,Ferrissia
Ferrissia fragilis,FALSE,,Ferrissia,Ferrissia,Ferrissia,Ferrissia,Ferrissia,Ferrissia
Ferrissia rivularis,FALSE,,Ferrissia,Ferrissia,Ferrissia,Ferrissia,Ferrissia,Ferrissia
Fisherola nuttalli,FALSE,,Lymnaeidae,Fisherola nuttalli,Fisherola nuttalli,Lymnaeidae,Fisherola nuttalli,Fisherola nuttalli
Fluminicola,FALSE,Common hydroboid in PNW streams,Truncatelloidea,Truncatelloidea,Truncatelloidea,Truncatelloidea,Truncatelloidea,Truncatelloidea
Flustra,TRUE,Bryozoa,DNI,DNI,DNI,DNI,DNI,DNI
Forcipomyia,FALSE,,Forcipomyiinae,Forcipomyiinae,Forcipomyiinae,Forcipomyiinae,Forcipomyiinae,Forcipomyiinae
Forcipomyiinae,FALSE,,Forcipomyiinae,Forcipomyiinae,Forcipomyiinae,Forcipomyiinae,Forcipomyiinae,Forcipomyiinae
Forelia,FALSE,,DNI,Forelia,Trombidiformes,DNI,Forelia,Forelia
Fossaria,FALSE,,Lymnaeidae,Lymnaeidae,Lymnaeidae,Lymnaeidae,Lymnaeidae,Lymnaeidae
Fossaria/Stagnicola,FALSE,,Lymnaeidae,Lymnaeidae,Lymnaeidae,Lymnaeidae,Lymnaeidae,Lymnaeidae
Fridericia,FALSE,,Fridericia,Fridericia,Oligochaeta,Fridericia,Oligochaeta,Enchytraeidae
Frisonia,FALSE,Single Species in Genus,DNI,Frisonia picticeps,Frisonia picticeps,DNI,Frisonia picticeps,Frisonia picticeps
Frisonia,FALSE,Trailing space after genus Name,DNI,Frisonia picticeps,Frisonia picticeps,DNI,Frisonia picticeps,Frisonia picticeps
Frisonia picticeps,FALSE,Single Species in Genus,DNI,Frisonia picticeps,Frisonia picticeps,DNI,Frisonia picticeps,Frisonia picticeps
Frontipoda,FALSE,synonym of Oxus,DNI,Oxus,Trombidiformes,DNI,Oxus,Oxus
Frontipoda americana,FALSE,synonym of Oxus,DNI,Oxus,Trombidiformes,DNI,Oxus,Oxus
Galba,FALSE,,Lymnaeidae,Lymnaeidae,Lymnaeidae,Lymnaeidae,Lymnaeidae,Lymnaeidae
Galerucella,TRUE,Leaf beetle terrestrial,DNI,DNI,DNI,DNI,DNI,DNI
Galerucella nymphaeae,TRUE,Leaf beetle terrestrial,DNI,DNI,DNI,DNI,DNI,DNI
Gammaridae,FALSE,,DNI,Amphipoda,Gammaridae,DNI,Amphipoda,Amphipoda
Gammaridea,FALSE,,DNI,Gammaridea,Gammaridea,DNI,Gammaridea,Gammaridea
Gammarus,FALSE,,Gammarus,Gammarus,Gammarus,Gammarus,Gammarus,Gammarus
Gammarus lacustris,FALSE,,Gammarus,Gammarus,Gammarus,Gammarus,Gammarus,Gammarus
Gasterosteidae,TRUE,Fish,DNI,DNI,DNI,DNI,DNI,DNI
Gastropoda,FALSE,TOO COARSE,DNI,Gastropoda,Gastropoda,DNI,Gastropoda,Gastropoda
Gelastocoris,TRUE,toad bugs,DNI,DNI,DNI,DNI,DNI,DNI
Georthocladius,FALSE,,DNI,Georthocladius,Georthocladius,DNI,Georthocladius,Georthocladius
Georyssus,FALSE,,DNI,Georyssus,Georyssus,DNI,Georyssus,Georyssus
Geranomyia,FALSE,genus was subgenu of Limonia,DNI,Limoniidae,Limoniidae,DNI,Limoniidae,Limoniidae
Gereckea,FALSE,,DNI,Gereckea,Trombidiformes,DNI,Gereckea,Gereckea
Gerridae,TRUE,Excluded as water column or surface dwellers,DNI,DNI,DNI,DNI,DNI,DNI
Gerrinae,TRUE,Excluded as water column or surface dwellers,DNI,DNI,DNI,DNI,DNI,DNI
Gerris,TRUE,Excluded as water column or surface dwellers,DNI,DNI,DNI,DNI,DNI,DNI
Gerris buenoi,TRUE,Excluded as water column or surface dwellers,DNI,DNI,DNI,DNI,DNI,DNI
Gerris incurvatus,TRUE,Excluded as water column or surface dwellers,DNI,DNI,DNI,DNI,DNI,DNI
Gerris remigis,TRUE,Excluded as water column or surface dwellers,DNI,DNI,DNI,DNI,DNI,DNI
Glans,TRUE,Marine,DNI,DNI,DNI,DNI,DNI,DNI
Gloma,TRUE,Dubious ID?,DNI,DNI,DNI,DNI,DNI,DNI
Glossidae,TRUE,Marine,DNI,DNI,DNI,DNI,DNI,DNI
Glossiphonia,FALSE,,Hirudinida,Glossiphonia,Glossiphonia,Hirudinida,Glossiphonia,Glossiphonia
Glossiphonia complanata,FALSE,,Hirudinida,Glossiphonia,Glossiphonia,Hirudinida,Glossiphonia,Glossiphonia
Glossiphonia elegans,FALSE,,Hirudinida,Glossiphonia,Glossiphonia,Hirudinida,Glossiphonia,Glossiphonia
Glossiphoniidae,FALSE,,Hirudinida,Glossiphoniidae,Glossiphoniidae,Hirudinida,Glossiphoniidae,Glossiphoniidae
Glossobius,TRUE,marine,DNI,DNI,DNI,DNI,DNI,DNI
Glossosoma,FALSE,,Glossosoma,Glossosoma,Glossosoma,Glossosoma,Glossosoma,Glossosoma
Glossosoma (Anseriglossa),FALSE,,Glossosoma,Glossosoma,Glossosoma,Glossosoma,Glossosoma,Glossosoma
Glossosoma alascense,FALSE,,Glossosoma,Glossosoma,Glossosoma,Glossosoma,Glossosoma,Glossosoma
Glossosoma intermedium,FALSE,,Glossosoma,Glossosoma,Glossosoma,Glossosoma,Glossosoma,Glossosoma
Glossosoma oregonense,FALSE,,Glossosoma,Glossosoma,Glossosoma,Glossosoma,Glossosoma,Glossosoma
Glossosoma penitum,FALSE,,Glossosoma,Glossosoma,Glossosoma,Glossosoma,Glossosoma,Glossosoma
Glossosoma penitus,FALSE,,Glossosoma,Glossosoma,Glossosoma,Glossosoma,Glossosoma,Glossosoma
Glossosoma pyroxum,FALSE,,Glossosoma,Glossosoma,Glossosoma,Glossosoma,Glossosoma,Glossosoma
Glossosoma traviatum,FALSE,,Glossosoma,Glossosoma,Glossosoma,Glossosoma,Glossosoma,Glossosoma
