Taxon_Group,Taxon_Orig,Rank,NonTarget,Rationale,source_MPCA,source_RedLake,Notes,BenTaxaID,FinalID,OTU_BCG,OTU_IBI,TSN,ParTSN,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,Family,SubFamily,Tribe,Genus,SubGenus,Species,Variety
,Ephemerella rotunda,Species,FALSE,,MN BCG Access db,,,697,Ephemerella rotunda,Ephemerella,,101296,101233,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Furcatergalia,Ephemerellidae,,,Ephemerella,,Ephemerella rotunda,
,Ephemerella septentrionalis,Species,FALSE,,MN BCG Access db,,,698,Ephemerella septentrionalis,Ephemerella,,101299,101233,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Furcatergalia,Ephemerellidae,,,Ephemerella,,Ephemerella septentrionalis,
,Ephemerella subvaria,Species,FALSE,,MN BCG Access db,,,699,Ephemerella subvaria,Ephemerella,,101241,101233,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Furcatergalia,Ephemerellidae,,,Ephemerella,,Ephemerella subvaria,
,Ephemerella/Serratella,Genus,FALSE,,MN BCG Access db,,,700,Ephemerella/Serratella,Ephemerellidae,,,,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Furcatergalia,Ephemerellidae,,,Ephemerella/Serratella,,,
,Ephemerellidae,Family,FALSE,,MN BCG Access db,,,680,Ephemerellidae,Ephemerellidae,,101232,568542,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Furcatergalia,Ephemerellidae,,,,,,
,Ephemeridae,Family,FALSE,,MN BCG Access db,,,710,Ephemeridae,Ephemeridae,,101525,101508,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Furcatergalia,Ephemeridae,,,,,,
,Ephemeroptera,Order,FALSE,,MN BCG Access db,,,659,Ephemeroptera,DNI,,100502,563889,Arthropoda,,Insecta,Pterygota,Ephemeroptera,,,,,,,,
,Ephoron,Genus,FALSE,,MN BCG Access db,,,734,Ephoron,Ephoron,,101570,101569,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Furcatergalia,Polymitarcyidae,,,Ephoron,,,
,Ephoron album,Species,FALSE,,MN BCG Access db,,,735,Ephoron album,Ephoron,,101571,101570,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Furcatergalia,Polymitarcyidae,,,Ephoron,,Ephoron album,
,Ephoron leukon,Species,FALSE,,MN BCG Access db,,,736,Ephoron leukon,Ephoron,,101572,101570,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Furcatergalia,Polymitarcyidae,,,Ephoron,,Ephoron leukon,
,Ephydra,Genus,FALSE,,MN BCG Access db,,,295,Ephydra,Ephydridae,,147486,147466,Arthropoda,,Insecta,Pterygota,Diptera,Brachycera,Ephydridae,Ephydrinae,Ephydrini,Ephydra,,,
,Ephydridae,Family,FALSE,,MN BCG Access db,,,288,Ephydridae,Ephydridae,,146893,131750,Arthropoda,,Insecta,Pterygota,Diptera,Brachycera,Ephydridae,,,,,,
,Epiaeschna,Genus,FALSE,,MN BCG Access db,,,906,Epiaeschna,Epiaeschna,,101637,101596,Arthropoda,,Insecta,Pterygota,Odonata,Anisoptera,Aeshnidae,,,Epiaeschna,,,
,Epitheca,Genus,FALSE,,MN BCG Access db,,,912,Epitheca,Epitheca,,102035,102026,Arthropoda,,Insecta,Pterygota,Odonata,Anisoptera,Corduliidae,Corduliinae,,Epitheca,,,
,Epitheca (Tetragoneuria),Genus,FALSE,,MN BCG Access db,,,913,Epitheca (Tetragoneuria),Epitheca (Tetragoneuria),,591872,102035,Arthropoda,,Insecta,Pterygota,Odonata,Anisoptera,Corduliidae,Corduliinae,,Epitheca (Tetragoneuria),Epitheca (Tetragoneuria),,
,Epitheca canis,Species,FALSE,,,AWQMS_Invert_Data_Export,,,Epitheca canis,Epitheca,,,,Arthropoda,,Insecta,Pterygota,Odonata,Anisoptera,Corduliidae,Corduliinae,,Epitheca,,Epitheca canis,
,Epoicocladius,Genus,FALSE,,MN BCG Access db,,,492,Epoicocladius,Epoicocladius,,128682,128457,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Orthocladiinae,Orthocladiini,Epoicocladius,,,
,Eriocera,Genus,FALSE,,MN BCG Access db,,,633,Eriocera,Eriocera,,120095,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Tipulidae,,,Eriocera,,,
,Erioptera,Genus,FALSE,,MN BCG Access db,,,639,Erioptera,Erioptera,,120503,120397,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Tipulidae,Limoniinae,Eriopterini,Erioptera,,,
,Erioptera/Ormosia,Genus,FALSE,,MN BCG Access db,,,640,Erioptera/Ormosia,Erioptera/Ormosia,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Tipulidae,Limoniinae,Eriopterini,Erioptera/Ormosia,,,
,Eriopterini,Tribe,FALSE,,MN BCG Access db,,,637,Eriopterini,Tipulidae,,120397,119654,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Tipulidae,Limoniinae,Eriopterini,,,,
,Eristalis,Genus,FALSE,,MN BCG Access db,,,1694,Eristalis,Eristalis,,140904,140896,Arthropoda,,Insecta,Pterygota,Diptera,,Syrphidae,,Eristaliini,Eristalis,,,
,Erpetogomphus,Genus,FALSE,,MN BCG Access db,,,930,Erpetogomphus,Erpetogomphus,,101725,101664,Arthropoda,,Insecta,Pterygota,Odonata,Anisoptera,Gomphidae,,,Erpetogomphus,,,
,Erpetogomphus/Gomphus,Genus,FALSE,,MN BCG Access db,,,931,Erpetogomphus/Gomphus,Erpetogomphus/Gomphus,,,,Arthropoda,,Insecta,Pterygota,Odonata,Anisoptera,Gomphidae,,,Erpetogomphus/Gomphus,,,
,Erpobdella,Genus,FALSE,,MN BCG Access db,,,6,Erpobdella,Hirudinea,,69444,568847,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,,Erpobdellidae,Erpobdellinae,,Erpobdella,,,
,Erpobdella parva,Species,FALSE,,MN BCG Access db,,,1577,Erpobdella parva,Hirudinea,,568900,,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,,Erpobdellidae,,,Erpobdella,,parva,
,Erpobdella punctata,Species,FALSE,,MN BCG Access db,,,1578,Erpobdella punctata,Hirudinea,,69445,69444,Annelida,,Clitellata,Hirudinea,Pharyngodellida,,Erpobdellidae,Erpobdellinae,,Erpobdella,,Erpobdella punctata,
,Erpobdellidae,Family,FALSE,,MN BCG Access db,,,4,Erpobdellidae,Hirudinea,,69438,568836,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,Erpobdelliformes,Erpobdellidae,,,,,,
,Erythemis,Genus,FALSE,,MN BCG Access db,,,949,Erythemis,Erythemis,,101865,101797,Arthropoda,,Insecta,Pterygota,Odonata,Anisoptera,Libellulidae,,,Erythemis,,,
,Eucorethra,Genus,FALSE,,MN BCG Access db,,,1695,Eucorethra,Eucorethra,,125888,125887,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chaoboridae,Eucorethrinae,,Eucorethra,,,
,Euholognatha,SubOrder,FALSE,,,AWQMS_Invert_Data_Export,,,Euholognatha,DNI,,,,Arthropoda,,Insecta,Pterygota,Plecoptera,Euholognatha,,,,,,,
,Eukiefferiella,Genus,FALSE,,MN BCG Access db,,,493,Eukiefferiella,Eukiefferiella,,128689,128457,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Orthocladiinae,Orthocladiini,Eukiefferiella,,,
,Eukiefferiella brehmi Gr.,Species,FALSE,,MN BCG Access db,,,1559,Eukiefferiella brehmi Gr.,Eukiefferiella,,,128457,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Orthocladiinae,Orthocladiini,Eukiefferiella,,brehmi Gr.,
,Eukiefferiella brevicalcar,Species,FALSE,,MN BCG Access db,,,494,Eukiefferiella brevicalcar,Eukiefferiella,,128703,128689,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Orthocladiinae,Orthocladiini,Eukiefferiella,,brevicalcar,
,Eukiefferiella brevicalcar Gr.,Species,FALSE,,MN BCG Access db,,,1516,Eukiefferiella brevicalcar Gr.,Eukiefferiella,,,128689,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Orthocladiinae,Orthocladiini,Eukiefferiella,,brevicalcar Gr.,
,Eukiefferiella claripennis,Species,FALSE,,MN BCG Access db,,,495,Eukiefferiella claripennis,Eukiefferiella,,128693,128689,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Orthocladiinae,Orthocladiini,Eukiefferiella,,claripennis,
,Eukiefferiella claripennis Gr.,Species,FALSE,,MN BCG Access db,,,1560,Eukiefferiella claripennis Gr.,Eukiefferiella,,,128689,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Orthocladiinae,Orthocladiini,Eukiefferiella,,claripennis Gr.,
,Eukiefferiella devonica,Species,FALSE,,MN BCG Access db,,,496,Eukiefferiella devonica,Eukiefferiella,,128695,128689,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Orthocladiinae,Orthocladiini,Eukiefferiella,,devonica,
,Eukiefferiella devonica Gr.,Species,FALSE,,MN BCG Access db,,,1561,Eukiefferiella devonica Gr.,Eukiefferiella,,,128689,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Orthocladiinae,Orthocladiini,Eukiefferiella,,devonica Gr.,
,Eukiefferiella gracei,Species,FALSE,,MN BCG Access db,,,497,Eukiefferiella gracei,Eukiefferiella,,128705,128689,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Orthocladiinae,Orthocladiini,Eukiefferiella,,gracei,
,Eukiefferiella gracei Gr.,Species,FALSE,,MN BCG Access db,,,1562,Eukiefferiella gracei Gr.,Eukiefferiella,,,128689,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Orthocladiinae,Orthocladiini,Eukiefferiella,,gracei Gr.,
,Eukiefferiella pseudomontana,Species,FALSE,,MN BCG Access db,,,498,Eukiefferiella pseudomontana,Eukiefferiella,,128706,128689,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Orthocladiinae,Orthocladiini,Eukiefferiella,,pseudomontana,
,Eukiefferiella pseudomontana Gr.,Species,FALSE,,MN BCG Access db,,,1563,Eukiefferiella pseudomontana Gr.,Eukiefferiella,,,128689,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Orthocladiinae,Orthocladiini,Eukiefferiella,,pseudomontana Gr.,
,Eukiefferiella tirolensis,Species,FALSE,,MN BCG Access db,,,1517,Eukiefferiella tirolensis,Eukiefferiella,,,128689,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Orthocladiinae,Orthocladiini,Eukiefferiella,,tirolensis,
,Eukiefferiella/Tvetenia,Genus,FALSE,,MN BCG Access db,,,499,Eukiefferiella/Tvetenia,Eukiefferiella/Tvetenia,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Orthocladiinae,Orthocladiini,Eukiefferiella/Tvetenia,,,
,Euparyphus,Genus,FALSE,,MN BCG Access db,,,1696,Euparyphus,Euparyphus,,130436,130408,Arthropoda,,Insecta,Pterygota,Diptera,Brachycera,Stratiomyidae,Stratiomyinae,Oxycerini,Euparyphus,,,
,Eupera,Genus,FALSE,,MN BCG Access db,,,1319,Eupera,Pisidiidae,,81436,81388,Mollusca,,Bivalvia,Heterodonta,Veneroida,,Pisidiidae,,,Eupera,,,
,Eupera cubensis,Species,FALSE,,MN BCG Access db,,,1320,Eupera cubensis,Pisidiidae,,81438,81436,Mollusca,,Bivalvia,Heterodonta,Veneroida,,Pisidiidae,,,Eupera,,Eupera cubensis,
,Euphylidorea,Genus,FALSE,,,AWQMS_Invert_Data_Export,,,Euphylidorea,Euphylidorea,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Tipulidae,Limoniinae,Hexatomini,Euphylidorea,,,
,Euryhapsis,Genus,FALSE,,MN BCG Access db,,,1472,Euryhapsis,Euryhapsis,,128707,128457,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Orthocladiinae,,Euryhapsis,,,
,Eurylophella,Genus,FALSE,,MN BCG Access db,,,701,Eurylophella,Eurylophella,,101324,101232,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Furcatergalia,Ephemerellidae,,,Eurylophella,,,
,Eurylophella bicolor,Species,FALSE,,MN BCG Access db,,,702,Eurylophella bicolor,Eurylophella,,101334,101324,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Furcatergalia,Ephemerellidae,,,Eurylophella,,Eurylophella bicolor,
,Eurylophella funeralis,Species,FALSE,,MN BCG Access db,,,1473,Eurylophella funeralis,Eurylophella,,101332,101324,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Furcatergalia,Ephemerellidae,,,Eurylophella,,funeralis,
,Eurylophella lutulenta,Species,FALSE,,MN BCG Access db,,,1474,Eurylophella lutulenta,Eurylophella,,101328,101324,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Furcatergalia,Ephemerellidae,,,Eurylophella,,lutulenta,
,Eurylophella temporalis,Species,FALSE,,MN BCG Access db,,,703,Eurylophella temporalis,Eurylophella,,101326,101324,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Furcatergalia,Ephemerellidae,,,Eurylophella,,Eurylophella temporalis,
,Fallceon,Genus,FALSE,,MN BCG Access db,,,770,Fallceon,Fallceon,,568551,100755,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Pisciforma,Baetidae,,,Fallceon,,,
,Fallceon quilleri,Species,FALSE,,MN BCG Access db,,,771,Fallceon quilleri,Fallceon,,568601,568551,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Pisciforma,Baetidae,,,Fallceon,,Fallceon quilleri,
,Fattigia/Agarodes,Genus,FALSE,,MN BCG Access db,,,1224,Fattigia/Agarodes,Sericostomatidae,,,,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Sericostomatidae,,,Fattigia/Agarodes,,,
,Faxonius,Genus,FALSE,,MN BCG Access db,,,1844,Faxonius,Cambaridae,,1133539,97336,Arthropoda,Crustacea,Malacostraca,,Decapoda,Pleocyemata,Cambaridae,Cambarinae,,Faxonius,,,
,Faxonius virilis,Species,FALSE,,,AWQMS_Invert_Data_Export,,,Faxonius virilis,Cambaridae,,,,Arthropoda,Crustacea,Malacostraca,,Decapoda,Pleocyemata,Cambaridae,Cambarinae,,Faxonius,,Faxonius virilis,
,Feltria,Genus,FALSE,,MN BCG Access db,,,1475,Feltria,Acari,,83314,83313,Arthropoda,Chelicerata,Arachnida,Acarina,Acariformes,Prostigmata,Feltriidae,,,Feltria,,,
,Feltriidae,Family,FALSE,,MN BCG Access db,,,95,Feltriidae,Acari,,83313,82770,Arthropoda,,Arachnida,Acarina,Trombidiformes,Prostigmata,Feltriidae,,,,,,
,Ferrissia,Genus,FALSE,,MN BCG Access db,,,1338,Ferrissia,Ferrissia,,76569,76568,Mollusca,,Gastropoda,,Basommatophora,,Ancylidae,,,Ferrissia,,,
,Ferrissia rivularis,Species,FALSE,,MN BCG Access db,,,1339,Ferrissia rivularis,Ferrissia,,76572,76569,Mollusca,,Gastropoda,,Basommatophora,,Ancylidae,,,Ferrissia,,Ferrissia rivularis,
,Fissimentum,Genus,FALSE,,MN BCG Access db,,,364,Fissimentum,Fissimentum,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Chironominae,Chironomini,Fissimentum,,,
,Fittkauimyia,Genus,FALSE,,MN BCG Access db,,,558,Fittkauimyia,Fittkauimyia,,206647,127995,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Tanypodinae,Macropelopiini,Fittkauimyia,,,
,Fontigens,Genus,FALSE,,MN BCG Access db,,,1697,Fontigens,Hydrobiidae,,70605,70493,Mollusca,,Gastropoda,,,,Hydrobiidae,,,Fontigens,,,
,Forcipomyia,Genus,FALSE,,MN BCG Access db,,,341,Forcipomyia,Forcipomyia,,127152,127112,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Ceratopogonidae,Forcipomyiinae,,Forcipomyia,,,
,Forcipomyiinae,Subfamily,FALSE,,MN BCG Access db,,,339,Forcipomyiinae,Ceratopogonidae,,127112,127076,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Ceratopogonidae,Forcipomyiinae,,,,,
,Forelia,Genus,FALSE,,MN BCG Access db,,,115,Forelia,Acari,,83331,83330,Arthropoda,,Arachnida,Acarina,Trombidiformes,Prostigmata,Pionidae,,,Forelia,,,
,Fossaria,Genus,FALSE,,MN BCG Access db,,,1343,Fossaria,Fossaria,,76497,76483,Mollusca,,Gastropoda,,Basommatophora,,Lymnaeidae,,,Fossaria,,,
,Galba,Genus,FALSE,,,AWQMS_Invert_Data_Export,,,Galba,Galba,,,,Mollusca,,Gastropoda,,Basommatophora,,Lymnaeidae,,,Galba,,,
,Gammaridae,Family,FALSE,,MN BCG Access db,,,1456,Gammaridae,Gammaridae,,93745,93295,Arthropoda,Crustacea,Malacostraca,,Amphipoda,Gammaridea,Gammaridae,,,,,,
,Gammarus,Genus,FALSE,,MN BCG Access db,,,1292,Gammarus,Gammarus,,93773,93745,Arthropoda,Crustacea,Malacostraca,,Amphipoda,Gammaridea,Gammaridae,,,Gammarus,,,
,Gammarus dulongii,Species,FALSE,,MN BCG Access db,,,1293,Gammarus dulongii,Gammarus,,91391,,Arthropoda,Crustacea,Malacostraca,,Amphipoda,Gammaridea,Gammaridae,,,Gammarus,,Gammarus dulongii,
,Gammarus fasciatus,Species,FALSE,,MN BCG Access db,,,1418,Gammarus fasciatus,Gammarus,,93780,93773,Arthropoda,Crustacea,Malacostraca,,Amphipoda,,Gammaridae,,,Gammarus,,Gammarus fasciatus,
,Gammarus lacustris,Species,FALSE,,,AWQMS_Invert_Data_Export,,,Gammarus lacustris,Gammarus,,,,Arthropoda,Crustacea,Malacostraca,,Amphipoda,Gammaridea,Gammaridae,,,Gammarus,,Gammarus lacustris,
,Gammarus pseudolimnaeus,Species,FALSE,,MN BCG Access db,,,1294,Gammarus pseudolimnaeus,Gammarus,,93790,93773,Arthropoda,Crustacea,Malacostraca,,Amphipoda,Gammaridea,Gammaridae,,,Gammarus,,Gammarus pseudolimnaeus,
,Gastropoda,Class,FALSE,,MN BCG Access db,,,1335,Gastropoda,DNI,,69459,69458,Mollusca,,Gastropoda,,,,,,,,,,
,Georthocladius,Genus,FALSE,,MN BCG Access db,,,500,Georthocladius,Georthocladius,,128712,128457,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Orthocladiinae,Orthocladiini,Georthocladius,,,
,Gerridae,Family,FALSE,,MN BCG Access db,,,842,Gerridae,Gerridae,,103801,103358,Arthropoda,,Insecta,Pterygota,Hemiptera,Heteroptera,Gerridae,,,,,,
,Gerrinae,Subfamily,FALSE,,MN BCG Access db,,,844,Gerrinae,Gerridae,,717532,103801,Arthropoda,,Insecta,Pterygota,Hemiptera,Heteroptera,Gerridae,Gerrinae,,,,,
,Gerris,Genus,FALSE,,MN BCG Access db,,,1698,Gerris,Gerridae,,103829,717532,Arthropoda,,Insecta,Pterygota,Hemiptera,Heteroptera,Gerridae,Gerrinae,,Gerris,,,
,Gerris argenticollis,Species,FALSE,,MN BCG Access db,,,845,Gerris argenticollis,Gerridae,,103833,103829,Arthropoda,,Insecta,Pterygota,Hemiptera,Heteroptera,Gerridae,Gerrinae,,Gerris,Gerris (Gerris),Gerris argenticollis,
,Gerris buenoi,Species,FALSE,,,AWQMS_Invert_Data_Export,,,Gerris buenoi,Gerridae,,,,Arthropoda,,Insecta,Pterygota,Hemiptera,Heteroptera,Gerridae,Gerrinae,,Gerris,,Gerris buenoi,
,Gerris insperatus,Species,FALSE,,,AWQMS_Invert_Data_Export,,,Gerris insperatus,Gerridae,,,,Arthropoda,,Insecta,Pterygota,Hemiptera,Heteroptera,Gerridae,Gerrinae,,Gerris,,Gerris insperatus,
,Glossiphonia,Genus,FALSE,,MN BCG Access db,,,15,Glossiphonia,Hirudinea,,69380,568849,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,Glossiphoniidae,Glossiphoniinae,,Glossiphonia,,,
,Glossiphonia complanata,Species,FALSE,,MN BCG Access db,,,1547,Glossiphonia complanata,Hirudinea,,69381,69380,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,Glossiphoniidae,Glossiphoniinae,,Glossiphonia,,complanata,
,Glossiphoniidae,Family,FALSE,,MN BCG Access db,,,11,Glossiphoniidae,Hirudinea,,69357,69295,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,Glossiphoniidae,,,,,,
,Glossosoma,Genus,FALSE,,MN BCG Access db,,,1236,Glossosoma,Glossosoma,,117159,117120,Arthropoda,,Insecta,Pterygota,Trichoptera,Spicipalpia,Glossosomatidae,Glossosomatinae,Glossosomatini,Glossosoma,,,
,Glossosoma intermedium,Species,FALSE,,MN BCG Access db,,,1237,Glossosoma intermedium,Glossosoma,,117162,117159,Arthropoda,,Insecta,Pterygota,Trichoptera,Spicipalpia,Glossosomatidae,Glossosomatinae,,Glossosoma,Glossosoma (Synafophora),Glossosoma intermedium,
,Glossosoma nigrior,Species,FALSE,,MN BCG Access db,,,1238,Glossosoma nigrior,Glossosoma,,117164,117159,Arthropoda,,Insecta,Pterygota,Trichoptera,Spicipalpia,Glossosomatidae,Glossosomatinae,,Glossosoma,Glossosoma (Synafophora),Glossosoma nigrior,
,Glossosomatidae,Family,FALSE,,MN BCG Access db,,,1232,Glossosomatidae,Glossosomatidae,,117120,115095,Arthropoda,,Insecta,Pterygota,Trichoptera,Spicipalpia,Glossosomatidae,,,,,,
,Glyphopsyche,Genus,FALSE,,MN BCG Access db,,,1195,Glyphopsyche,Glyphopsyche,,116030,568767,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Limnephilidae,Limnephilinae,Chilostigmini,Glyphopsyche,,,
,Glyphopsyche irrorata,Species,FALSE,,,AWQMS_Invert_Data_Export,,,Glyphopsyche irrorata,Glyphopsyche,,,,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Limnephilidae,Limnephilinae,Chilostigmini,Glyphopsyche,,Glyphopsyche irrorata,
,Glyptotendipes,Genus,FALSE,,MN BCG Access db,,,365,Glyptotendipes,Glyptotendipes,,129483,129229,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Chironominae,Chironomini,Glyptotendipes,,,
,Goeldichironomus,Genus,FALSE,,MN BCG Access db,,,366,Goeldichironomus,Goeldichironomus,,129506,129229,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Chironominae,Chironomini,Goeldichironomus,,,
,Goera,Genus,FALSE,,MN BCG Access db,,,1159,Goera,Goera,,116423,568758,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Goeridae,Goerinae,,Goera,,,
,Goera stylata,Species,FALSE,,MN BCG Access db,,,1160,Goera stylata,Goera,,116426,116423,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Goeridae,Goerinae,,Goera,,Goera stylata,
,Goeridae,Family,FALSE,,MN BCG Access db,,,1157,Goeridae,Goeridae,,115934,115095,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Goeridae,,,,,,
,Goerinae,Subfamily,FALSE,,MN BCG Access db,,,1158,Goerinae,Goeridae,,568758,115934,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Goeridae,Goerinae,,,,,
,Gomphaeschna,Genus,FALSE,,MN BCG Access db,,,1699,Gomphaeschna,Gomphaeschna,,101634,101596,Arthropoda,,Insecta,Pterygota,Odonata,Anisoptera,Aeshnidae,,,Gomphaeschna,,,
,Gomphaeschna furcillata,Species,FALSE,,MN BCG Access db,,,1700,Gomphaeschna furcillata,Gomphaeschna,,101635,101634,Arthropoda,,Insecta,Pterygota,Odonata,,Aeshnidae,,,Gomphaeschna,,furcillata,
,Gomphidae,Family,FALSE,,MN BCG Access db,,,926,Gomphidae,Gomphidae,,101664,101595,Arthropoda,,Insecta,Pterygota,Odonata,Anisoptera,Gomphidae,,,,,,
,Gomphurus,Genus,FALSE,,MN BCG Access db,,,1701,Gomphurus,Gomphurus,,101777,101664,Arthropoda,,Insecta,Pterygota,Odonata,,Gomphidae,,,Gomphurus,,,
,Gomphus,Genus,FALSE,,MN BCG Access db,,,932,Gomphus,Gomphus,,101665,101664,Arthropoda,,Insecta,Pterygota,Odonata,Anisoptera,Gomphidae,,,Gomphus,,,
,Gonielmis,Genus,FALSE,,MN BCG Access db,,,156,Gonielmis,Gonielmis,,114216,114093,Arthropoda,,Insecta,Pterygota,Coleoptera,,Elmidae,,,Gonielmis,,,
,Goniobasis,Genus,FALSE,,MN BCG Access db,,,1702,Goniobasis,Pleuroceridae,,71542,71541,Mollusca,,Gastropoda,,,,Pleuroceridae,,,Goniobasis,,,
,Gonomyia,Genus,FALSE,,MN BCG Access db,,,641,Gonomyia,Gonomyia,,120640,120397,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Tipulidae,Limoniinae,Eriopterini,Gonomyia,,,
,Graphoderus,Genus,FALSE,,MN BCG Access db,,,1703,Graphoderus,Graphoderus,,112165,728221,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,Dytiscidae,Dytiscinae,Acyliini,Graphoderus,,,
,Guttipelopia,Genus,FALSE,,MN BCG Access db,,,573,Guttipelopia,Guttipelopia,,128161,128078,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Tanypodinae,Pentaneurini,Guttipelopia,,,
,Gymnochthebius,Genus,FALSE,,MN BCG Access db,,,1704,Gymnochthebius,Gymnochthebius,,193637,112756,Arthropoda,,Insecta,Pterygota,Coleoptera,Polyphaga,Hydraenidae,,,Gymnochthebius,,,
,Gymnochthebius nitidus,Species,FALSE,,,AWQMS_Invert_Data_Export,,,Gymnochthebius nitidus,Gymnochthebius,,,,Arthropoda,,Insecta,Pterygota,Coleoptera,Polyphaga,Hydraenidae,,,Gymnochthebius,,Gymnochthebius nitidus,
,Gymnometriocnemus,Genus,FALSE,,MN BCG Access db,,,501,Gymnometriocnemus,Gymnometriocnemus,,128718,128457,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Orthocladiinae,Orthocladiini,Gymnometriocnemus,,,
,Gyraulus,Genus,FALSE,,MN BCG Access db,,,1359,Gyraulus,Gyraulus,,76592,76591,Mollusca,,Gastropoda,,Basommatophora,,Planorbidae,,,Gyraulus,,,
,Gyraulus circumstriatus,Species,FALSE,,MN BCG Access db,,,1579,Gyraulus circumstriatus,Gyraulus,,76593,76592,Mollusca,,Gastropoda,,Basommatophora,,Planorbidae,,,Gyraulus,,Gyraulus circumstriatus,
,Gyraulus parvus,Species,FALSE,,,AWQMS_Invert_Data_Export,,,Gyraulus parvus,Gyraulus,,,,Mollusca,,Gastropoda,,Basommatophora,,Planorbidae,,,Gyraulus,,Gyraulus parvus,
,Gyretes,Genus,FALSE,,MN BCG Access db,,,163,Gyretes,Gyrinidae,,112706,112653,Arthropoda,,Insecta,Pterygota,Coleoptera,Adephaga,Gyrinidae,,,Gyretes,,,
,Gyrinidae,Family,FALSE,,MN BCG Access db,,,183,Gyrinidae,Gyrinidae,,112653,109226,Arthropoda,,Insecta,Pterygota,Coleoptera,Adephaga,Gyrinidae,,,,,,
,Gyrinus,Genus,FALSE,,MN BCG Access db,,,189,Gyrinus,Gyrinidae,,112654,112653,Arthropoda,,Insecta,Pterygota,Coleoptera,Adephaga,Gyrinidae,,,Gyrinus,,,
