TAXON,NonTarget,FFG,Habit,Life_Cycle,Thermal_indicator,Rank,Taxon_Group,Plot_Label,Kingdom,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,SuperFamily,Family,SubFamily,Tribe,Genus,Species,GenusGroup_TolAnal,GenusSlash_TolAnal,SubGenus_TolAnal,SpeciesGroup_TolAnal,SpeciesSubGroup_TolAnal,SpeciesComplex _TolAnal,SpeciesSlash_TolAnal,Species_TolAnal
BRACHYPREMNA,FALSE,NA,NA,,,Genus,DIPTERA,TIPULIDAE-BRACHYPREMNA,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,TIPULOMORPHA,TIPULIDAE,TIPULINAE,,BRACHYPREMNA,,,,,,,,,
BRANCHIOBDELLIDAE,FALSE,"CG,PA",BU,multi,,Family,OTHER NON-INSECT,BRANCHIOBDELLIDAE,ANIMALIA,ANNELIDA,,CLITELLATA,LUMBRICULATA,BRANCHIOBDELLIDA,,,BRANCHIOBDELLIDAE,,,,,,,,,,,,
BRANCHIODRILUS,FALSE,CG,"BU,SP",uni,,Genus,OLIGOCHAETA,NAIDIDAE-BRANCHIODRILUS,ANIMALIA,ANNELIDA,,CLITELLATA,OLIGOCHAETA,TUBIFICIDA,,,NAIDIDAE,NAIDINAE,,BRANCHIODRILUS,,,,,,,,,
BRANCHIURA,FALSE,NA,NA,,,Genus,OLIGOCHAETA,NAIDIDAE-BRANCHIURA,ANIMALIA,ANNELIDA,,CLITELLATA,OLIGOCHAETA,TUBIFICIDA,,,NAIDIDAE,,,BRANCHIURA,,,,,,,,,
BRANCHIURA SOWERBYI,FALSE,CG,"BU,SP",uni,,Species,OLIGOCHAETA,NAIDIDAE-BRANCHIURA SOWERBYI,ANIMALIA,ANNELIDA,,CLITELLATA,OLIGOCHAETA,TUBIFICIDA,,,NAIDIDAE,RHYACODRILINAE,,BRANCHIURA,SOWERBYI,,,,,,,,BRANCHIURA SOWERBYI
BRATISLAVIA,FALSE,CG,"BU,SP",uni,,Genus,OLIGOCHAETA,NAIDIDAE-BRATISLAVIA,ANIMALIA,ANNELIDA,,CLITELLATA,OLIGOCHAETA,TUBIFICIDA,,,NAIDIDAE,NAIDINAE,,BRATISLAVIA,,,,,,,,,
BRATISLAVIA DADAYI,FALSE,CG,"BU,SP",uni,,Species,OLIGOCHAETA,NAIDIDAE-BRATISLAVIA DADAYI,ANIMALIA,ANNELIDA,,CLITELLATA,OLIGOCHAETA,TUBIFICIDA,,,NAIDIDAE,NAIDINAE,,BRATISLAVIA,DADAYI,,,,,,,,BRATISLAVIA DADAYI
BRECHMORHOGA,FALSE,PR,"CN,SP",,,Genus,ODONATA,LIBELLULIDAE-BRECHMORHOGA,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,ODONATA,ANISOPTERA,LIBELLULIDAE/CORDULIIDAE,LIBELLULIDAE,,,BRECHMORHOGA,,,,,,,,,
BRILLIA,FALSE,SH,"BU,SP",multi,,Genus,CHIRONOMIDAE,BRILLIA,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,ORTHOCLADIINAE,,BRILLIA,,,,,,,,,
BRILLIA FLAVIFRONS,FALSE,SH,"BU,SP",multi,,Species,CHIRONOMIDAE,BRILLIA FLAVIFRONS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,ORTHOCLADIINAE,,BRILLIA,FLAVIFRONS,,,,,,,,BRILLIA FLAVIFRONS
BRILLIA PARVA,FALSE,SH,"BU,SP",multi,,Species,CHIRONOMIDAE,BRILLIA PARVA,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,ORTHOCLADIINAE,,BRILLIA,PARVA,,,,,,,,BRILLIA PARVA
BRILLIA SERA,FALSE,SH,"BU,SP",multi,,Species,CHIRONOMIDAE,BRILLIA SERA,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,ORTHOCLADIINAE,,BRILLIA,SERA,,,,,,,,BRILLIA SERA
BRUNDINIELLA,FALSE,PR,"BU,SP",multi,,Genus,CHIRONOMIDAE,BRUNDINIELLA,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,,,BRUNDINIELLA,,,,,,,,,
BRUNDINIELLA EUMORPHA,FALSE,PR,"BU,SP",multi,,Species,CHIRONOMIDAE,BRUNDINIELLA EUMORPHA,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,TANYPODINAE,MACROPELOPIINI,BRUNDINIELLA,EUMORPHA,,,,,,,,BRUNDINIELLA EUMORPHA
BRYCHIUS,FALSE,PR,CN,uni,,Genus,COLEOPTERA,HALIPLIDAE-BRYCHIUS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,COLEOPTERA,ADEPHAGA,,HALIPLIDAE,,,BRYCHIUS,,,,,,,,,
BRYCHIUS HUNGERFORDI,FALSE,PR,CN,uni,,Species,COLEOPTERA,HALIPLIDAE-BRYCHIUS HUNGERFORDI,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,COLEOPTERA,ADEPHAGA,,HALIPLIDAE,,,BRYCHIUS,HUNGERFORDI,,,,,,,,BRYCHIUS HUNGERFORDI
BRYOPHAENOCLADIUS,FALSE,NA,SP,multi,,Genus,CHIRONOMIDAE,BRYOPHAENOCLADIUS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,ORTHOCLADIINAE,,BRYOPHAENOCLADIUS,,,,,,,,,
BRYOZOA,FALSE,NA,NA,,,Phylum,OTHER NON-INSECT,DNI,ANIMALIA,BRYOZOA,,,,,,,,,,,,,,,,,,,
BUENOA,FALSE,PR,SW,,,Genus,HEMIPTERA,NOTONECTIDAE-BUENOA,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,HEMIPTERA,HETEROPTERA,,NOTONECTIDAE,ANISOPINAE,,BUENOA,,,,,,,,,
BUENOA CONFUSA,FALSE,PR,SW,,,Species,HEMIPTERA,NOTONECTIDAE-BUENOA CONFUSA,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,HEMIPTERA,HETEROPTERA,,NOTONECTIDAE,ANISOPINAE,,BUENOA,CONFUSA,,,,,,,,BUENOA CONFUSA
BUENOA LIMNOCASTORIS,FALSE,PR,SW,,,Species,HEMIPTERA,NOTONECTIDAE-BUENOA LIMNOCASTORIS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,HEMIPTERA,HETEROPTERA,,NOTONECTIDAE,ANISOPINAE,,BUENOA,LIMNOCASTORIS,,,,,,,,BUENOA LIMNOCASTORIS
BUENOA MACROTIBIALIS,FALSE,PR,SW,,,Species,HEMIPTERA,NOTONECTIDAE-BUENOA MACROTIBIALIS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,HEMIPTERA,HETEROPTERA,,NOTONECTIDAE,ANISOPINAE,,BUENOA,MACROTIBIALIS,,,,,,,,BUENOA MACROTIBIALIS
BUENOA MARGARITACEA,FALSE,PR,SW,,,Species,HEMIPTERA,NOTONECTIDAE-BUENOA MARGARITACEA,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,HEMIPTERA,HETEROPTERA,,NOTONECTIDAE,ANISOPINAE,,BUENOA,MARGARITACEA,,,,,,,,BUENOA MARGARITACEA
BULIMNAEA MEGASOMA,FALSE,SC,CB,,,Species,GASTROPODA,LYMNAEIDAE-BULIMNAEA MEGASOMA,ANIMALIA,MOLLUSCA,,GASTROPODA,,BASOMMATOPHORA,,LYMNAEA SENSU HUBENDICK,LYMNAEIDAE,,,BULIMNAEA,MEGASOMA,,,,,,,,BULIMNAEA MEGASOMA
CAECIDOTEA,FALSE,CG,SP,multi,,Genus,AMPHIPODA_ISOPODA,ISOPODA-CAECIDOTEA,ANIMALIA,ARTHROPODA,CRUSTACEA,MALACOSTRACA,EUMALACOSTRACA,ISOPODA,ASELLOTA,,ASELLIDAE,,,CAECIDOTEA,,,,,,,,,
CAECIDOTEA BREVICAUDA,FALSE,CG,SP,multi,,Species,AMPHIPODA_ISOPODA,ISOPODA-CAECIDOTEA BREVICAUDA,ANIMALIA,ARTHROPODA,CRUSTACEA,MALACOSTRACA,EUMALACOSTRACA,ISOPODA,ASELLOTA,,ASELLIDAE,,,CAECIDOTEA,BREVICAUDA,,,,,,,,CAECIDOTEA BREVICAUDA
CAECIDOTEA COMMUNIS,FALSE,CG,SP,multi,,Species,AMPHIPODA_ISOPODA,ISOPODA-CAECIDOTEA COMMUNIS,ANIMALIA,ARTHROPODA,CRUSTACEA,MALACOSTRACA,EUMALACOSTRACA,ISOPODA,ASELLOTA,,ASELLIDAE,,,CAECIDOTEA,COMMUNIS,,,,,,,,CAECIDOTEA COMMUNIS
CAECIDOTEA FORBESI,FALSE,CG,SP,multi,,Species,AMPHIPODA_ISOPODA,ISOPODA-CAECIDOTEA FORBESI,ANIMALIA,ARTHROPODA,CRUSTACEA,MALACOSTRACA,EUMALACOSTRACA,ISOPODA,ASELLOTA,,ASELLIDAE,,,CAECIDOTEA,FORBESI,,,,,,,,CAECIDOTEA FORBESI
CAECIDOTEA INTERMEDIA,FALSE,CG,SP,multi,,Species,AMPHIPODA_ISOPODA,ISOPODA-CAECIDOTEA INTERMEDIA,ANIMALIA,ARTHROPODA,CRUSTACEA,MALACOSTRACA,EUMALACOSTRACA,ISOPODA,ASELLOTA,,ASELLIDAE,,,CAECIDOTEA,INTERMEDIA,,,,,,,,CAECIDOTEA INTERMEDIA
CAECIDOTEA LATICAUDATUS,FALSE,CG,SP,multi,,Species,AMPHIPODA_ISOPODA,ISOPODA-CAECIDOTEA LATICAUDATUS,ANIMALIA,ARTHROPODA,CRUSTACEA,MALACOSTRACA,EUMALACOSTRACA,ISOPODA,ASELLOTA,,ASELLIDAE,,,CAECIDOTEA,LATICAUDATUS,,,,,,,,CAECIDOTEA LATICAUDATUS
CAECIDOTEA RACOVITZAI,FALSE,CG,SP,multi,,Species,AMPHIPODA_ISOPODA,ISOPODA-CAECIDOTEA RACOVITZAI,ANIMALIA,ARTHROPODA,CRUSTACEA,MALACOSTRACA,EUMALACOSTRACA,ISOPODA,ASELLOTA,,ASELLIDAE,,,CAECIDOTEA,RACOVITZAI,,,,,,,,CAECIDOTEA RACOVITZAI
CAECIDOTEA STYGIA,FALSE,CG,SP,multi,,Species,AMPHIPODA_ISOPODA,ISOPODA-CAECIDOTEA STYGIA,ANIMALIA,ARTHROPODA,CRUSTACEA,MALACOSTRACA,EUMALACOSTRACA,ISOPODA,ASELLOTA,,ASELLIDAE,,,CAECIDOTEA,STYGIA,,,,,,,,CAECIDOTEA STYGIA
CAENIDAE,FALSE,CG,SP,multi,,Family,EPHEMEROPTERA,CAENIDAE,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,EPHEMEROPTERA,FURCATERGALIA,,CAENIDAE,,,,,,,,,,,,
CAENIS,FALSE,CG,SP,multi,,Genus,EPHEMEROPTERA,CAENIDAE-CAENIS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,EPHEMEROPTERA,FURCATERGALIA,,CAENIDAE,CAENINAE,,CAENIS,,,,,,,,,
CAENIS AMICA,FALSE,CG,SP,multi,,Species,EPHEMEROPTERA,CAENIDAE-CAENIS AMICA,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,EPHEMEROPTERA,FURCATERGALIA,,CAENIDAE,CAENINAE,,CAENIS,AMICA,,,,CAENIS DIMINUTA GROUP,,,,CAENIS AMICA
CAENIS ANCEPS,FALSE,CG,SP,multi,,Species,EPHEMEROPTERA,CAENIDAE-CAENIS ANCEPS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,EPHEMEROPTERA,FURCATERGALIA,,CAENIDAE,CAENINAE,,CAENIS,ANCEPS,,,,CAENIS HILARIS GROUP,,,,CAENIS ANCEPS
CAENIS DIMINUTA,FALSE,CG,SP,multi,,Species,EPHEMEROPTERA,CAENIDAE-CAENIS DIMINUTA,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,EPHEMEROPTERA,FURCATERGALIA,,CAENIDAE,CAENINAE,,CAENIS,DIMINUTA,,,,CAENIS DIMINUTA GROUP,,,,CAENIS DIMINUTA
CAENIS DIMINUTA GROUP,FALSE,CG,SP,multi,,SpeciesGroup,EPHEMEROPTERA,CAENIDAE-CAENIS DIMINUTA GROUP,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,EPHEMEROPTERA,FURCATERGALIA,,CAENIDAE,CAENINAE,,CAENIS,,,,,CAENIS DIMINUTA GROUP,,,,
CAENIS HILARIS,FALSE,CG,SP,multi,,Species,EPHEMEROPTERA,CAENIDAE-CAENIS HILARIS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,EPHEMEROPTERA,FURCATERGALIA,,CAENIDAE,CAENINAE,,CAENIS,HILARIS,,,,CAENIS HILARIS GROUP,,,,CAENIS HILARIS
CAENIS HILARIS GROUP,FALSE,CG,SP,multi,,SpeciesGroup,EPHEMEROPTERA,CAENIDAE-CAENIS HILARIS GROUP,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,EPHEMEROPTERA,FURCATERGALIA,,CAENIDAE,CAENINAE,,CAENIS,,,,,CAENIS HILARIS GROUP,,,,
CAENIS LATIPENNIS,FALSE,CG,SP,multi,,Species,EPHEMEROPTERA,CAENIDAE-CAENIS LATIPENNIS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,EPHEMEROPTERA,FURCATERGALIA,,CAENIDAE,CAENINAE,,CAENIS,LATIPENNIS,,,,CAENIS DIMINUTA GROUP,,,,CAENIS LATIPENNIS
CAENIS MACAFFERTI,FALSE,CG,SP,multi,,Species,EPHEMEROPTERA,CAENIDAE-CAENIS MACAFFERTI,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,EPHEMEROPTERA,FURCATERGALIA,,CAENIDAE,CAENINAE,,CAENIS,MACAFFERTI,,,,CAENIS HILARIS GROUP,,,,CAENIS MACAFFERTI
CAENIS PUNCTATA,FALSE,CG,SP,multi,,Species,EPHEMEROPTERA,CAENIDAE-CAENIS PUNCTATA,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,EPHEMEROPTERA,FURCATERGALIA,,CAENIDAE,CAENINAE,,CAENIS,PUNCTATA,,,,CAENIS DIMINUTA GROUP,,,,CAENIS PUNCTATA
CAENIS TARDATA,FALSE,CG,SP,multi,,Species,EPHEMEROPTERA,CAENIDAE-CAENIS TARDATA,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,EPHEMEROPTERA,FURCATERGALIA,,CAENIDAE,CAENINAE,,CAENIS,TARDATA,,,,CAENIS HILARIS GROUP,,,,CAENIS TARDATA
CAENIS YOUNGI,FALSE,CG,SP,multi,,Species,EPHEMEROPTERA,CAENIDAE-CAENIS YOUNGI,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,EPHEMEROPTERA,FURCATERGALIA,,CAENIDAE,CAENINAE,,CAENIS,YOUNGI,,,,CAENIS DIMINUTA GROUP,,,,CAENIS YOUNGI
CALAMOCERATIDAE,FALSE,SH,SP,,,Family,TRICHOPTERA,CALAMOCERATIDAE,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,TRICHOPTERA,,,CALAMOCERATIDAE,,,,,,,,,,,,
CALANOIDA,FALSE,NA,NA,,,Order,OTHER NON-INSECT,DNI,ANIMALIA,ARTHROPODA,CRUSTACEA,MAXILLOPODA,COPEPODA,CALANOIDA,,,,,,,,,,,,,,,
CALLIBAETIS,FALSE,CG,"SW,CN",multi,,Genus,EPHEMEROPTERA,BAETIDAE-CALLIBAETIS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,EPHEMEROPTERA,PISCIFORMA,,BAETIDAE,,,CALLIBAETIS,,,,,,,,,
CALLIBAETIS FERRUGINEUS,FALSE,CG,"SW,CN",multi,,Species,EPHEMEROPTERA,BAETIDAE-CALLIBAETIS FERRUGINEUS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,EPHEMEROPTERA,PISCIFORMA,,BAETIDAE,,,CALLIBAETIS,FERRUGINEUS,,,,,,,,CALLIBAETIS FERRUGINEUS
CALLIBAETIS FLORIDANUS,FALSE,CG,"SW,CN",multi,,Species,EPHEMEROPTERA,BAETIDAE-CALLIBAETIS FLORIDANUS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,EPHEMEROPTERA,PISCIFORMA,,BAETIDAE,,,CALLIBAETIS,FLORIDANUS,,,,,,,,CALLIBAETIS FLORIDANUS
CALLIBAETIS FLUCTUANS,FALSE,CG,"SW,CN",multi,,Species,EPHEMEROPTERA,BAETIDAE-CALLIBAETIS FLUCTUANS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,EPHEMEROPTERA,PISCIFORMA,,BAETIDAE,,,CALLIBAETIS,FLUCTUANS,,,,,,,,CALLIBAETIS FLUCTUANS
CALLIBAETIS SKOKIANUS,FALSE,CG,"SW,CN",multi,,Species,EPHEMEROPTERA,BAETIDAE-CALLIBAETIS SKOKIANUS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,EPHEMEROPTERA,PISCIFORMA,,BAETIDAE,,,CALLIBAETIS,SKOKIANUS,,,,,,,,CALLIBAETIS SKOKIANUS
CALLICORIXA,FALSE,"PH,PR",SW,,,Genus,HEMIPTERA,CORIXIDAE-CALLICORIXA,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,HEMIPTERA,HETEROPTERA,,CORIXIDAE,CORIXINAE,,CALLICORIXA,,,,,,,,,
CALLICORIXA ALASKENSIS,FALSE,"PH,PR",SW,,,Species,HEMIPTERA,CORIXIDAE-CALLICORIXA ALASKENSIS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,HEMIPTERA,HETEROPTERA,,CORIXIDAE,CORIXINAE,,CALLICORIXA,ALASKENSIS,,,,,,,,CALLICORIXA ALASKENSIS
CALLICORIXA AUDENI,FALSE,"PH,PR",SW,,,Species,HEMIPTERA,CORIXIDAE-CALLICORIXA AUDENI,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,HEMIPTERA,HETEROPTERA,,CORIXIDAE,CORIXINAE,,CALLICORIXA,AUDENI,,,,,,,,CALLICORIXA AUDENI
CALOPARYPHUS,FALSE,CG,SP,multi,,Genus,DIPTERA,STRATIOMYIDAE-CALOPARYPHUS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,BRACHYCERA,,STRATIOMYIDAE,STRATIOMYINAE,OXYCERINI,CALOPARYPHUS,,,,,,,,,
CALOPARYPHUS ATRIVENTRIS,FALSE,CG,SP,multi,,Species,DIPTERA,STRATIOMYIDAE-CALOPARYPHUS ATRIVENTRIS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,BRACHYCERA,,STRATIOMYIDAE,STRATIOMYINAE,OXYCERINI,CALOPARYPHUS,ATRIVENTRIS,,,,,,,,CALOPARYPHUS ATRIVENTRIS
CALOPARYPHUS GREYLOCKENSIS,FALSE,CG,SP,multi,,Species,DIPTERA,STRATIOMYIDAE-CALOPARYPHUS GREYLOCKENSIS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,BRACHYCERA,,STRATIOMYIDAE,STRATIOMYINAE,OXYCERINI,CALOPARYPHUS,GREYLOCKENSIS,,,,,,,,CALOPARYPHUS GREYLOCKENSIS
CALOPARYPHUS TETRASPILUS,FALSE,CG,SP,multi,,Species,DIPTERA,STRATIOMYIDAE-CALOPARYPHUS TETRASPILUS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,BRACHYCERA,,STRATIOMYIDAE,STRATIOMYINAE,OXYCERINI,CALOPARYPHUS,TETRASPILUS,,,,,,,,CALOPARYPHUS TETRASPILUS
CALOPTERYGIDAE,FALSE,PR,"CN,CB",semi,,Family,ODONATA,CALOPTERYGIDAE,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,ODONATA,ZYGOPTERA,,CALOPTERYGIDAE,,,,,,,,,,,,
CALOPTERYX,FALSE,PR,"CN,CB",uni,,Genus,ODONATA,CALOPTERYGIDAE-CALOPTERYX,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,ODONATA,ZYGOPTERA,,CALOPTERYGIDAE,,,CALOPTERYX,,,,,,,,,
CALOPTERYX AEQUABILIS,FALSE,PR,"CN,CB",uni,,Species,ODONATA,CALOPTERYGIDAE-CALOPTERYX AEQUABILIS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,ODONATA,ZYGOPTERA,,CALOPTERYGIDAE,,,CALOPTERYX,AEQUABILIS,,,,,,,,CALOPTERYX AEQUABILIS
CALOPTERYX AMATA,FALSE,PR,"CN,CB",uni,,Species,ODONATA,CALOPTERYGIDAE-CALOPTERYX AMATA,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,ODONATA,ZYGOPTERA,,CALOPTERYGIDAE,,,CALOPTERYX,AMATA,,,,,,,,CALOPTERYX AMATA
CALOPTERYX DIMIDIATA,FALSE,PR,"CN,CB",uni,,Species,ODONATA,CALOPTERYGIDAE-CALOPTERYX DIMIDIATA,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,ODONATA,ZYGOPTERA,,CALOPTERYGIDAE,,,CALOPTERYX,DIMIDIATA,,,,,,,,CALOPTERYX DIMIDIATA
CALOPTERYX MACULATA,FALSE,PR,"CN,CB",uni,,Species,ODONATA,CALOPTERYGIDAE-CALOPTERYX MACULATA,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,ODONATA,ZYGOPTERA,,CALOPTERYGIDAE,,,CALOPTERYX,MACULATA,,,,,,,,CALOPTERYX MACULATA
CAMBARELLUS,FALSE,CG,SP,,,Genus,OTHER NON-INSECT,DECAPODA-CAMBARELLUS,ANIMALIA,ARTHROPODA,CRUSTACEA,MALACOSTRACA,EUMALACOSTRACA,DECAPODA,PLEOCYEMATA,,CAMBARIDAE,CAMBARELLINAE,,CAMBARELLUS,,,,,,,,,
CAMBARELLUS SHUFELDTII,FALSE,CG,SP,,,Species,OTHER NON-INSECT,DECAPODA-CAMBARELLUS SHUFELDTII,ANIMALIA,ARTHROPODA,CRUSTACEA,MALACOSTRACA,EUMALACOSTRACA,DECAPODA,PLEOCYEMATA,,CAMBARIDAE,CAMBARELLINAE,,CAMBARELLUS,SHUFELDTII,,,,,,,,CAMBARELLUS SHUFELDTII
CAMBARIDAE,FALSE,CG,SP,semi,,Family,OTHER NON-INSECT,DECAPODA-CAMBARIDAE,ANIMALIA,ARTHROPODA,CRUSTACEA,MALACOSTRACA,EUMALACOSTRACA,DECAPODA,PLEOCYEMATA,,CAMBARIDAE,,,,,,,,,,,,
CAMBARUNIO IRIS,FALSE,NA,NA,,,Species,BIVALVIA,DNI,ANIMALIA,MOLLUSCA,,BIVALVIA,PALAEOHETERODONTA,UNIONOIDA,,,UNIONIDAE,AMBELEMINAE,LAMPSILINI,CAMBARUNIO,IRIS,,,,,,,,CAMBARUNIO IRIS
CAMBARUS,FALSE,CG,SP,,,Genus,OTHER NON-INSECT,DECAPODA-CAMBARUS,ANIMALIA,ARTHROPODA,CRUSTACEA,MALACOSTRACA,EUMALACOSTRACA,DECAPODA,PLEOCYEMATA,,CAMBARIDAE,CAMBARINAE,,CAMBARUS,,,,,,,,,
CAMBARUS BARTONII,FALSE,CG,SP,,,Species,OTHER NON-INSECT,DECAPODA-CAMBARUS BARTONII,ANIMALIA,ARTHROPODA,CRUSTACEA,MALACOSTRACA,EUMALACOSTRACA,DECAPODA,PLEOCYEMATA,,CAMBARIDAE,CAMBARINAE,,CAMBARUS,BARTONII,,,,,,,,CAMBARUS BARTONII
CAMBARUS CARINIROSTRIS,FALSE,CG,SP,,,Species,OTHER NON-INSECT,DECAPODA-CAMBARUS CARINIROSTRIS,ANIMALIA,ARTHROPODA,CRUSTACEA,MALACOSTRACA,EUMALACOSTRACA,DECAPODA,PLEOCYEMATA,,CAMBARIDAE,CAMBARINAE,,CAMBARUS,CARINIROSTRIS,,,,,,,,CAMBARUS CARINIROSTRIS
CAMBARUS ORTMANNI,FALSE,CG,SP,,,Species,OTHER NON-INSECT,DECAPODA-CAMBARUS ORTMANNI,ANIMALIA,ARTHROPODA,CRUSTACEA,MALACOSTRACA,EUMALACOSTRACA,DECAPODA,PLEOCYEMATA,,CAMBARIDAE,CAMBARINAE,,CAMBARUS,ORTMANNI,,,,,,,,CAMBARUS ORTMANNI
CAMBARUS ROBUSTUS,FALSE,CG,SP,,,Species,OTHER NON-INSECT,DECAPODA-CAMBARUS ROBUSTUS,ANIMALIA,ARTHROPODA,CRUSTACEA,MALACOSTRACA,EUMALACOSTRACA,DECAPODA,PLEOCYEMATA,,CAMBARIDAE,CAMBARINAE,,CAMBARUS,ROBUSTUS,,,,,,,,CAMBARUS ROBUSTUS
CAMBARUS SCIOTENSIS,FALSE,CG,SP,,,Species,OTHER NON-INSECT,DECAPODA-CAMBARUS SCIOTENSIS,ANIMALIA,ARTHROPODA,CRUSTACEA,MALACOSTRACA,EUMALACOSTRACA,DECAPODA,PLEOCYEMATA,,CAMBARIDAE,CAMBARINAE,,CAMBARUS,SCIOTENSIS,,,,,,,,CAMBARUS SCIOTENSIS
CAMBARUS TENEBROSUS,FALSE,CG,SP,,,Species,OTHER NON-INSECT,DECAPODA-CAMBARUS TENEBROSUS,ANIMALIA,ARTHROPODA,CRUSTACEA,MALACOSTRACA,EUMALACOSTRACA,DECAPODA,PLEOCYEMATA,,CAMBARIDAE,CAMBARINAE,,CAMBARUS,TENEBROSUS,,,,,,,,CAMBARUS TENEBROSUS
CAMELOBAETIDIUS,FALSE,CG,"SW,CN",multi,,Genus,EPHEMEROPTERA,BAETIDAE-CAMELOBAETIDIUS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,EPHEMEROPTERA,PISCIFORMA,,BAETIDAE,,,CAMELOBAETIDIUS,,,,,,,,,
CAMPELOMA,FALSE,SC,CB,,,Genus,GASTROPODA,VIVIPARIDAE-CAMPELOMA,ANIMALIA,MOLLUSCA,,GASTROPODA,PROSOBRANCHIA,ARCHITAENIOGLOSSA,,,VIVIPARIDAE,,,CAMPELOMA,,,,,,,,,
CAMPELOMA BREVISPIRUM,FALSE,SC,CB,,,Species,GASTROPODA,VIVIPARIDAE-CAMPELOMA BREVISPIRUM,ANIMALIA,MOLLUSCA,,GASTROPODA,PROSOBRANCHIA,ARCHITAENIOGLOSSA,,,VIVIPARIDAE,,,CAMPELOMA,BREVISPIRUM,,,,,,,,CAMPELOMA BREVISPIRUM
