Taxon_Orig,OTU_TolAnal_v1,OTU_Regional_2025,Monotypic,Notes
Cordulia shurtleffii,CORDULIA SHURTLEFFII,CORDULIA SHURTLEFFII,NEARCTIC,
Cordulia sp.,CORDULIA SHURTLEFFII,CORDULIA SHURTLEFFII,NEARCTIC,
Corduligasteridae,CORDULEGASTER/ZORAENA,CORDULEGASTER/ZORAENA,,
CORDULIIDAE,CORDULIIDAE,CORDULIIDAE,,
Corduliidae or Libellulidae,DNI,ANISOPTERA,,
Corduliidae/Libellulidae,DNI,ANISOPTERA,,
Corduliinae,CORDULIIDAE,CORDULIIDAE,,
Cordullagaster maculata Selys,CORDULEGASTER MACULATA,CORDULEGASTER MACULATA,,
Cordylophora caspia,DNI,HYDRA,,
CORETHRELLA,CORETHRELLA,CORETHRELLA,,
Corisella,CORISELLA,CORISELLA,,
Corisella edulis,CORISELLA EDULIS,CORISELLA,,
Corisella sp,CORISELLA,CORISELLA,,
CORISELLA TARSALIS,CORISELLA TARSALIS,CORISELLA,,
CORIXIDAE,CORIXIDAE,CORIXIDAE,,
Corixidae sp.,CORIXIDAE,CORIXIDAE,,
CORYDALIDAE,CORYDALIDAE,CORYDALIDAE,,
Corydalidae (Dobson flies),CORYDALIDAE,CORYDALIDAE,,
CORYDALUS,CORYDALUS CORNUTUS,CORYDALUS CORNUTUS,NEARCTIC,
Corydalus cornutus,CORYDALUS CORNUTUS,CORYDALUS CORNUTUS,NEARCTIC,
Corydalus sp.,CORYDALUS CORNUTUS,CORYDALUS CORNUTUS,,
CORYNONEURA,CORYNONEURA,CORYNONEURA,,
Corynoneura acuminata,CORYNONEURA ACUMINATA,CORYNONEURA,,Epler- All Nearctic records of Corynoneura species based on larvae must be treated with extreme skepticism
Corynoneura ascensa,CORYNONEURA ASCENSA,CORYNONEURA,,Epler- All Nearctic records of Corynoneura species based on larvae must be treated with extreme skepticism
Corynoneura caudicula,CORYNONEURA CAUDICULA,CORYNONEURA,,Epler- All Nearctic records of Corynoneura species based on larvae must be treated with extreme skepticism
Corynoneura doriceni,CORYNONEURA DORICENI,CORYNONEURA,,Epler- All Nearctic records of Corynoneura species based on larvae must be treated with extreme skepticism
CORYNONEURA FITTKAUI,CORYNONEURA FITTKAUI,CORYNONEURA,,Epler- All Nearctic records of Corynoneura species based on larvae must be treated with extreme skepticism
Corynoneura floridaensis,CORYNONEURA FLORIDAENSIS,CORYNONEURA,,Epler- All Nearctic records of Corynoneura species based on larvae must be treated with extreme skepticism
CORYNONEURA LACUSTRIS,CORYNONEURA LACUSTRIS,CORYNONEURA,,Epler- All Nearctic records of Corynoneura species based on larvae must be treated with extreme skepticism
Corynoneura lobata,CORYNONEURA LOBATA,CORYNONEURA,,Epler- All Nearctic records of Corynoneura species based on larvae must be treated with extreme skepticism
Corynoneura macula,CORYNONEURA MACULA,CORYNONEURA,,Epler- All Nearctic records of Corynoneura species based on larvae must be treated with extreme skepticism
Corynoneura scutellata,CORYNONEURA SCUTELLATA,CORYNONEURA,,Epler- All Nearctic records of Corynoneura species based on larvae must be treated with extreme skepticism
Corynoneura sp,CORYNONEURA,CORYNONEURA,,Epler- All Nearctic records of Corynoneura species based on larvae must be treated with extreme skepticism
Corynoneura sp 10,CORYNONEURA SPECIES 10,CORYNONEURA,,Epler- All Nearctic records of Corynoneura species based on larvae must be treated with extreme skepticism
Corynoneura sp 6,CORYNONEURA SPECIES 6,CORYNONEURA,,Epler- All Nearctic records of Corynoneura species based on larvae must be treated with extreme skepticism
"Corynoneura sp nr. lacustris (sensu Fu & Saether, 2012)",CORYNONEURA LACUSTRIS,CORYNONEURA,,Epler- All Nearctic records of Corynoneura species based on larvae must be treated with extreme skepticism
Corynoneura sp.,CORYNONEURA,CORYNONEURA,,Epler- All Nearctic records of Corynoneura species based on larvae must be treated with extreme skepticism
Corynoneura sp. 12,CORYNONEURA SPECIES 12,CORYNONEURA,,Epler- All Nearctic records of Corynoneura species based on larvae must be treated with extreme skepticism
CORYNONEURA SPECIES 10,CORYNONEURA SPECIES 10,CORYNONEURA,,Epler- All Nearctic records of Corynoneura species based on larvae must be treated with extreme skepticism
CORYNONEURA SPECIES 12,CORYNONEURA SPECIES 12,CORYNONEURA,,Epler- All Nearctic records of Corynoneura species based on larvae must be treated with extreme skepticism
CORYNONEURA SPECIES 6,CORYNONEURA SPECIES 6,CORYNONEURA,,Epler- All Nearctic records of Corynoneura species based on larvae must be treated with extreme skepticism
Corynoneura taris,CORYNONEURA LOBATA,CORYNONEURA,,Epler- All Nearctic records of Corynoneura species based on larvae must be treated with extreme skepticism
CORYNONEURA/THIENEMANNIELLA,ORTHOCLADIINAE,ORTHOCLADIINAE,,
Cosmopterix,DNI,DNI,,terrestrial
Cossidae,DNI,DNI,,terrestrial
CRAMBIDAE,DNI,LEPIDOPTERA,,
CRAMBUS,DNI,LEPIDOPTERA,,
Crambus sp,DNI,LEPIDOPTERA,,
CRANGONYCTIDAE,CRANGONYCTIDAE,CRANGONYCTIDAE,,
CRANGONYX,CRANGONYX,CRANGONYX,,
CRANGONYX GRACILIS COMPLEX,CRANGONYX GRACILIS COMPLEX,CRANGONYX,,numerous undesribed spp.
Crangonyx pseudogracilis,CRANGONYX PSEUDOGRACILIS,CRANGONYX,,numerous undesribed spp.
CRANGONYX PSEUDOGRACILIS COMPLEX,CRANGONYX PSEUDOGRACILIS COMPLEX,CRANGONYX,,numerous undesribed spp.
Crangonyx richmondensis,CRANGONYX RICHMONDENSIS COMPLEX,CRANGONYX,,numerous undesribed spp.
CRANGONYX RICHMONDENSIS COMPLEX,CRANGONYX RICHMONDENSIS COMPLEX,CRANGONYX,,numerous undesribed spp.
Crangonyx serratus,CRANGONYX SERRATUS,CRANGONYX,,numerous undesribed spp.
Crangonyx setodactylus,CRANGONYX SETODACTYLUS,CRANGONYX,,numerous undesribed spp.
Crangonyx sp,CRANGONYX,CRANGONYX,,
Crangonyx sp.,CRANGONYX,CRANGONYX,,
CRASPEDACUSTA,DNI,CRASPEDACUSTA SOWERBYI,,NON-NATIVE freshwater Jellyfish
Craspedacusta sowerbii,DNI,CRASPEDACUSTA SOWERBYI,,NON-NATIVE freshwater Jellyfish
CRASPEDACUSTA SOWERBYI,DNI,CRASPEDACUSTA SOWERBYI,,NON-NATIVE freshwater Jellyfish
Crenitis,CRENITIS,CRENITIS,,
CRENITIS DIGESTA,CRENITIS DIGESTA,CRENITIS,,
CRENITIS LONGULA,CRENITIS LONGULA,CRENITIS,,
Crenitis sp,CRENITIS,CRENITIS,,
CRICOTOPUS,CRICOTOPUS,CRICOTOPUS,,
Cricotopus (C.) bicinctus,CRICOTOPUS BICINCTUS GROUP,CRICOTOPUS BICINCTUS GROUP,,
Cricotopus (C.) luciae,CRICOTOPUS LUCIAE,CRICOTOPUS TREMULUS GROUP,,
Cricotopus (C.) or Orthocladius (O.) sp,CRICOTOPUS/ORTHOCLADIUS,CRICOTOPUS/ORTHOCLADIUS,,
Cricotopus (C.) or Paratrichocladius sp,ORTHOCLADIINAE,ORTHOCLADIINAE,,
Cricotopus (C.) politus,CRICOTOPUS POLITUS,CRICOTOPUS POLITUS,,
Cricotopus (C.) sp,CRICOTOPUS,CRICOTOPUS,,
Cricotopus (C.) tremulus group,CRICOTOPUS TREMULUS GROUP,CRICOTOPUS TREMULUS GROUP,,
Cricotopus (C.) trifascia,CRICOTOPUS TRIFASCIA GROUP,CRICOTOPUS TRIFASCIA GROUP,,
Cricotopus (C.) vierriensis,CRICOTOPUS VIERRIENSIS,CRICOTOPUS (CRICOTOPUS),,
Cricotopus (Cricotopus),CRICOTOPUS (CRICOTOPUS),CRICOTOPUS (CRICOTOPUS),,
CRICOTOPUS (CRICOTOPUS) ANNULATOR,CRICOTOPUS ANNULATOR COMPLEX,CRICOTOPUS ANNULATOR COMPLEX,,
"Cricotopus (Cricotopus) annulator ""complex""",CRICOTOPUS ANNULATOR COMPLEX,CRICOTOPUS ANNULATOR COMPLEX,,
"CRICOTOPUS (CRICOTOPUS) ANNULATOR ""COMPLEX"" EPLER 2001",CRICOTOPUS ANNULATOR COMPLEX,CRICOTOPUS ANNULATOR COMPLEX,,
Cricotopus (Cricotopus) bicinctus,CRICOTOPUS BICINCTUS GROUP,CRICOTOPUS BICINCTUS GROUP,,
Cricotopus (Cricotopus) bicinctus group,CRICOTOPUS BICINCTUS GROUP,CRICOTOPUS BICINCTUS GROUP,,
CRICOTOPUS (CRICOTOPUS) BICINCTUS GROUP CRANSTON ET AL. 1983,CRICOTOPUS BICINCTUS GROUP,CRICOTOPUS BICINCTUS GROUP,,
CRICOTOPUS (CRICOTOPUS) CF. PATENS EPLER 2001,CRICOTOPUS (CRICOTOPUS),CRICOTOPUS (CRICOTOPUS),,
CRICOTOPUS (CRICOTOPUS) CYLINDRACEUS GROUP CRANSTON ET AL. 1983,CRICOTOPUS CYLINDRACEUS,CRICOTOPUS (CRICOTOPUS),,
Cricotopus (Cricotopus) elegans,CRICOTOPUS ELEGANS,CRICOTOPUS (ISOCLADIUS),,
Cricotopus (Cricotopus) festivellus group,CRICOTOPUS FESTIVELLUS GROUP,CRICOTOPUS FESTIVELLUS GROUP,,
CRICOTOPUS (CRICOTOPUS) FESTIVELLUS GROUP CRANSTON ET AL. 1983,CRICOTOPUS FESTIVELLUS GROUP,CRICOTOPUS FESTIVELLUS GROUP,,
CRICOTOPUS (CRICOTOPUS) FUGAX,CRICOTOPUS FUGAX,CRICOTOPUS (CRICOTOPUS),,
CRICOTOPUS (CRICOTOPUS) FUSCUS,CRICOTOPUS FUSCUS,CRICOTOPUS (CRICOTOPUS),,
CRICOTOPUS (CRICOTOPUS) FUSCUS GROUP CRANSTON ET AL. 1983,CRICOTOPUS FUSCUS,CRICOTOPUS (CRICOTOPUS),,
CRICOTOPUS (CRICOTOPUS) INFUSCATUS,CRICOTOPUS INFUSCATUS,CRICOTOPUS TREMULUS GROUP,,
CRICOTOPUS (CRICOTOPUS) INFUSCATUS/TRIANNULATUS EPLER 2001,CRICOTOPUS (CRICOTOPUS),CRICOTOPUS (CRICOTOPUS),,
CRICOTOPUS (CRICOTOPUS) LUCIAE,CRICOTOPUS LUCIAE,CRICOTOPUS TREMULUS GROUP,,
CRICOTOPUS (CRICOTOPUS) POLITUS,CRICOTOPUS POLITUS,CRICOTOPUS POLITUS,,
CRICOTOPUS (CRICOTOPUS) TIBIALIS,CRICOTOPUS TIBIALIS,CRICOTOPUS (CRICOTOPUS),,
CRICOTOPUS (CRICOTOPUS) TIBIALIS GROUP CRANSTON ET AL. 1983,CRICOTOPUS TIBIALIS,CRICOTOPUS (CRICOTOPUS),,
CRICOTOPUS (CRICOTOPUS) TREMULUS,CRICOTOPUS TREMULUS,CRICOTOPUS TREMULUS GROUP,,
Cricotopus (Cricotopus) tremulus group,CRICOTOPUS TREMULUS GROUP,CRICOTOPUS TREMULUS GROUP,,
CRICOTOPUS (CRICOTOPUS) TREMULUS GROUP CRANSTON ET AL. 1983,CRICOTOPUS TREMULUS GROUP,CRICOTOPUS TREMULUS GROUP,,
Cricotopus (Cricotopus) tremulus grp,CRICOTOPUS TREMULUS GROUP,CRICOTOPUS TREMULUS GROUP,,
CRICOTOPUS (CRICOTOPUS) TRIANNULATUS,CRICOTOPUS TRIANNULATUS,CRICOTOPUS TREMULUS GROUP,,
Cricotopus (Cricotopus) trifascia,CRICOTOPUS TRIFASCIA GROUP,CRICOTOPUS TRIFASCIA GROUP,,
Cricotopus (Cricotopus) trifascia group,CRICOTOPUS TRIFASCIA GROUP,CRICOTOPUS TRIFASCIA GROUP,,
CRICOTOPUS (CRICOTOPUS) TRIFASCIA GROUP CRANSTON ET AL. 1983,CRICOTOPUS TRIFASCIA GROUP,CRICOTOPUS TRIFASCIA GROUP,,
CRICOTOPUS (CRICOTOPUS) VARIPES,CRICOTOPUS VARIPES,CRICOTOPUS ANNULATOR COMPLEX,,
CRICOTOPUS (CRICOTOPUS) VIERRIENSIS,CRICOTOPUS VIERRIENSIS,CRICOTOPUS (CRICOTOPUS),,
Cricotopus (Isocladius),CRICOTOPUS (ISOCLADIUS),CRICOTOPUS (ISOCLADIUS),,
Cricotopus (Isocladius) absurdus,CRICOTOPUS ABSURDUS,CRICOTOPUS (ISOCLADIUS),,
CRICOTOPUS (ISOCLADIUS) BREVIPALPIS GROUP CRANSTON ET AL. 1983,CRICOTOPUS BREVIPALPIS GROUP,CRICOTOPUS BREVIPALPIS GROUP,,
CRICOTOPUS (ISOCLADIUS) ELEGANS,CRICOTOPUS ELEGANS,CRICOTOPUS (ISOCLADIUS),,
CRICOTOPUS (ISOCLADIUS) INTERSECTUS,CRICOTOPUS INTERSECTUS,CRICOTOPUS (ISOCLADIUS),,
Cricotopus (Isocladius) intersectus group,CRICOTOPUS INTERSECTUS,CRICOTOPUS (ISOCLADIUS),,
CRICOTOPUS (ISOCLADIUS) INTERSECTUS GROUP CRANSTON ET AL. 1983,CRICOTOPUS INTERSECTUS,CRICOTOPUS (ISOCLADIUS),,
CRICOTOPUS (ISOCLADIUS) LARICOMALIS GROUP CRANSTON ET AL. 1983,CRICOTOPUS LARICOMALIS GROUP,CRICOTOPUS (ISOCLADIUS),,unable to find a reference
CRICOTOPUS (ISOCLADIUS) LEBETIS,CRICOTOPUS LEBETIS,CRICOTOPUS (ISOCLADIUS),,
CRICOTOPUS (ISOCLADIUS) OBNIXUS GROUP CRANSTON ET AL. 1983,CRICOTOPUS OBNIXUS GROUP,CRICOTOPUS OBNIXUS GROUP,,
Cricotopus (Isocladius) reversus group,CRICOTOPUS REVERSUS GROUP,CRICOTOPUS (ISOCLADIUS),,
CRICOTOPUS (ISOCLADIUS) REVERSUS GROUP CRANSTON ET AL. 1983,CRICOTOPUS REVERSUS GROUP,CRICOTOPUS (ISOCLADIUS),,
Cricotopus (Isocladius) sp,CRICOTOPUS (ISOCLADIUS),CRICOTOPUS (ISOCLADIUS),,
"Cricotopus (Isocladius) sp ""Ozarks"" (sensu Epler, 2001)",CRICOTOPUS OZARKS (EPLER 2001),CRICOTOPUS OZARKS (EPLER 2001),,
Cricotopus (Isocladius) sp nr. absurdus,CRICOTOPUS (ISOCLADIUS),CRICOTOPUS (ISOCLADIUS),,
"Cricotopus (Isocladius) sp. ""Ozarks""",CRICOTOPUS OZARKS (EPLER 2001),CRICOTOPUS OZARKS (EPLER 2001),,
"CRICOTOPUS (ISOCLADIUS) SPECIES ""OZARKS"" EPLER 2001",CRICOTOPUS OZARKS (EPLER 2001),CRICOTOPUS OZARKS (EPLER 2001),,
"CRICOTOPUS (ISOCLADIUS) SPECIES ""SANTA FE"" EPLER 2001",CRICOTOPUS SANTA FE (EPLER 2001),CRICOTOPUS (ISOCLADIUS),,
CRICOTOPUS (ISOCLADIUS) SYLVESTRIS,CRICOTOPUS SYLVESTRIS GROUP,CRICOTOPUS SYLVESTRIS GROUP,,
Cricotopus (Isocladius) sylvestris group,CRICOTOPUS SYLVESTRIS GROUP,CRICOTOPUS SYLVESTRIS GROUP,,
CRICOTOPUS (ISOCLADIUS) SYLVESTRIS GROUP CRANSTON ET AL. 1983,CRICOTOPUS SYLVESTRIS GROUP,CRICOTOPUS SYLVESTRIS GROUP,,
CRICOTOPUS (ISOCLADIUS) TRICINCTUS,CRICOTOPUS TRICINCTUS,CRICOTOPUS (ISOCLADIUS),,
CRICOTOPUS (ISOCLADIUS) TRIFASCIATUS,CRICOTOPUS TRIFASCIATUS,CRICOTOPUS (ISOCLADIUS),,
CRICOTOPUS (NOSTOCOCLADIUS),CRICOTOPUS NOSTOCICOLA,CRICOTOPUS NOSTOCICOLA,,
CRICOTOPUS (NOSTOCOCLADIUS) NOSTOCICOLA,CRICOTOPUS NOSTOCICOLA,CRICOTOPUS NOSTOCICOLA,,
Cricotopus / Orthocladius,CRICOTOPUS/ORTHOCLADIUS,CRICOTOPUS/ORTHOCLADIUS,,
Cricotopus / Orthocladius complex,CRICOTOPUS/ORTHOCLADIUS,CRICOTOPUS/ORTHOCLADIUS,,
Cricotopus absurdus,CRICOTOPUS ABSURDUS,CRICOTOPUS (ISOCLADIUS),,
Cricotopus annulator,CRICOTOPUS ANNULATOR COMPLEX,CRICOTOPUS ANNULATOR COMPLEX,,
Cricotopus annulator complex,CRICOTOPUS ANNULATOR COMPLEX,CRICOTOPUS ANNULATOR COMPLEX,,
Cricotopus bicinctus,CRICOTOPUS BICINCTUS GROUP,CRICOTOPUS BICINCTUS GROUP,,
Cricotopus bicinctus Gr.,CRICOTOPUS BICINCTUS GROUP,CRICOTOPUS BICINCTUS GROUP,,
Cricotopus bicinctus group,CRICOTOPUS BICINCTUS GROUP,CRICOTOPUS BICINCTUS GROUP,,
CRICOTOPUS BREVIPALPIS GROUP,CRICOTOPUS BREVIPALPIS GROUP,CRICOTOPUS BREVIPALPIS GROUP,,
Cricotopus ceris,CRICOTOPUS INFUSCATUS,CRICOTOPUS TREMULUS GROUP,,
Cricotopus curtus,CRICOTOPUS CURTUS,CRICOTOPUS (CRICOTOPUS),,
Cricotopus cylindraceus,CRICOTOPUS CYLINDRACEUS,CRICOTOPUS (CRICOTOPUS),,
CRICOTOPUS CYLINDRACEUS GROUP,CRICOTOPUS CYLINDRACEUS,CRICOTOPUS (CRICOTOPUS),,
Cricotopus festivellus,CRICOTOPUS FESTIVELLUS GROUP,CRICOTOPUS FESTIVELLUS GROUP,,
CRICOTOPUS FESTIVELLUS GROUP,CRICOTOPUS FESTIVELLUS GROUP,CRICOTOPUS FESTIVELLUS GROUP,,
Cricotopus flavocinctus,CRICOTOPUS FLAVOCINCTUS,CRICOTOPUS (CRICOTOPUS),,
Cricotopus fugax,CRICOTOPUS FUGAX,CRICOTOPUS (CRICOTOPUS),,
Cricotopus fuscus,CRICOTOPUS FUSCUS,CRICOTOPUS (CRICOTOPUS),,
Cricotopus infuscatus,CRICOTOPUS INFUSCATUS,CRICOTOPUS TREMULUS GROUP,,
Cricotopus intersectus,CRICOTOPUS INTERSECTUS,CRICOTOPUS (ISOCLADIUS),,
Cricotopus intersectus group,CRICOTOPUS INTERSECTUS,CRICOTOPUS (ISOCLADIUS),,
Cricotopus junus,CRICOTOPUS JUNUS,CRICOTOPUS (CRICOTOPUS),,
CRICOTOPUS LARICOMALIS GROUP,CRICOTOPUS LARICOMALIS GROUP,CRICOTOPUS (ISOCLADIUS),,unable to find a reference
Cricotopus luciae,CRICOTOPUS LUCIAE,CRICOTOPUS TREMULUS GROUP,,
Cricotopus nostocicola,CRICOTOPUS NOSTOCICOLA,CRICOTOPUS NOSTOCICOLA,,
CRICOTOPUS OBNIXUS GROUP,CRICOTOPUS OBNIXUS GROUP,CRICOTOPUS OBNIXUS GROUP,,
CRICOTOPUS OZARKS,CRICOTOPUS OZARKS (EPLER 2001),CRICOTOPUS OZARKS (EPLER 2001),,
Cricotopus patens,CRICOTOPUS PATENS,CRICOTOPUS PATENS,,
Cricotopus politus,CRICOTOPUS POLITUS,CRICOTOPUS POLITUS,,
CRICOTOPUS REVERSUS GROUP,CRICOTOPUS REVERSUS GROUP,CRICOTOPUS REVERSUS GROUP,,
Cricotopus slossonae,CRICOTOPUS SLOSSONAE,CRICOTOPUS ANNULATOR COMPLEX,,
Cricotopus sp,CRICOTOPUS,CRICOTOPUS,,
Cricotopus sp.,CRICOTOPUS,CRICOTOPUS,,
Cricotopus Sylvesteris,CRICOTOPUS SYLVESTRIS GROUP,CRICOTOPUS SYLVESTRIS GROUP,,
Cricotopus sylvestris,CRICOTOPUS SYLVESTRIS GROUP,CRICOTOPUS SYLVESTRIS GROUP,,
Cricotopus Sylvestris Gr.,CRICOTOPUS SYLVESTRIS GROUP,CRICOTOPUS SYLVESTRIS GROUP,,
Cricotopus Sylvestris group,CRICOTOPUS SYLVESTRIS GROUP,CRICOTOPUS SYLVESTRIS GROUP,,
Cricotopus sylvestris grp,CRICOTOPUS SYLVESTRIS GROUP,CRICOTOPUS SYLVESTRIS GROUP,,
Cricotopus tibialis,CRICOTOPUS TIBIALIS,CRICOTOPUS (CRICOTOPUS),,
Cricotopus tremulus,CRICOTOPUS TREMULUS,CRICOTOPUS TREMULUS GROUP,,
Cricotopus tremulus group,CRICOTOPUS TREMULUS GROUP,CRICOTOPUS TREMULUS GROUP,,
Cricotopus triannulatus,CRICOTOPUS TRIANNULATUS,CRICOTOPUS TREMULUS GROUP,,
Cricotopus triannulatus/infuscatus,CRICOTOPUS TREMULUS GROUP,CRICOTOPUS TREMULUS GROUP,,
Cricotopus tricinctus,CRICOTOPUS TRICINCTUS,CRICOTOPUS (ISOCLADIUS),,
Cricotopus trifascia,CRICOTOPUS TRIFASCIA GROUP,CRICOTOPUS TRIFASCIA GROUP,,
Cricotopus trifascia gr.,CRICOTOPUS TRIFASCIA GROUP,CRICOTOPUS TRIFASCIA GROUP,,
Cricotopus trifascia group,CRICOTOPUS TRIFASCIA GROUP,CRICOTOPUS TRIFASCIA GROUP,,
Cricotopus trifasciatus,CRICOTOPUS TRIFASCIATUS,CRICOTOPUS (ISOCLADIUS),,
Cricotopus vierriensis,CRICOTOPUS VIERRIENSIS,CRICOTOPUS (CRICOTOPUS),,
Cricotopus/ Ortho/ Para,CRICOTOPUS/ORTHOCLADIUS,CRICOTOPUS/ORTHOCLADIUS,,
CRICOTOPUS/ORTHOCLADIUS,CRICOTOPUS/ORTHOCLADIUS,CRICOTOPUS/ORTHOCLADIUS,,
CRICOTOPUS/ORTHOCLADIUS FERRINGTON ET AL. 2008,CRICOTOPUS/ORTHOCLADIUS,CRICOTOPUS/ORTHOCLADIUS,,
Cricotopus/Orthocladius sp.,CRICOTOPUS/ORTHOCLADIUS,CRICOTOPUS/ORTHOCLADIUS,,
Crictopus curtus,CRICOTOPUS CURTUS,CRICOTOPUS (CRICOTOPUS),,
Crustacea,DNI,CRUSTACEA,,
CRYPTOCHIRONOMUS,CRYPTOCHIRONOMUS,CRYPTOCHIRONOMUS,,
Cryptochironomus argus,CRYPTOCHIRONOMUS ARGUS,CRYPTOCHIRONOMUS,,Epler- It is not possible to identify Cryptochironomus larvae to species without an associated pupa or adult male; thus any records based solely on larvae must be regarded with skepticism.
CRYPTOCHIRONOMUS BLARINA,CRYPTOCHIRONOMUS BLARINA,CRYPTOCHIRONOMUS,,Epler- It is not possible to identify Cryptochironomus larvae to species without an associated pupa or adult male; thus any records based solely on larvae must be regarded with skepticism.
Cryptochironomus digitatus,CRYPTOCHIRONOMUS DIGITATUS,CRYPTOCHIRONOMUS,,Epler- It is not possible to identify Cryptochironomus larvae to species without an associated pupa or adult male; thus any records based solely on larvae must be regarded with skepticism.
Cryptochironomus eminentia,CRYPTOCHIRONOMUS EMINENTIA,CRYPTOCHIRONOMUS,,Epler- It is not possible to identify Cryptochironomus larvae to species without an associated pupa or adult male; thus any records based solely on larvae must be regarded with skepticism.
Cryptochironomus fulvus,CRYPTOCHIRONOMUS FULVUS COMPLEX,CRYPTOCHIRONOMUS,,Epler- It is not possible to identify Cryptochironomus larvae to species without an associated pupa or adult male; thus any records based solely on larvae must be regarded with skepticism.
CRYPTOCHIRONOMUS FULVUS COMPLEX,CRYPTOCHIRONOMUS FULVUS COMPLEX,CRYPTOCHIRONOMUS,,Epler- It is not possible to identify Cryptochironomus larvae to species without an associated pupa or adult male; thus any records based solely on larvae must be regarded with skepticism.
CRYPTOCHIRONOMUS FULVUS COMPLEX MASON 1985B,CRYPTOCHIRONOMUS FULVUS COMPLEX,CRYPTOCHIRONOMUS,,Epler- It is not possible to identify Cryptochironomus larvae to species without an associated pupa or adult male; thus any records based solely on larvae must be regarded with skepticism.
CRYPTOCHIRONOMUS PARAFULVUS,CRYPTOCHIRONOMUS PARAFULVUS,CRYPTOCHIRONOMUS,,Epler- It is not possible to identify Cryptochironomus larvae to species without an associated pupa or adult male; thus any records based solely on larvae must be regarded with skepticism.
Cryptochironomus ponderosus,CRYPTOCHIRONOMUS PONDEROSUS,CRYPTOCHIRONOMUS,,Epler- It is not possible to identify Cryptochironomus larvae to species without an associated pupa or adult male; thus any records based solely on larvae must be regarded with skepticism.
Cryptochironomus psittacinus,CRYPTOCHIRONOMUS PSITTACINUS,CRYPTOCHIRONOMUS,,Epler- It is not possible to identify Cryptochironomus larvae to species without an associated pupa or adult male; thus any records based solely on larvae must be regarded with skepticism.
Cryptochironomus sorex,CRYPTOCHIRONOMUS SOREX,CRYPTOCHIRONOMUS,,Epler- It is not possible to identify Cryptochironomus larvae to species without an associated pupa or adult male; thus any records based solely on larvae must be regarded with skepticism.
Cryptochironomus sp,CRYPTOCHIRONOMUS,CRYPTOCHIRONOMUS,,
Cryptochironomus sp.,CRYPTOCHIRONOMUS,CRYPTOCHIRONOMUS,,
CRYPTOLABIS,CRYPTOLABIS,CRYPTOLABIS,,
Cryptolabis paradoxa,CRYPTOLABIS,CRYPTOLABIS,,
Cryptolabis sp.,CRYPTOLABIS,CRYPTOLABIS,,
CRYPTOTENDIPES,CRYPTOTENDIPES,CRYPTOTENDIPES,,
CRYPTOTENDIPES ARIEL,CRYPTOTENDIPES ARIEL,CRYPTOTENDIPES,,
CRYPTOTENDIPES CASUARIUS,CRYPTOTENDIPES CASUARIUS,CRYPTOTENDIPES,,
CRYPTOTENDIPES DARBYI,CRYPTOTENDIPES DARBYI,CRYPTOTENDIPES,,
CRYPTOTENDIPES EMORSUS,CRYPTOTENDIPES EMORSUS,CRYPTOTENDIPES,,
CRYPTOTENDIPES PILICUSPIS,CRYPTOTENDIPES PILICUSPIS,CRYPTOTENDIPES,,
Cryptotendipes pseudotener,CRYPTOTENDIPES PSEUDOTENER,CRYPTOTENDIPES,,
Cryptotendipes sp,CRYPTOTENDIPES,CRYPTOTENDIPES,,
Cryptotendipes sp 1,CRYPTOTENDIPES SPECIES 1,CRYPTOTENDIPES,,
Cryptotendipes sp 2,CRYPTOTENDIPES SPECIES 2,CRYPTOTENDIPES,,
Cryptotendipes sp.,CRYPTOTENDIPES,CRYPTOTENDIPES,,
Cryptotendipes/Cladopelma,CHIRONOMINAE,CHIRONOMINAE,,
Cuculionidae,DNI,DNI,,
Culaea inconstans,DNI,DNI,,
Culaea inconstans (Kirtland),DNI,DNI,,
Culeaea inconstans,DNI,DNI,,
CULEX,CULEX,CULEX,,
CULEX ERRATICUS,CULEX ERRATICUS,CULEX,,
Culex pipiens,CULEX PIPIENS,CULEX,,
Culex pipiens pipiens,CULEX PIPIENS,CULEX,,
CULEX RESTUANS,CULEX RESTUANS,CULEX,,
CULEX SALINARIUS,CULEX SALINARIUS,CULEX,,
Culex sp,CULEX,CULEX,,
CULEX TARSALIS,CULEX TARSALIS,CULEX,,
CULEX TERRITANS,CULEX TERRITANS,CULEX,,
CULICIDAE,CULICIDAE,CULICIDAE,,
Culicidae sp. larva,CULICIDAE,CULICIDAE,,
CULICOIDES,CERATOPOGONINAE,CERATOPOGONINAE,,Larvae cannot be keyed to genus over 40 genera in NA
CULICOIDES ALEXANDERI,CERATOPOGONINAE,CERATOPOGONINAE,,Larvae cannot be keyed to genus over 40 genera in NA
CULICOIDES ARBORICOLA,CERATOPOGONINAE,CERATOPOGONINAE,,Larvae cannot be keyed to genus over 40 genera in NA
CULICOIDES BAUERI,CERATOPOGONINAE,CERATOPOGONINAE,,Larvae cannot be keyed to genus over 40 genera in NA
CULICOIDES BICKLEYI,CERATOPOGONINAE,CERATOPOGONINAE,,Larvae cannot be keyed to genus over 40 genera in NA
CULICOIDES BIGUTTATUS,CERATOPOGONINAE,CERATOPOGONINAE,,Larvae cannot be keyed to genus over 40 genera in NA
CULICOIDES CREPUSCULARIS,CERATOPOGONINAE,CERATOPOGONINAE,,Larvae cannot be keyed to genus over 40 genera in NA
