Taxon_orig,OTU_BCG_v1,Modified_BCG_v1,Rationale_modifyBCG,OTU_FinerRezWorms,Taxon_group
Cricotopus (Nostoc.) nostocicola,Cricotopus (Nostococladius),yes,FORMATTING,Cricotopus (Nostococladius),Chironomidae
Dubiraphia,Dubiraphia,no,,Dubiraphia,Coleoptera
"Cricotopus (sub-genus, Nostococladius)",Cricotopus (Nostococladius),yes,FORMATTING,Cricotopus (Nostococladius),Chironomidae
Dytiscidae,Dytiscidae,no,,Dytiscidae,Coleoptera
Ecclisocosmoecus scylla,Ecclisocosmoecus scylla,no,monotypic,Ecclisocosmoecus scylla,Trichoptera
Ecclisomyia,Ecclisomyia,no,,Ecclisomyia,Trichoptera
Cricotopus nostocicola,Cricotopus (Nostococladius),yes,FORMATTING,Cricotopus (Nostococladius),Chironomidae
Cricotopus Bicinctus Gr.,Cricotopus Bicinctus Group,yes,FORMATTING,Cricotopus Bicinctus Group,Chironomidae
Ecdyonurus,Ecdyonurus,no,,Ecdyonurus,Ephemeroptera
Ecdyonurus criddlei,Ecdyonurus criddlei,no,,Ecdyonurus criddlei,Ephemeroptera
Cricotopus bicinctus group,Cricotopus Bicinctus Group,yes,FORMATTING,Cricotopus Bicinctus Group,Chironomidae
Cricotopus bicotopus group,Cricotopus Bicinctus Group,yes,misspelled,Cricotopus Bicinctus Group,Chironomidae
Elmidae,Elmidae,no,,Elmidae,Coleoptera
Eloeophila,Eloeophila,no,,Eloeophila,Diptera
Empididae,Empididae,no,,Empididae,Diptera
Cricotopus trifacia group,Cricotopus Trifascia Group,yes,FORMATTING,Cricotopus Trifascia Group,Chironomidae
Endochironomus,Endochironomus,no,,Endochironomus,Chironomidae
Cricotopus Trifascia Gr.,Cricotopus Trifascia Group,yes,FORMATTING,Cricotopus Trifascia Group,Chironomidae
Cricotopus trifascia group,Cricotopus Trifascia Group,yes,FORMATTING,Cricotopus Trifascia Group,Chironomidae
Eocosmoecus,Eocosmoecus,no,,Eocosmoecus,Trichoptera
Epeorus,Epeorus,no,,Epeorus,Ephemeroptera
Orthocladius complex,Cricotopus/Orthocladius,yes,Slashed taxon,Cricotopus/Orthocladius,Chironomidae
Epeorus Albertae Group,Epeorus Albertae Group,no,,Epeorus Albertae Group,Ephemeroptera
Epeorus deceptivus,Epeorus deceptivus,no,,Epeorus deceptivus,Ephemeroptera
Orthocladius Complex,Cricotopus/Orthocladius,yes,Slashed taxon,Cricotopus/Orthocladius,Chironomidae
Cryptochia sp.,Cryptochia,yes,sp.,Cryptochia,Trichoptera
Epeorus Grandis Group,Epeorus Grandis Group,no,,Epeorus Grandis Group,Ephemeroptera
Cryptochironomus sp.,Cryptochironomus,yes,sp.,Cryptochironomus,Chironomidae
Epeorus longimanus,Epeorus longimanus,no,,Epeorus longimanus,Ephemeroptera
Cryptolabis sp.,Cryptolabis,yes,sp.,Cryptolabis,Diptera
Ephemera,Ephemera,no,,Ephemera,Ephemeroptera
Cryptotendipes sp.,Cryptotendipes,yes,sp.,Cryptotendipes,Chironomidae
Culoptila,Culoptila/Protoptila,yes,Slashed taxon,Culoptila/Protoptila,Trichoptera
Ephemerella,Ephemerella,no,,Ephemerella,Ephemeroptera
Ephemerella aurivillii,Ephemerella aurivillii,no,,Ephemerella aurivillii,Ephemeroptera
Culoptila (tortoise case maker),Culoptila/Protoptila,yes,Slashed taxon,Culoptila/Protoptila,Trichoptera
Culoptila sp.,Culoptila/Protoptila,yes,Slashed taxon,Culoptila/Protoptila,Trichoptera
Protoptila,Culoptila/Protoptila,yes,Slashed taxon,Culoptila/Protoptila,Trichoptera
Protoptila sp.,Culoptila/Protoptila,yes,Slashed taxon,Culoptila/Protoptila,Trichoptera
Cultus sp.,Cultus,yes,sp.,Cultus,Plecoptera
Ephemerella tibialis,Ephemerella tibialis,no,,Ephemerella tibialis,Ephemeroptera
Ephemerellidae,Ephemerellidae,no,,Ephemerellidae,Ephemeroptera
Ephemeridae,Ephemeridae,no,,Ephemeridae,Ephemeroptera
Ephemeroptera,Ephemeroptera,no,,Ephemeroptera,Ephemeroptera
Ephoron,Ephoron,no,,Ephoron,Ephemeroptera
Piscicola salmositica,Cystobranchus,yes,nomenclature,Cystobranchus,Leeches
DANNELLA,Dannella,yes,CAPs,Dannella,Ephemeroptera
Ephydridae,Ephydridae,no,,Ephydridae,Diptera
Epiphragma,Epiphragma,no,,Epiphragma,Diptera
Erioptera,Erioptera,no,,Erioptera,Diptera
Dasyhelea sp.,Dasyhelea,yes,sp.,Dasyhelea,Diptera
Erpobdella,Erpobdella,no,,Erpobdella,Leeches
Demicryptochironomus sp.,Demicryptochironomus,yes,sp.,Demicryptochironomus,Chironomidae
Derotanypus sp.,Derotanypus,yes,sp.,Derotanypus,Chironomidae
Despaxia,Despaxia augusta,yes,monotypic,Despaxia augusta,Plecoptera
Deuterophlebia sp.,Deuterophlebia,yes,sp.,Deuterophlebia,Diptera
Eubrianax edwardsii,Eubrianax edwardsii,no,,Eubrianax edwardsii,Coleoptera
Diamesa sp.,Diamesa,yes,sp.,Diamesa,Chironomidae
Diamesinae-early instar,Diamesinae,yes,naming scheme,Diamesinae,Chironomidae
Eucorethra underwoodi,Eucorethra underwoodi,no,,Eucorethra underwoodi,Diptera
Eukiefferiella,Eukiefferiella,no,,Eukiefferiella,Chironomidae
Dicosmoecus sp.,Dicosmoecus,yes,sp.,Dicosmoecus,Trichoptera
Limonia,Dicranomyia,yes,nomenclature,Dicranomyia,Diptera
Limonia sp.,Dicranomyia,yes,nomenclature,Dicranomyia,Diptera
Dicranota sp.,Dicranota,yes,sp.,Dicranota,Diptera
Dicrotendipes sp.,Dicrotendipes,yes,sp.,Dicrotendipes,Chironomidae
Diphetor,Diphetor hageni,yes,monotypic,Diphetor hageni,Ephemeroptera
Diplocladius sp.,Diplocladius,yes,sp.,Diplocladius,Chironomidae
Brachycera,Diptera,yes,collapsed to Order,Diptera,Diptera
Diura sp.,Diura,yes,sp.,Diura,Plecoptera
Eukiefferiella Cyanea Group,Eukiefferiella Cyanea Group,no,,Eukiefferiella Cyanea Group,Chironomidae
Dixa sp.,Dixa,yes,sp.,Dixa,Diptera
Dixella sp.,Dixella,yes,sp.,Dixella,Diptera
Annelida,DNI,yes,TOO COARSE,DNI,
Anopheles sp.,DNI,yes,sp.,DNI,Diptera
Arachnida,DNI,yes,Terrestrial,DNI,
Chrysomelidae,DNI,yes,Terrestrial,DNI,
Chydoridae,DNI,yes,Cladocera excluded,DNI,
Culicidae,DNI,yes,Culicidae excluded,DNI,Diptera
Eukiefferiella Tirolensis Group,Eukiefferiella Tirolensis Group,no,,Eukiefferiella Tirolensis Group,Chironomidae
Euparyphus,Euparyphus,no,,Euparyphus,Diptera
Gerris,DNI,yes,"NonTarget - Hemiptera, water column or surface dwellers",DNI,Hemiptera
Euryhapsis,Euryhapsis,no,,Euryhapsis,Chironomidae
Gonidea angulata (western ridged mussel),DNI,yes,OR/WA note: was an Anodonta brackish or tidally influenced freshwater,DNI,
Lumbricidae,DNI,yes,Mostly Terrestrial,DNI,
Lumbricina,DNI,yes,Mostly Terrestrial,DNI,
Fallceon,Fallceon,no,,Fallceon,Ephemeroptera
Megadrile,DNI,yes,Terrestrial,DNI,
near Heleniella sp.,DNI,yes,,DNI,
Faxonius,Faxonius,no,,Faxonius,Crustacea
Notonecta sp.,DNI,yes,NonTarget? Could go either way. Left out because only 2 calls total,DNI,Hemiptera
Notonectidae,DNI,yes,NonTarget? Could go either way. Left out because only 2 calls total,DNI,Hemiptera
Ferrissia,Ferrissia,no,,Ferrissia,Mollusca
Phoridae,DNI,yes,Terrestrial,DNI,
Pinnixa,DNI,yes,marine crab,DNI,
Porifera (sponges),DNI,yes,Sponges excluded in OR/WA,DNI,
Fisherola nuttalli,Fisherola nuttalli,no,,Fisherola nuttalli,Mollusca
Prionoxystus,DNI,yes,a terrestrial moth,DNI,
Dolophilodes sp.,Dolophilodes,yes,sp.,Dolophilodes,Trichoptera
Doncricotopus sp.,Doncricotopus,yes,sp.,Doncricotopus,Chironomidae
Doroneuria sp.,Doroneuria,yes,sp.,Doroneuria,Plecoptera
Drunella sp.,Drunella,yes,sp.,Drunella,Ephemeroptera
Forcipomyiinae,Forcipomyiinae,no,,Forcipomyiinae,Diptera
Drunella coloradensis/flavilinea,Drunella Coloradensis Group,yes,Formatting and consistency,Drunella Coloradensis Group,Ephemeroptera
Drunella doddsi,Drunella doddsii,yes,spelling,Drunella doddsii,Ephemeroptera
Drunella grandis,Drunella Grandis Group,yes,Formatting and consistency,Drunella Grandis Group,Ephemeroptera
Drunella grandis/spinifera,Drunella Grandis Group,yes,Formatting and consistency,Drunella Grandis Group,Ephemeroptera
Drunella spinifera,Drunella Grandis Group,yes,Formatting and consistency,Drunella Grandis Group,Ephemeroptera
Dubiraphia sp.,Dubiraphia,yes,sp.,Dubiraphia,Coleoptera
Gammarus,Gammarus,no,,Gammarus,Crustacea
Ecclisomyia sp.,Ecclisomyia,yes,sp.,Ecclisomyia,Trichoptera
Ecdyonurus sp.,Ecdyonurus,yes,sp.,Ecdyonurus,Ephemeroptera
Gastropoda,Gastropoda,no,TOO COARSE,Gastropoda,Mollusca
Gaufina/Sweltsa,Gaufina/Sweltsa,no,,Gaufina/Sweltsa,Plecoptera
Nixe,Ecdyonurus,yes,most PNW Nixe are Afghanurus,Ecdyonurus,Ephemeroptera
Glossiphonia,Glossiphonia,no,,Glossiphonia,Leeches
Ecdynonurus criddlei (Heptagenia/Nixe sp.),Ecdyonurus criddlei,yes,spelling,Ecdyonurus criddlei,Ephemeroptera
Nixe criddlei,Ecdyonurus criddlei,yes,OR/WA translated to Ecdyonurus,Ecdyonurus criddlei,Ephemeroptera
Limnophila,Eloeophila,yes,nomenclature,Eloeophila,Diptera
Glossiphoniidae,Glossiphoniidae,no,,Glossiphoniidae,Leeches
Glossosoma,Glossosoma,no,,Glossosoma,Trichoptera
Limnophila sp.,Eloeophila,yes,nomenclature,Eloeophila,Diptera
Endochironomus sp.,Endochironomus,yes,sp.,Endochironomus,Chironomidae
Glossosomatidae,Glossosomatidae,no,,Glossosomatidae,Trichoptera
Glutops,Glutops,no,,Glutops,Diptera
Epeorus deceptivus/hesperus,Epeorus,yes,backed off to genus,Epeorus,Ephemeroptera
Glyptotendipes,Glyptotendipes,no,,Glyptotendipes,Chironomidae
Epeorus sp.,Epeorus,yes,sp.,Epeorus,Ephemeroptera
Gomphidae,Gomphidae,no,,Gomphidae,Odonata
Epeorus albertae,Epeorus Albertae Group,yes,Formatting,Epeorus Albertae Group,Ephemeroptera
Epeorus grandis,Epeorus Grandis Group,yes,Formatting,Epeorus Grandis Group,Ephemeroptera
Epeorus grandis/permagnus,Epeorus Grandis Group,yes,Formatting,Epeorus Grandis Group,Ephemeroptera
Gonomyia,Gonomyia,no,,Gonomyia,Diptera
Ephemera simulans,Ephemera,yes,backed off to genus,Ephemera,Ephemeroptera
Guttipelopia,Guttipelopia,no,,Guttipelopia,Chironomidae
Gymnometriocnemus,Gymnometriocnemus,no,,Gymnometriocnemus,Chironomidae
Ephemera sp.,Ephemera,yes,sp.,Ephemera,Ephemeroptera
Gyraulus,Gyraulus,no,,Gyraulus,Mollusca
Ephemerella sp.,Ephemerella,yes,sp.,Ephemerella,Ephemeroptera
Ephemerella dorothea/excrucians,Ephemerella Excrucians Group,yes,nomenclature,Ephemerella Excrucians Group,Ephemeroptera
Gyrinidae,Gyrinidae,no,,Gyrinidae,Coleoptera
Ephemerella excrucians group,Ephemerella Excrucians Group,yes,Formatting and consistency,Ephemerella Excrucians Group,Ephemeroptera
Ephemerella inermis,Ephemerella Excrucians Group,yes,nomenclature,Ephemerella Excrucians Group,Ephemeroptera
Haliplidae,Haliplidae,no,,Haliplidae,Coleoptera
Haliplus,Haliplus,no,,Haliplus,Coleoptera
Ephemerella inermis/infrequens,Ephemerella Excrucians Group,yes,nomenclature,Ephemerella Excrucians Group,Ephemeroptera
Serratella tibialis,Ephemerella tibialis,yes,nomenclature; S. tibialis was placed in Ephemerella (2008),Ephemerella tibialis,Ephemeroptera
Serratella,Ephemerellidae,yes,backed off to family,Ephemerellidae,Ephemeroptera
Serratella A27,Ephemerellidae,yes,backed off to family,Ephemerellidae,Ephemeroptera
Serratella A45,Ephemerellidae,yes,backed off to family,Ephemerellidae,Ephemeroptera
Serratella A49,Ephemerellidae,yes,backed off to family,Ephemerellidae,Ephemeroptera
Harnischia,Harnischia,no,,Harnischia,Chironomidae
Serratella sp.,Ephemerellidae,yes,backed off to family,Ephemerellidae,Ephemeroptera
Heleniella,Heleniella,no,,Heleniella,Chironomidae
Ephoron album,Ephoron,yes,backed off to genus,Ephoron,Ephemeroptera
Helichus,Helichus,no,,Helichus,Coleoptera
Ephoron sp.,Ephoron,yes,sp.,Ephoron,Ephemeroptera
Erioptera sp.,Erioptera,yes,sp.,Erioptera,Diptera
Helicopsyche,Helicopsyche,no,,Helicopsyche,Trichoptera
Erpobdellidae,Erpobdella,yes,backed off to family,Erpobdella,Leeches
Eubrianax edwardsi,Eubrianax edwardsii,yes,spelling,Eubrianax edwardsii,Coleoptera
Helisoma,Helisoma,no,,Helisoma,Mollusca
Eucorethra,Eucorethra underwoodi,yes,monotypic,Eucorethra underwoodi,Diptera
Helobdella,Helobdella,no,,Helobdella,Leeches
Eukiefferiella sp.,Eukiefferiella,yes,sp.,Eukiefferiella,Chironomidae
Eukiefferiella Brehmi Gr.,Eukiefferiella Brehmi Group,yes,FORMATTING,Eukiefferiella Brehmi Group,Chironomidae
Eukiefferiella brehmi group,Eukiefferiella Brehmi Group,yes,FORMATTING,Eukiefferiella Brehmi Group,Chironomidae
Eukiefferiella Brevicalcar Gr.,Eukiefferiella Brevicalcar Group,yes,FORMATTING,Eukiefferiella Brevicalcar Group,Chironomidae
Helodon/Prosimulium,Helodon/Prosimulium,no,,Helodon/Prosimulium,Diptera
Eukiefferiella brevicalcar group,Eukiefferiella Brevicalcar Group,yes,FORMATTING,Eukiefferiella Brevicalcar Group,Chironomidae
Helophorus,Helophorus,no,,Helophorus,Coleoptera
Eukiefferiella Claripennis Gr.,Eukiefferiella Claripennis Group,yes,FORMATTING,Eukiefferiella Claripennis Group,Chironomidae
Hemerodromia,Hemerodromia,no,,Hemerodromia,Diptera
Eukiefferiella claripennis group,Eukiefferiella Claripennis Group,yes,FORMATTING,Eukiefferiella Claripennis Group,Chironomidae
Eukiefferiella Coerulescens Gr.,Eukiefferiella Coerulescens Group,yes,FORMATTING,Eukiefferiella Coerulescens Group,Chironomidae
Eukiefferiella coerulescens group,Eukiefferiella Coerulescens Group,yes,FORMATTING,Eukiefferiella Coerulescens Group,Chironomidae
Eukiefferiella cyanea gr.,Eukiefferiella Cyanea Group,yes,FORMATTING,Eukiefferiella Cyanea Group,Chironomidae
Heptageniidae,Heptageniidae,no,,Heptageniidae,Ephemeroptera
Hesperoconopa,Hesperoconopa,no,,Hesperoconopa,Diptera
Eukiefferiella Devonica Gr.,Eukiefferiella Devonica Group,yes,FORMATTING,Eukiefferiella Devonica Group,Chironomidae
Eukiefferiella devonica group,Eukiefferiella Devonica Group,yes,FORMATTING,Eukiefferiella Devonica Group,Chironomidae
Hesperoperla pacifica,Hesperoperla pacifica,no,monotypic in OR/WA,Hesperoperla pacifica,Plecoptera
Hesperophylax,Hesperophylax,no,,Hesperophylax,Trichoptera
Eukiefferiella Gracei Gr.,Eukiefferiella Gracei Group,yes,FORMATTING,Eukiefferiella Gracei Group,Chironomidae
Eukiefferiella gracei group,Eukiefferiella Gracei Group,yes,FORMATTING,Eukiefferiella Gracei Group,Chironomidae
Heterlimnius corpulentus,Heterlimnius corpulentus,no,monotypic,Heterlimnius corpulentus,Coleoptera
Eukiefferiella Pseudomontana Gr.,Eukiefferiella Pseudomontana Group,yes,FORMATTING,Eukiefferiella Pseudomontana Group,Chironomidae
Heterocloeon,Heterocloeon,no,,Heterocloeon,Ephemeroptera
Eukiefferiella pseudomontana group,Eukiefferiella Pseudomontana Group,yes,FORMATTING,Eukiefferiella Pseudomontana Group,Chironomidae
Heterotrissocladius,Heterotrissocladius,no,,Heterotrissocladius,Chironomidae
Eukiefferiella tirolensis,Eukiefferiella Tirolensis Group,yes,FORMATTING,Eukiefferiella Tirolensis Group,Chironomidae
Heterotrissocladius Marcidus Group,Heterotrissocladius Marcidus Group,no,,Heterotrissocladius Marcidus Group,Chironomidae
Euparyphus sp.,Euparyphus,yes,sp.,Euparyphus,Diptera
Hexagenia,Hexagenia,no,,Hexagenia,Ephemeroptera
Hexatoma,Hexatoma,no,,Hexatoma,Diptera
Euryhapsis sp.,Euryhapsis,yes,sp.,Euryhapsis,Chironomidae
Hirudinea,Hirudinea,no,,Hirudinea,Leeches
Homophylax,Homophylax,no,,Homophylax,Trichoptera
Fallceon quilleri,Fallceon,yes,backed off to genus,Fallceon,Ephemeroptera
Hyalella,Hyalella,no,,Hyalella,Crustacea
Fallceon sp.,Fallceon,yes,sp.,Fallceon,Ephemeroptera
Orconectes,Faxonius,yes,nomenclature,Faxonius,Crustacea
Hydra,Hydra,no,,Hydra,Misc. Phyla
Orconectes,Faxonius,yes,"nomenclature, trailing space",Faxonius,Crustacea
Orconectes (northern crayfish),Faxonius,yes,naming scheme,Faxonius,Crustacea
Orconectes sp.,Faxonius,yes,sp.,Faxonius,Crustacea
Ferrissia rowelli,Ferrissia,yes,backed off to genus,Ferrissia,Mollusca
Hydraenidae,Hydraenidae,no,,Hydraenidae,Coleoptera
Hydrobaenus,Hydrobaenus,no,,Hydrobaenus,Chironomidae
Ferrissia sp.,Ferrissia,yes,sp.,Ferrissia,Mollusca
FISHEROLA,Fisherola,yes,CAPs,Fisherola,Mollusca
Atrichopogon,Forcipomyiinae,yes,backed off to subfamily,Forcipomyiinae,Diptera
Atrichopogon sp.,Forcipomyiinae,yes,backed off to subfamily,Forcipomyiinae,Diptera
Hydrophilidae,Hydrophilidae,no,,Hydrophilidae,Coleoptera
Hydroporinae,Hydroporinae,no,,Hydroporinae,Coleoptera
Forcipomyia,Forcipomyiinae,yes,backed off to subfamily,Forcipomyiinae,Diptera
Hydropsyche,Hydropsyche,no,,Hydropsyche,Trichoptera
Forcipomyia sp.,Forcipomyiinae,yes,backed off to subfamily,Forcipomyiinae,Diptera
Hydropsychidae,Hydropsychidae,no,,Hydropsychidae,Trichoptera
Hydroptila,Hydroptila,no,,Hydroptila,Trichoptera
Gammarus (scud),Gammarus,yes,naming scheme,Gammarus,Crustacea
Hydroptilidae,Hydroptilidae,no,,Hydroptilidae,Trichoptera
Hydrosmittia,Hydrosmittia,no,,Hydrosmittia,Chironomidae
Gammarus sp.,Gammarus,yes,sp.,Gammarus,Crustacea
Sweltsa,Gaufina/Sweltsa,yes,"slashed taxon. Gaufinia Stark and Baumann, 2021 (new genus)",Gaufina/Sweltsa,Plecoptera
Sweltsa sp.,Gaufina/Sweltsa,yes,"slashed taxon. Gaufinia Stark and Baumann, 2021 (new genus)",Gaufina/Sweltsa,Plecoptera
Glossiphonia complanata,Glossiphonia,yes,backed off to genus,Glossiphonia,Leeches
Glossiphonia sp.,Glossiphonia,yes,sp.,Glossiphonia,Leeches
Glossiphonidae,Glossiphoniidae,yes,misspelling,Glossiphoniidae,Leeches
Placobdella sp.,Glossiphoniidae,yes,nomenclature,Glossiphoniidae,Leeches
Theromyzon,Glossiphoniidae,yes,backed off to family,Glossiphoniidae,Leeches
Theromyzon sp.,Glossiphoniidae,yes,backed off to family,Glossiphoniidae,Leeches
Glossosoma (tortoise case maker),Glossosoma,yes,naming scheme,Glossosoma,Trichoptera
Glossosoma sp.,Glossosoma,yes,sp.,Glossosoma,Trichoptera
Glutops sp.,Glutops,yes,sp.,Glutops,Diptera
Ironodes,Ironodes,no,,Ironodes,Ephemeroptera
Glyptotendipes sp.,Glyptotendipes,yes,sp.,Glyptotendipes,Chironomidae
Isogenoides,Isogenoides,no,,Isogenoides,Plecoptera
Gomphidae (club tail),Gomphidae,yes,naming scheme,Gomphidae,Odonata
Isoperla,Isoperla,no,,Isoperla,Plecoptera
Gomphus (clubtail dragonfly),Gomphidae,yes,naming scheme,Gomphidae,Odonata
Iswaeon,Iswaeon,no,,Iswaeon,Ephemeroptera
Gonomyia sp.,Gonomyia,yes,sp.,Gonomyia,Diptera
Kathroperla,Kathroperla,no,,Kathroperla,Plecoptera
Gymnometriocnemus sp.,Gymnometriocnemus,yes,sp.,Gymnometriocnemus,Chironomidae
Gyraulus parvus,Gyraulus,yes,backed off to genus,Gyraulus,Mollusca
Gyraulus sp.,Gyraulus,yes,sp.,Gyraulus,Mollusca
Gyrinus,Gyrinidae,yes,backed off to family,Gyrinidae,Coleoptera
Kogotus/Rickera,Kogotus/Rickera,no,,Kogotus/Rickera,Plecoptera
Krenopelopia,Krenopelopia,no,,Krenopelopia,Chironomidae
Gyrinus sp.,Gyrinidae,yes,backed off to family,Gyrinidae,Coleoptera
Krenosmittia,Krenosmittia,no,,Krenosmittia,Chironomidae
Haliplus sp.,Haliplus,yes,sp.,Haliplus,Coleoptera
Labiobaetis,Labiobaetis,no,,Labiobaetis,Ephemeroptera
Labrundinia,Labrundinia,no,,Labrundinia,Chironomidae
Heleniella sp.,Heleniella,yes,sp.,Heleniella,Chironomidae
Helichus sp.,Helichus,yes,sp.,Helichus,Coleoptera
Helichus striatus,Helichus,yes,backed off to genus,Helichus,Coleoptera
Laccophilus,Laccophilus,no,,Laccophilus,Coleoptera
Helicopsyche borealis,Helicopsyche,yes,backed off to genus,Helicopsyche,Trichoptera
Helicopsyche sp.,Helicopsyche,yes,sp.,Helicopsyche,Trichoptera
Lanx,Lanx,no,,Lanx,Mollusca
Lara,Lara,no,,Lara,Coleoptera
"Helisoma anceps (very large snail, ram horns)",Helisoma,yes,naming scheme,Helisoma,Mollusca
Helobdella stagnalis,Helobdella,yes,backed off to genus,Helobdella,Leeches
Larsia,Larsia,no,,Larsia,Chironomidae
Helobdella stagnalis complex,Helobdella,yes,backed off to genus,Helobdella,Leeches
Heledon/Prosimulium,Helodon/Prosimulium,yes,Slashed taxon,Helodon/Prosimulium,Diptera
Helodon,Helodon/Prosimulium,yes,Slashed taxon,Helodon/Prosimulium,Diptera
Helodon sp.,Helodon/Prosimulium,yes,Slashed taxon,Helodon/Prosimulium,Diptera
Lepidoptera,Lepidoptera,no,Lot of these are terrestrial,Lepidoptera,Lepidoptera
Lepidostoma,Lepidostoma,no,,Lepidostoma,Trichoptera
Prosimulium,Helodon/Prosimulium,yes,Slashed taxon,Helodon/Prosimulium,Diptera
Prosimulium sp.,Helodon/Prosimulium,yes,Slashed taxon,Helodon/Prosimulium,Diptera
Helophorus sp.,Helophorus,yes,sp.,Helophorus,Coleoptera
Hemerodromia sp.,Hemerodromia,yes,sp.,Hemerodromia,Diptera
Leptoceridae,Leptoceridae,no,,Leptoceridae,Trichoptera
Leptohyphidae,Leptohyphidae,no,,Leptohyphidae,Ephemeroptera
Leptophlebiidae,Leptophlebiidae,no,,Leptophlebiidae,Ephemeroptera
Heptagenia,Heptageniidae,yes,backed off to family,Heptageniidae,Ephemeroptera
Lestes,Lestes,no,,Lestes,Odonata
Heptagenia sp.,Heptageniidae,yes,backed off to family,Heptageniidae,Ephemeroptera
Leucotrichia,Leucotrichia,no,,Leucotrichia,Trichoptera
Heptagenia/Nixe,Heptageniidae,yes,backed off to family,Heptageniidae,Ephemeroptera
Leucrocuta,Leucrocuta,no,,Leucrocuta,Ephemeroptera
Leuctridae,Leuctridae,no,,Leuctridae,Plecoptera
Hesperoconopa sp.,Hesperoconopa,yes,sp.,Hesperoconopa,Diptera
Libellulidae,Libellulidae,no,,Libellulidae,Odonata
Hesperoperla,Hesperoperla pacifica,yes,monotypic,Hesperoperla pacifica,Plecoptera
Limnephilidae,Limnephilidae,no,,Limnephilidae,Trichoptera
Limnephilus,Limnephilus,no,,Limnephilus,Trichoptera
Hesperophylax sp.,Hesperophylax,yes,sp.,Hesperophylax,Trichoptera
Heterlimnius,Heterlimnius corpulentus,yes,monotypic,Heterlimnius corpulentus,Coleoptera
Heterlimnius sp.,Heterlimnius corpulentus,yes,monotypic,Heterlimnius corpulentus,Coleoptera
Heterocloeon sp.,Heterocloeon,yes,sp.,Heterocloeon,Ephemeroptera
Heterotrissocladius subpilosa gr.,Heterotrissocladius,yes,OR/WA backed off to genus; known from Artic north and Arctic Europe,Heterotrissocladius,Chironomidae
Heterotrissocladius Marcidus Gr.,Heterotrissocladius Marcidus Group,yes,FORMATTING,Heterotrissocladius Marcidus Group,Chironomidae
Hexatoma sp.,Hexatoma,yes,sp.,Hexatoma,Diptera
Homophylax sp.,Homophylax,yes,sp.,Homophylax,Trichoptera
Hyalella azteca (scud),Hyalella,yes,backed off to genus,Hyalella,Crustacea
Hyalella sp.,Hyalella,yes,sp.,Hyalella,Crustacea
Cnidaria,Hydra,yes,all Cnidaria,Hydra,Misc. Phyla
Hydra sp.,Hydra,yes,sp.,Hydra,Misc. Phyla
Limnophyes,Limnophyes,no,,Limnophyes,Chironomidae
Hydrozoa,Hydra,yes,naming scheme,Hydra,Misc. Phyla
Hydraena,Hydraenidae,yes,naming scheme,Hydraenidae,Coleoptera
Hydraena sp.,Hydraenidae,yes,sp.,Hydraenidae,Coleoptera
Limoniidae,Limoniidae,no,,Limoniidae,Diptera
Limnebius sp.,Hydraenidae,yes,sp.,Hydraenidae,Coleoptera
Ochthebius sp.,Hydraenidae,yes,sp.,Hydraenidae,Coleoptera
Lopescladius,Lopescladius,no,,Lopescladius,Chironomidae
Hydrobaenus sp.,Hydrobaenus,yes,sp.,Hydrobaenus,Chironomidae
Ametor,Hydrophilidae,yes,backed off to family,Hydrophilidae,Coleoptera
Ametor sp.,Hydrophilidae,yes,backed off to family,Hydrophilidae,Coleoptera
Berosus sp.,Hydrophilidae,yes,backed off to family,Hydrophilidae,Coleoptera
Crenitis sp.,Hydrophilidae,yes,backed off to family,Hydrophilidae,Coleoptera
Lymnaeidae,Lymnaeidae,no,,Lymnaeidae,Mollusca
Enochrus,Hydrophilidae,yes,backed off to family,Hydrophilidae,Coleoptera
Maccaffertium,Maccaffertium,no,,Maccaffertium,Ephemeroptera
Laccobius,Hydrophilidae,yes,backed off to family,Hydrophilidae,Coleoptera
Macromia,Macromia,no,,Macromia,Odonata
Laccobius sp.,Hydrophilidae,yes,backed off to family,Hydrophilidae,Coleoptera
Macropelopia,Macropelopia,no,,Macropelopia,Chironomidae
Tropisternus sp.,Hydrophilidae,yes,backed off to family,Hydrophilidae,Coleoptera
Macropelopiini,Macropelopiini,no,,Macropelopiini,Chironomidae
Malenka,Malenka,no,,Malenka,Plecoptera
Hydroporus,Hydroporinae,yes,Genera within Hydroporinae in flux best to leave at subfamily,Hydroporinae,Coleoptera
Liodessus,Hydroporinae,yes,Genera within Hydroporinae in flux best to leave at subfamily,Hydroporinae,Coleoptera
Margaritifera falcata,Margaritifera falcata,no,,Margaritifera falcata,Mollusca
Maruina,Maruina,no,,Maruina,Diptera
Liodessus sp.,Hydroporinae,yes,Genera within Hydroporinae in flux best to leave at subfamily,Hydroporinae,Coleoptera
Oreodytes,Hydroporinae,yes,Genera within Hydroporinae in flux best to leave at subfamily,Hydroporinae,Coleoptera
Matriella teresa,Matriella teresa,no,,Matriella teresa,Ephemeroptera
Mayatrichia,Mayatrichia,no,"Mayatrichia ayama may not be the only species found in the PNW, as several other species are currently known to occur as far north as NV/UT/WY.",Mayatrichia,Trichoptera
Oreodytes sp.,Hydroporinae,yes,Genera within Hydroporinae in flux best to leave at subfamily,Hydroporinae,Coleoptera
Sanfilippodytes sp.,Hydroporinae,yes,Genera within Hydroporinae in flux best to leave at subfamily,Hydroporinae,Coleoptera
