TaxaID,Rank,NonTarget,BCG_Attr,BCG_Attr2,FFG,FFG_Src,HABIT,HABIT_Src,LIFE_CYCLE,LIFE_CYCLE_Src,AirBreather,PHYLUM,CLASS,SUBCLASS,ORDER,FAMILY,SUBFAMILY,TRIBE,GENUS,TolVal,NOD,AP,HM,POC,SA,SSS,Min_HM1988,Max_HM1988,Mean_HM1988,KBTOLR
CALLIOBDELLA VIVIDA,Species,FALSE,,NA,NA,,NA,,NA,,FALSE,ANNELIDA,CLITELLATA,HIRUDINEA,RHYNCHOBDELLIDA,PISCICOLIDAE,,,CALLIOBDELLA,NA,,,,,,,,,,9
CALOPTERYGIDAE,Family,FALSE,4,4_middle,PR,IA; MODNR; OK; MN; NRSA,CB,IA; OK; MN,NA,,FALSE,ARTHROPODA,INSECTA,,ODONATA,CALOPTERYGIDAE,,,,5,2,2,1,2,3,3,1,3,2.166666667,
CALOPTERYX,Genus,FALSE,4,4_worse,PR,IA; NE; OK; MN; Tward; NRSA,CB,NE; MN; Tward; NRSA,uni,GP BCG group,FALSE,ARTHROPODA,INSECTA,,ODONATA,CALOPTERYGIDAE,,,CALOPTERYX,,,,,,,,,,,
CALOPTERYX MACULATA,Species,FALSE,4,4_worse,PR,IA; NE; OK; MN; Tward; NRSA,CB,NE; MN; Tward; NRSA,uni,GP BCG group,FALSE,ARTHROPODA,INSECTA,,ODONATA,CALOPTERYGIDAE,,,CALOPTERYX,6,2,2,2,2,3,3,2,3,2.333333333,4
CAMBARIDAE,Family,FALSE,4,4_middle,CG,IA; MODNR; OK; MN; NRSA,SP,NE; OK; MN,NA,,FALSE,ARTHROPODA,MALACOSTRACA,,DECAPODA,CAMBARIDAE,,,,5,,,,,,,,,,
CAMBARINCOLA,Genus,FALSE,4,4_middle,CG,NE,CN,NE,NA,,FALSE,ANNELIDA,CLITELLATA,OLIGOCHAETA,BRANCHIOBDELLID,BRANCHIOBDELLIDAE,,,CAMBARINCOLA,5,,,,,,,,,,5
CAMBARUS,Genus,FALSE,,NA,CG,IA; MODNR; MN; NRSA,SP,NRSA,NA,,FALSE,ARTHROPODA,MALACOSTRACA,,DECAPODA,CAMBARIDAE,,,CAMBARUS,,,,,,,,,,,
CAMBARUS DIOGENES,Species,FALSE,,NA,CG,IA; MODNR; MN; NRSA,SP,NRSA,NA,,FALSE,ARTHROPODA,MALACOSTRACA,,DECAPODA,CAMBARIDAE,,,CAMBARUS,NA,,,,,,,,,,5
CAMELOBAETIDIUS,Genus,FALSE,4,4_middle,"CG,SH",NE; OK; Tward; NRSA,SW,NE; MODNR; OK; Tward; NRSA,multi,Tward; NRSA,FALSE,ARTHROPODA,INSECTA,,EPHEMEROPTERA,BAETIDAE,,,CAMELOBAETIDIUS,5,,,,,,,,,,4
CAPNIIDAE,Family,FALSE,3,,SH,IA; MODNR; OK; MN; NRSA,SP,IA; MODNR; OK; MN,uni,NRSA,FALSE,ARTHROPODA,INSECTA,,PLECOPTERA,CAPNIIDAE,,,,2,1,1,1,0,1,1,0,1,0.833333333,
CARABIDAE,Family,FALSE,,NA,PR,NRSA,CN,NRSA,NA,,FALSE,ARTHROPODA,INSECTA,,COLEOPTERA,CARABIDAE,,,,NA,,,,,,,,,,
CARDIOCLADIUS,Genus,FALSE,4,4_middle,PR,MODNR; MN; Tward; NRSA,BU,MODNR; OK; MN; Tward; NRSA,multi,Tward; NRSA,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,,CARDIOCLADIUS,5,3,3,1,3,3,4,1,4,2.833333333,6
CELINA,Genus,FALSE,,NA,PR,OK; MN; Tward; NRSA,SW,MN; Tward; NRSA,NA,,TRUE,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,,CELINA,,,,,,,,,,,
CELINA HUBBELLI,Species,FALSE,,NA,PR,OK; MN; Tward; NRSA,SW,MN; Tward; NRSA,NA,,TRUE,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,,CELINA,NA,3,5,1,4,3,2,1,5,3,99
CELITHEMIS,Genus,FALSE,,NA,PR,NE; MODNR; MN; Tward; NRSA,CB,NE; MN; Tward; NRSA,uni,Tward; NRSA,FALSE,ARTHROPODA,INSECTA,,ODONATA,LIBELLULIDAE,,,CELITHEMIS,NA,1,5,2,5,3,3,1,5,3.166666667,4
CELITHEMIS EPONINA,Species,FALSE,,NA,PR,MN; Tward; NRSA,CB,MN; Tward; NRSA,uni,Tward; NRSA,FALSE,ARTHROPODA,INSECTA,,ODONATA,LIBELLULIDAE,,,CELITHEMIS,NA,1,5,2,5,3,3,1,5,3.166666667,4
CENOCORIXA,Genus,FALSE,,NA,NA,"mixed - PR,SC/SH",SW,OK; MN; Tward; NRSA,multi,Tward,TRUE,ARTHROPODA,INSECTA,,HEMIPTERA,CORIXIDAE,,,CENOCORIXA,NA,4,4,3,3,4,3,3,4,3.5,99
CENTROPTILUM,Genus,FALSE,4,4_middle,CG,NRSA,SW,NRSA,multi,NRSA,FALSE,ARTHROPODA,INSECTA,,EPHEMEROPTERA,BAETIDAE,,,ANAFROPTILUM/NEOCLOEON,5,1,0,1,0,2,1,0,2,0.833333333,4
CERACLEA,Genus,FALSE,4,4_middle,CG,IA; NE; MODNR; OK; MN; Tward; NRSA,"CN,SP",IA; MODNR; MN; NRSA,uni,Tward; NRSA,FALSE,ARTHROPODA,INSECTA,,TRICHOPTERA,LEPTOCERIDAE,,,CERACLEA,5,2,2,1,1,1,4,1,4,1.833333333,4
CERACLEA ANCYLUS,Species,FALSE,4,4_middle,CG,IA; OK; Tward; NRSA,"CN,SP",NRSA; Tward,uni,Tward; NRSA,FALSE,ARTHROPODA,INSECTA,,TRICHOPTERA,LEPTOCERIDAE,,,CERACLEA,5,2,2,1,1,1,4,1,4,1.833333333,4
CERACLEA FLAVA,Species,FALSE,4,4_middle,CG,IA; OK; Tward; NRSA,"CN,SP",NRSA; Tward,uni,Tward; NRSA,FALSE,ARTHROPODA,INSECTA,,TRICHOPTERA,LEPTOCERIDAE,,,CERACLEA,5,2,2,1,1,1,4,1,4,1.833333333,4
CERACLEA MACULATA,Species,FALSE,4,4_middle,CG,IA; OK; MN; Tward; NRSA,"CN,SP",NRSA; Tward,uni,Tward; NRSA,FALSE,ARTHROPODA,INSECTA,,TRICHOPTERA,LEPTOCERIDAE,,,CERACLEA,5,3,2,2,1,2,4,1,4,2.333333333,4
CERACLEA NEFFI,Species,FALSE,4,4_middle,CG,IA; OK; Tward; NRSA,"CN,SP",NRSA; Tward,uni,Tward; NRSA,FALSE,ARTHROPODA,INSECTA,,TRICHOPTERA,LEPTOCERIDAE,,,CERACLEA,5,2,2,2,1,1,4,1,4,2,4
CERACLEA NEPHA,Species,FALSE,4,4_middle,CG,IA; Tward; NRSA,"CN,SP",NRSA; Tward,uni,Tward; NRSA,FALSE,ARTHROPODA,INSECTA,,TRICHOPTERA,LEPTOCERIDAE,,,CERACLEA,5,2,2,2,1,1,4,1,4,2,4
CERACLEA SPONGILLOVORAX,Species,FALSE,4,4_middle,CG,IA; OK; Tward; NRSA,"CN,SP",NRSA; Tward,uni,Tward; NRSA,FALSE,ARTHROPODA,INSECTA,,TRICHOPTERA,LEPTOCERIDAE,,,CERACLEA,5,2,2,1,1,2,4,1,4,2,4
CERACLEA TRANSVERSA,Species,FALSE,4,4_middle,CG,OK; Tward; NRSA,"CN,SP",NRSA; Tward,uni,Tward; NRSA,FALSE,ARTHROPODA,INSECTA,,TRICHOPTERA,LEPTOCERIDAE,,,CERACLEA,5,2,2,2,1,1,4,1,4,2,4
CERATOPOGON,Genus,FALSE,,NA,PR,IA; NE; MN; Tward,"BU,SP",IA; MN; Tward; NRSA; NE,uni,Tward,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CERATOPOGONIDAE,,,CERATOPOGON,NA,,,,,,,,,,10
CERATOPOGONIDAE,Family,FALSE,4,4_middle,PR,IA; NE; MODNR; OK; MN; NRSA,SP,NE; MODNR; OK; MN,multi,NRSA,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CERATOPOGONIDAE,,,,5,3,3,3,3,3,4,3,4,3.166666667,10
CERATOPSYCHE,Genus,FALSE,4,4_middle,CF,IA; NE; MODNR; OK; MN; Tward;,CN,IA; NE; OK; MN; Tward,uni,Tward,FALSE,ARTHROPODA,INSECTA,,TRICHOPTERA,HYDROPSYCHIDAE,,,CERATOPSYCHE,5,,,,,,,,,,4
CERATOPSYCHE MOROSA,Species,FALSE,4,4_middle,CF,IA; NE; OK; MN; Tward,CN,NE; MN; Tward,uni,Tward,FALSE,ARTHROPODA,INSECTA,,TRICHOPTERA,HYDROPSYCHIDAE,,,CERATOPSYCHE,5,,,,,,,,,,4
CERCOBRACHYS,Genus,FALSE,4,4_middle,CG,IA; NE; MODNR; OK; MN; Tward; NRSA,SP,NE; MODNR; OK; MN; NRSA,NA,,FALSE,ARTHROPODA,INSECTA,,EPHEMEROPTERA,CAENIDAE,,,CERCOBRACHYS,5,,,,,,,,,,4
CHAETARTHRIA,Genus,FALSE,,NA,"CG,PR",NE; MODNR; OK,CB,NE; OK; NRSA,uni,Tward; NRSA,TRUE,ARTHROPODA,INSECTA,,COLEOPTERA,HYDROPHILIDAE,,,CHAETARTHRIA,NA,3,4,1,3,3,3,1,4,2.833333333,99
CHAOBORUS,Genus,FALSE,4,4_middle,PR,IA; NE; MODNR; OK; MN; Tward; NRSA,SP,NE; MODNR; OK; MN; Tward; NRSA,uni,Tward; NRSA,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CHAOBORIDAE,,,CHAOBORUS,5,4,4,4,3,3,4,3,4,3.666666667,10
CHAULIODES,Genus,FALSE,4,4_middle,PR,IA; NE; MODNR; OK; MN; Tward; NRSA,CN,OK; MN; Tward; NRSA,semi,Tward; NRSA,FALSE,ARTHROPODA,INSECTA,,MEGALOPTERA,CORYDALIDAE,,,CHAULIODES,5,2,2,2,2,3,4,2,4,2.5,4
CHAULIODES RASTRICORNIS,Species,FALSE,4,4_middle,PR,IA; NE; MODNR; OK; MN; Tward; NRSA,CN,IA; MN; Tward; NRSA,semi,Tward; NRSA,FALSE,ARTHROPODA,INSECTA,,MEGALOPTERA,CORYDALIDAE,,,CHAULIODES,5,2,2,2,2,3,4,2,4,2.5,4
CHERNOVSKIIA,Genus,FALSE,,NA,CG,NE; OK; MN,SP,MN,NA,,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,CHERNOVSKIIA,NA,3,3,0,3,3,3,0,3,2.5,6
CHEUMATOPSYCHE,Genus,FALSE,4,4_worse,CF,IA; NE; MODNR; OK; MN; Tward; NRSA,CN,NE; OK; MN; Tward; NRSA,multi,NRSA,FALSE,ARTHROPODA,INSECTA,,TRICHOPTERA,HYDROPSYCHIDAE,,,CHEUMATOPSYCHE,6,3,3,3,2,3,3,2,3,2.833333333,4
CHIMARRA,Genus,FALSE,3,,CF,IA; NE; MODNR; OK; MN; Tward; NRSA,CN,IA; NE; OK; MN; Tward; NRSA,uni,Tward; NRSA,FALSE,ARTHROPODA,INSECTA,,TRICHOPTERA,PHILOPOTAMIDAE,,,CHIMARRA,2,2,2,1,1,2,4,1,4,2,4
CHIMARRA FERIA,Species,FALSE,3,,CF,NE; OK; Tward; NRSA,CN,NE; Tward; NRSA,uni,Tward; NRSA,FALSE,ARTHROPODA,INSECTA,,TRICHOPTERA,PHILOPOTAMIDAE,,,CHIMARRA,2,1,2,1,1,2,4,1,4,1.833333333,4
CHIMARRA OBSCURA,Species,FALSE,3,,CF,IA; NE; OK; MN; Tward; NRSA,CN,NE; Tward; NRSA,uni,Tward; NRSA,FALSE,ARTHROPODA,INSECTA,,TRICHOPTERA,PHILOPOTAMIDAE,,,CHIMARRA,2,2,2,1,1,2,4,1,4,2,4
CHIRONOMIDAE,Family,FALSE,4,4_middle,CG,IA; NE; MODNR; OK; MN; ;,BU,IA; MODNR; OK,multi,NRSA,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,,,,5,3,3,2,3,3,4,2,4,3,
CHIRONOMUS,Genus,FALSE,4,4_worse,CG,NE; MODNR; OK; MN; Tward; NRSA,BU,NE; MODNR; OK; MN; Tward; NRSA,uni,NRSA,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,CHIRONOMUS,6,5,5,4,3,4,5,3,5,4.333333333,11
CHIRONOMUS ATTENUATUS,Species,FALSE,4,4_worse,CG,Tward; NRSA,BU,Tward; NRSA,uni,NRSA,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,CHIRONOMUS,6,4,5,4,3,4,5,3,5,4.166666667,11
CHIRONOMUS RIPARIUS,Species,FALSE,4,4_worse,CG,NE; Tward; NRSA,BU,NE; Tward; NRSA,uni,NRSA,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,CHIRONOMUS,6,5,5,5,3,4,5,3,5,4.5,11
CHOROTERPES,Genus,FALSE,3,,CG,NE; MODNR; OK; MN; Tward; NRSA,CN,NE; OK; MN; Tward; NRSA,uni,Tward; NRSA,FALSE,ARTHROPODA,INSECTA,,EPHEMEROPTERA,LEPTOPHLEBIIDAE,,,CHOROTERPES,2,2,1,2,1,3,1,1,3,1.666666667,3
CHOROTERPES/NEOCHOROTERPES,Genus,FALSE,4,4_better,"CG,PR",NRSA,CN,NRSA,uni,"Tward; NRSA, based on Choroterpes",FALSE,ARTHROPODA,INSECTA,,EPHEMEROPTERA,LEPTOPHLEBIIDAE,,,CHOROTERPES/NEOCHOROTERPES,4,,,,,,,,,,
CHRYSOMELIDAE,Family,FALSE,,NA,SH,IA; NE; OK; MN; NRSA,CN,NE; OK; MN,NA,,FALSE,ARTHROPODA,INSECTA,,COLEOPTERA,CHRYSOMELIDAE,,,,NA,4,5,3,4,3,4,3,5,3.833333333,
CHRYSOPS,Genus,FALSE,4,4_middle,PR,IA; MODNR; OK; MN; Tward; NRSA,SP,MODNR; OK; MN; Tward; NRSA,uni,Tward; NRSA,FALSE,ARTHROPODA,INSECTA,,DIPTERA,TABANIDAE,,,CHRYSOPS,5,3,2,4,2,5,4,2,5,3.333333333,10
CINCINNATIA,Genus,FALSE,4,4_middle,SC,OK,NA,,NA,,FALSE,MOLLUSCA,GASTROPODA,,NEOTAENIOGLOSSA,HYDROBIIDAE,,,CINCINNATIA,,,,,,,,,,,
CINCINNATIA INTEGRA,Species,FALSE,4,4_middle,SC,OK,NA,,NA,,FALSE,MOLLUSCA,GASTROPODA,,NEOTAENIOGLOSSA,HYDROBIIDAE,,,CINCINNATIA,5,,,,,,,,,,4
CIPANGOPALUDINA,Genus,FALSE,,NA,SC,MN; NRSA,CB,MN,multi,NRSA,FALSE,MOLLUSCA,GASTROPODA,,ARCHITAENIOGLOS,VIVIPARIDAE,,,CIPANGOPALUDINA,,,,,,,,,,,
CIPANGOPALUDINA JAPONICA,Species,FALSE,,NA,SC,MN; NRSA,CB,MN,multi,NRSA,FALSE,MOLLUSCA,GASTROPODA,,ARCHITAENIOGLOS,VIVIPARIDAE,,,CIPANGOPALUDINA,NA,,,,,,,,,,99
CLADOPELMA,Genus,FALSE,4,4_middle,CG,NE; MODNR; OK; MN; Tward; NRSA,BU,MODNR; OK; MN; Tward; NRSA,multi,Poff et al. 2006; Will Bouchard pers comm,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,CLADOPELMA,5,4,2,1,2,2,4,1,4,2.5,6
CLADOTANYTARSUS,Genus,FALSE,4,4_middle,CG,NE; MODNR; OK; MN; Tward; NRSA,CB,NE; OK; MN; Tward; NRSA,multi,Tward; NRSA,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,TANYTARSINI,CLADOTANYTARSUS,5,3,3,2,3,2,3,2,3,2.666666667,6
CLIMACIA,Genus,FALSE,3,,PR,IA; NE; MODNR; OK; MN; Tward; NRSA,CB,NE; OK; MN; Tward; NRSA,multi,NRSA,FALSE,ARTHROPODA,INSECTA,,NEUROPTERA,SISYRIDAE,,,CLIMACIA,2,2,2,1,2,3,3,1,3,2.166666667,99
CLIMACIA AREOLARIS,Species,FALSE,3,,PR,NE; OK; MN; Tward; NRSA,CB,NE; Tward; NRSA,multi,NRSA,FALSE,ARTHROPODA,INSECTA,,NEUROPTERA,SISYRIDAE,,,CLIMACIA,2,2,2,1,2,3,3,1,3,2.166666667,99
CLINOTANYPUS,Genus,FALSE,4,4_middle,PR,NE; MODNR; MN; Tward; NRSA,BU,MODNR; OK; MN; Tward; NRSA,multi,Tward,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,TANYPODINAE,COELOTANYPODINI,CLINOTANYPUS,5,3,2,1,2,3,3,1,3,2.333333333,6
CLOEON DIPTERUM,Species,FALSE,,NA,CG,Tward; NRSA,SW,Tward; NRSA,NA,,FALSE,ARTHROPODA,INSECTA,,EPHEMEROPTERA,BAETIDAE,,,CLOEON,NA,,,,,,,,,,4
COELOTANYPUS,Genus,FALSE,4,4_middle,PR,NE; MODNR; MN; Tward; NRSA,BU,MODNR; OK; MN; Tward; NRSA,NA,,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,TANYPODINAE,COELOTANYPODINI,COELOTANYPUS,5,2,2,1,2,3,3,1,3,2.166666667,6
COENAGRIONIDAE,Family,FALSE,4,4_worse,PR,IA; NE; MODNR; OK; MN; NRSA,CB,IA; NE; OK; MN,uni,NRSA,FALSE,ARTHROPODA,INSECTA,,ODONATA,COENAGRIONIDAE,,,,6,3,4,1,3,3,3,1,4,2.833333333,
COLEOPTERA,Order,FALSE,,NA,NA,,NA,,NA,,FALSE,ARTHROPODA,INSECTA,,COLEOPTERA,,,,,NA,,,,,,,,,,
COLLEMBOLA,Order,TRUE,4,4_middle,CG,IA; NE; MN,NA,,NA,,FALSE,ARTHROPODA,INSECTA,,COLLEMBOLA,,,,,5,,,,,,,,,,
COPELATUS,Genus,FALSE,4,4_middle,PR,NE; MODNR; OK; MN; Tward; NRSA,SW,IA; NE; MODNR; OK; MN; Tward; NRSA,uni,Tward; NRSA,TRUE,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,,COPELATUS,5,3,4,1,4,3,1,1,4,2.666666667,99
COPELATUS CHEVROLATI,Species,FALSE,4,4_middle,PR,OK; Tward; NRSA,SW,Tward; NRSA,uni,Tward; NRSA,TRUE,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,,COPELATUS,,,,,,,,,,,
COPELATUS CHEVROLATI RENOVATUS,Species,FALSE,4,4_middle,PR,OK; Tward; NRSA,SW,Tward; NRSA,uni,Tward; NRSA,TRUE,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,,COPELATUS,5,,,,,,,,,,99
COPELATUS GLYPHICUS,Species,FALSE,4,4_middle,PR,IA; OK; MN; Tward; NRSA,SW,MN; Tward; NRSA,uni,Tward; NRSA,TRUE,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,,COPELATUS,5,3,4,2,4,3,1,1,4,2.833333333,99
COPTOTOMUS,Genus,FALSE,4,4_middle,PR,IA; NE; MODNR; OK; MN; Tward; NRSA,SW,IA; NE; MODNR; OK; MN; Tward; NRSA,uni,Tward; NRSA,TRUE,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,,COPTOTOMUS,5,2,4,1,4,3,1,1,4,2.5,99
COPTOTOMUS INTERROGATUS,Species,FALSE,4,4_middle,PR,OK; Tward; NRSA,SW,Tward; NRSA,uni,Tward; NRSA,TRUE,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,,COPTOTOMUS,5,2,4,1,4,3,1,1,4,2.5,99
COPTOTOMUS LONGULUS,Species,FALSE,4,4_middle,PR,IA; MN; Tward; NRSA,SW,MN; Tward; NRSA,uni,Tward; NRSA,TRUE,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,,COPTOTOMUS,5,2,4,1,4,3,1,1,4,2.5,99
CORBICULA,Genus,FALSE,6m,,CF,IA; NE; OK; MN; NRSA,BU,NE; MN; NRSA,multi,NRSA,FALSE,MOLLUSCA,BIVALVIA,,VENEROIDA,CORBICULIDAE,,,CORBICULA,,,,,,,,,,,
CORBICULA FLUMINEA,Species,FALSE,6m,,CF,IA; NE; OK; MN; NRSA,BU,NE; MN; NRSA,multi,NRSA,FALSE,MOLLUSCA,BIVALVIA,,VENEROIDA,CORBICULIDAE,,,CORBICULA,5,,,,,,,,,,99
CORDULEGASTER,Genus,FALSE,,NA,PR,IA; NE; MN; Tward; NRSA,BU,IA; MN; Tward; NRSA,semi,NRSA,FALSE,ARTHROPODA,INSECTA,,ODONATA,CORDULEGASTERIDAE,,,CORDULEGASTER,,,,,,,,,,,
CORDULEGASTER OBLIQUA,Species,FALSE,,NA,PR,IA; NE; MN; Tward; NRSA,BU,IA; MN; Tward; NRSA,semi,NRSA,FALSE,ARTHROPODA,INSECTA,,ODONATA,CORDULEGASTERIDAE,,,CORDULEGASTER,NA,1,2,1,3,2,4,1,4,2.166666667,4
CORDULIIDAE,Family,FALSE,4,4_middle,PR,IA; NE; MODNR; OK; MN; NRSA,CB,IA; NE; OK; MN,uni,NRSA,FALSE,ARTHROPODA,INSECTA,,ODONATA,CORDULIIDAE,,,,5,2,3,1,3,3,3,1,3,2.5,
CORISELLA,Genus,FALSE,,NA,PR,IA; NE; MODNR; MN; Tward; NRSA,SW,NE; OK; MN; Tward; NRSA,multi,Tward,TRUE,ARTHROPODA,INSECTA,,HEMIPTERA,CORIXIDAE,,,CORISELLA,NA,4,4,3,3,4,3,3,4,3.5,99
CORIXIDAE,Family,FALSE,4,4_middle,PR,NE; MODNR; OK; MN,SW,IA; NE; MODNR; OK; MN; ;,multi,NRSA,TRUE,ARTHROPODA,INSECTA,,HEMIPTERA,CORIXIDAE,,,,5,3,4,3,3,4,3,3,4,3.333333333,
CORYDALIDAE,Family,FALSE,4,4_middle,PR,IA; NE; MODNR; OK; MN; ;,CN,IA; OK; MN,semi,NRSA,FALSE,ARTHROPODA,INSECTA,,MEGALOPTERA,CORYDALIDAE,,,,5,2,2,3,2,3,3,2,3,2.5,
CORYDALUS,Genus,FALSE,4,4_middle,PR,IA; NE; OK; MN; Tward; NRSA,CN,IA; MN; Tward; NRSA,"semi,uni","NRSA, GP BCG group",FALSE,ARTHROPODA,INSECTA,,MEGALOPTERA,CORYDALIDAE,,,CORYDALUS,,,,,,,,,,,
CORYDALUS CORNUTUS,Species,FALSE,4,4_middle,PR,IA; NE; OK; MN; Tward; NRSA,CN,IA; MN; Tward; NRSA,"semi,uni","NRSA, GP BCG group",FALSE,ARTHROPODA,INSECTA,,MEGALOPTERA,CORYDALIDAE,,,CORYDALUS,5,2,2,5,2,3,3,2,5,2.833333333,4
CORYNONEURA,Genus,FALSE,4,4_middle,CG,NE; MODNR; OK; MN; Tward; NRSA,SP,NE; MODNR; OK; MN; Tward; NRSA,multi,Tward; NRSA,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,,CORYNONEURA,5,2,4,5,3,3,3,2,5,3.333333333,6
CRAMBIDAE,Family,FALSE,3,,SH,NE; MODNR; MN; NRSA,BU,NE; OK; NRSA,NA,,FALSE,ARTHROPODA,INSECTA,,LEPIDOPTERA,CRAMBIDAE,,,,2,,,,,,,,,,
CRANGONYCTIDAE,Family,FALSE,4,4_middle,CG,IA; NE; MODNR; OK; MN; ;,SP,OK; MN,NA,,FALSE,ARTHROPODA,MALACOSTRACA,,AMPHIPODA,CRANGONYCTIDAE,,,,5,,,,,,,,,,
CRANGONYX,Genus,FALSE,4,4_middle,CG,IA; NE; MODNR; OK; MN; ; NRSA,SP,OK; MN; NRSA,uni,NRSA,FALSE,ARTHROPODA,MALACOSTRACA,,AMPHIPODA,CRANGONYCTIDAE,,,CRANGONYX,5,,,,,,,,,,4
CRICOTOPUS,Genus,FALSE,4,4_middle,"SH,CG",NE; MN; Tward; NRSA,CN,MN; Tward,multi,Tward,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,,CRICOTOPUS,5,4,3,3,3,3,4,3,4,3.333333333,6
CRICOTOPUS (CRICOTOPUS),Subgenus,FALSE,4,4_middle,"SH,CG",MN; Tward,CN,MN; Tward; NRSA,multi,Tward,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,,CRICOTOPUS,5,,,,,,,,,,6
CRICOTOPUS (CRICOTOPUS) BICINCTUS GR.,Species,FALSE,4,4_middle,"SH,CG",NRSA,CN,Tward; NRSA,multi,Tward,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,,CRICOTOPUS,5,4,3,5,3,4,4,3,5,3.833333333,6
CRICOTOPUS (CRICOTOPUS) TREMULUS GR.,Species,FALSE,4,4_middle,"SH,CG",NRSA,CN,Tward; NRSA,multi,Tward,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,,CRICOTOPUS,5,4,3,2,3,3,4,2,4,3.166666667,6
CRICOTOPUS (CRICOTOPUS) TRIFASCIA GR.,Species,FALSE,4,4_middle,"SH,CG",NRSA,CN,Tward; NRSA,multi,Tward,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,,CRICOTOPUS,5,4,3,3,3,3,4,3,4,3.333333333,6
CRICOTOPUS (ISOCLADIUS),Subgenus,FALSE,4,4_middle,"SH,CG",MN; Tward,CN,MN; Tward; NRSA,multi,Tward,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,,CRICOTOPUS,5,,,,,,,,,,6
CRICOTOPUS (ISOCLADIUS) SYLVESTRIS GR.,Species,FALSE,4,4_middle,"SH,CG",NRSA,CN,Tward; NRSA,multi,Tward,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,,CRICOTOPUS,5,4,3,1,3,2,4,1,4,2.833333333,6
CRICOTOPUS/ORTHOCLADIUS,Genus,FALSE,4,4_middle,"SH,CG",MODNR; MN; NRSA,CN,MN; Tward; NRSA,multi,NRSA,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,,CRICOTOPUS/ORTHOCLADIUS,5,3,3,2,3,3,3,2,3,2.8333,6
CRYPTOCHIRONOMUS,Genus,FALSE,4,4_worse,PR,NE; MODNR; MN; Tward; NRSA,SP,NE; MODNR; OK; MN; Tward; NRSA,multi,Tward,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,CRYPTOCHIRONOMUS,6,4,3,3,3,3,4,3,4,3.333333333,6
CRYPTOTENDIPES,Genus,FALSE,4,4_middle,CG,NE; MODNR; OK; MN; Tward; NRSA,"BU,SP",NRSA; Tward,uni,Tward,FALSE,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,CRYPTOTENDIPES,5,3,3,2,3,3,3,2,3,2.833333333,6
